	sequences per sample	iteration	LC01_F	LC02_F	LC03_F	LC05_F	LC06_F	LC07_F	LC08_F	LC10_F	LC11_F	LC12_F	LC13_F	LP02_F	LP03_F	LP04_F	LP05_F	LP06_F	LP08_F_REDO	LP09_F	LP11_F	LP12_F	LP13_F_REDO	LP14_F	LP16_F	LP17_F	LP18_F	LP19_F	LP20_F	s10832	s10852	s11287	s11367	s12389	s1624	s20844	s21911	s21944	s22683	s22756	s22787	s24010	s25149	s26891	s26917	s27111	s27321_9596	s27403	s27555	s27796	s28408	s28504	s28535	s28791	s29396	s29404	s29523	s29527	s29556	s29586	s29745	s29753	s29763	s29777	s29780_9504	s29848	s29934	s30012	s30239	s30731	s30879	s31091	s31166	s31202	s31219	s31369	s31407	s31475	s31659	s31686	s31716	s31761	s31904	s31943	s32025	s32109	s32186	s32573	s32679	s32994	s33276	s33833	sAI_5316	sAI_9042	sAI_9328
alpha_rarefaction_10_0.txt	10	0	2.34289	1.70385	1.93467	1.92485	1.6757	2.17997	1.63827	2.43812	1.80599	1.9477	1.98852	1.31547	1.9317	2.37802	2.3128	1.97711	2.0793	0.99871	2.76466	1.98734	1.02871	2.66558	1.77864	2.04798	1.84728	1.16944	1.44897	2.19872	1.60572	1.38362	1.01414	1.29295	2.09034	2.09632	1.83006	1.4632	2.30905	2.34539	1.88219	1.78857	1.38946	2.16569	1.53978	2.39739	2.56564	2.04362	2.01034	2.59107	1.70844	0.89846	2.03126	2.14574	2.12306	2.34016	1.92334	1.66142	1.68087	2.43441	1.95231	1.04863	1.16701	2.06341	1.51974	1.62058	2.01816	1.04541	2.53367	2.44181	0.98813	1.69201	1.47378	1.31174	1.99492	1.99295	1.61977	2.10785	3.37963	1.70083	2.20417	1.43646	2.4638	2.20774	1.79799	1.50612	1.98014	2.88248	1.70763	1.57183	2.53057	2.41483	0.99865	1.74183	1.86658
alpha_rarefaction_10_1.txt	10	1	1.74129	1.56937	2.53379	2.06133	2.95232	1.86974	1.83147	1.94553	2.32821	3.56167	2.55463	1.76552	1.58391	1.1486	2.50707	2.07447	2.54086	1.07865	2.09626	2.06865	1.26457	1.91194	3.13245	3.38034	1.71101	1.08004	1.3554	1.66059	2.00427	2.18506	1.05697	1.74261	2.06982	2.67663	1.49337	2.2872	1.49001	2.02445	1.35239	1.42814	1.72766	2.65089	1.83666	1.7575	2.26077	1.33496	2.01184	1.48339	2.09414	0.99001	2.3911	2.03337	1.77838	2.18966	2.02833	2.29164	1.93024	1.70465	2.38673	1.28394	1.29997	1.74966	1.54377	2.19585	2.45912	1.67334	2.53541	2.44189	1.49223	1.97961	1.17847	1.27923	2.26424	1.65867	1.26397	1.87073	2.28951	1.43823	1.55777	1.04156	2.1472	2.35356	2.30854	1.11786	2.33335	2.76927	2.00002	2.24088	2.81666	2.13417	1.55222	1.39881	2.12871
alpha_rarefaction_10_2.txt	10	2	2.03034	1.86245	2.57583	3.18836	2.05544	2.32884	1.85946	1.81094	1.70438	1.70774	2.24956	1.74655	1.19156	2.09806	2.44701	1.09936	2.67522	1.52223	1.82742	1.72952	1.45755	2.04212	2.47156	2.38471	1.61395	0.89815	1.39254	2.58873	1.34967	1.83198	1.23598	1.96575	1.35144	1.14167	1.38464	1.69715	2.15323	2.1098	2.36869	1.8549	1.46646	1.87023	1.61354	1.73801	1.82582	1.40559	2.2737	2.26471	1.76502	0.89433	2.12386	1.99101	1.83797	1.64518	2.8421	2.06682	2.41968	1.90909	2.17211	1.45793	1.5813	2.00949	1.50276	1.88852	1.73641	1.38964	2.20081	2.34596	1.72082	2.0496	2.07329	1.41892	2.6962	2.55524	0.98306	1.74604	1.76302	1.56256	2.60597	1.87085	2.76393	1.89191	1.91023	1.89034	2.12278	2.09151	1.52068	1.24966	2.41287	2.0217	1.27101	1.31905	2.31128
alpha_rarefaction_10_3.txt	10	3	1.62716	1.25475	1.2657	1.93579	1.93363	1.95105	1.69664	2.5424	2.84759	2.91745	1.92844	1.58444	1.35014	1.66487	2.63257	1.16404	2.20386	1.78481	1.70399	1.92731	1.12418	2.05627	2.76095	2.29244	3.22677	1.04557	1.46526	1.99511	2.10732	2.28307	1.60182	1.71715	2.14516	1.78037	1.47804	1.6594	1.85379	1.43264	1.55147	2.57111	1.62392	1.95585	1.80523	2.00431	2.28552	2.24221	1.74356	2.26992	2.02063	1.12783	2.02714	2.06095	1.4936	1.78953	1.37296	1.50628	1.93549	2.55422	2.22391	1.18005	1.35863	1.51561	1.62048	1.71841	2.57895	2.33082	2.34745	2.68396	1.16068	1.33985	2.02767	1.00906	2.44373	2.82471	1.55548	1.37197	1.80403	1.71845	1.51586	1.66392	2.49267	2.02	2.40923	1.40798	2.21391	2.54175	1.07222	1.67179	2.50955	2.49233	1.58524	2.17957	1.42545
alpha_rarefaction_10_4.txt	10	4	1.75878	1.64694	2.16512	1.84247	1.83111	2.55374	1.47614	2.39169	2.12661	2.91494	2.402	2.00943	1.48756	1.8065	2.47406	2.22964	1.95718	1.9258	2.57196	1.6163	0.9961	2.18442	2.39415	2.28462	1.86575	1.28711	2.05428	0.90107	2.07476	2.06705	1.37927	1.44613	1.76763	1.76989	1.69136	1.62836	1.92671	2.20571	1.44292	1.8939	1.3955	1.89146	1.33869	2.25898	2.55679	1.92628	2.09156	1.852	2.2765	0.86394	1.95077	1.92501	2.79813	1.5824	1.33008	1.78098	2.05931	2.26798	2.0301	1.88258	1.668	2.30291	1.2259	2.43216	2.10113	1.77512	2.783	3.15351	1.48847	1.48011	2.225	1.74097	2.62406	2.84723	1.75326	1.942	1.66317	1.528	2.35001	2.05923	2.31134	1.77727	2.21177	1.25821	2.47177	2.38458	1.0661	2.43096	2.74232	2.48328	1.77354	1.17032	1.16164
alpha_rarefaction_10_5.txt	10	5	1.93071	1.68773	2.03086	1.59086	2.2645	2.94633	1.68051	2.28595	2.84354	2.07115	2.41486	1.94024	1.73691	1.61845	1.7536	2.21265	2.04756	1.32365	2.67811	1.98965	0.81742	1.6013	2.65297	1.9041	2.03284	0.68483	1.02051	1.7489	1.92139	1.91887	1.72511	1.27532	1.57988	1.70541	1.1276	1.32948	1.44642	2.83764	1.77738	2.0804	1.55316	1.52045	1.87628	2.00265	2.61067	2.20023	2.24892	1.55496	2.11597	0.89846	2.34764	1.92037	2.40898	2.5902	2.37548	2.12221	2.22608	1.66734	2.4607	1.05262	1.40858	1.34273	1.29967	1.61352	2.85331	1.56755	2.91858	2.69553	2.12173	1.64602	2.19375	1.19235	2.32546	1.9185	0.97907	0.99052	2.95607	1.23602	2.43416	1.25821	2.80877	1.9428	2.37335	1.08999	2.7755	2.51545	1.48141	1.9558	2.7071	1.78302	1.47129	1.34967	1.76677
alpha_rarefaction_10_6.txt	10	6	1.71562	0.72692	1.39845	2.30033	2.05968	1.66239	1.46914	1.94638	2.48424	2.09995	2.57899	2.13489	1.62673	1.83084	2.30132	2.3091	2.39138	1.82019	1.90839	2.1996	0.75371	1.60632	2.13778	1.88302	1.51482	1.43413	1.74379	1.66059	1.8392	2.45526	1.96248	1.80102	1.5515	2.19728	1.47481	2.29782	2.23717	2.4019	1.36285	2.27561	2.00848	1.96629	1.6693	2.17023	1.94284	1.17862	2.49425	1.47169	2.55831	0.86807	2.44679	1.68747	2.06703	1.58406	1.7445	1.68705	2.05818	2.05242	2.04016	1.22793	1.27234	1.83809	1.5017	1.3542	1.82793	1.50894	2.62488	2.53898	1.04241	1.34603	2.0243	1.75016	2.02519	2.67149	1.02362	1.55417	1.31163	1.71671	2.44761	1.26737	1.73366	2.62834	2.10901	1.49196	2.37624	1.91476	1.35817	1.58843	2.72042	1.83859	1.70755	1.33182	2.08898
alpha_rarefaction_10_7.txt	10	7	1.40961	1.95319	2.52395	1.94084	1.01974	2.37472	1.94819	1.67425	2.40477	2.50983	2.51661	1.99073	1.7415	1.76142	1.89755	1.71543	2.61994	1.99626	2.28176	2.05882	0.83791	2.2953	1.99872	2.1948	1.79575	0.41576	1.42003	1.71385	2.31492	1.98823	1.21042	1.3634	1.9319	1.71483	1.35526	2.34134	1.93394	2.10138	1.61544	2.97252	0.83449	3.06406	1.84505	2.26209	2.29092	1.66917	2.09015	2.18436	1.54435	0.89846	1.64924	2.63433	1.63408	1.43435	2.23704	1.69335	1.47984	2.38875	2.57656	1.66763	1.68852	2.10545	1.99944	1.33831	2.10279	1.80655	2.64112	2.16537	1.58114	1.61847	2.25246	1.26912	1.98374	2.06978	1.37895	1.51289	1.47994	1.51903	1.62857	1.59177	2.17195	2.53283	2.37395	1.30991	2.87069	2.11451	0.77827	1.48448	2.23184	1.79048	1.33895	1.2703	1.77185
alpha_rarefaction_10_8.txt	10	8	1.68014	0.71237	2.23266	1.96737	3.17545	1.33517	1.74657	2.42196	1.61174	2.16516	1.53092	2.24861	1.1028	1.60095	3.03115	1.25136	2.11992	1.41556	0.9241	2.54228	0.88994	2.48595	1.88541	2.01202	2.00837	1.79113	2.39843	1.16971	2.01837	2.00951	1.53075	1.83389	2.18295	1.8123	1.645	1.03262	2.02458	1.55924	1.69569	1.99626	1.28973	2.12291	1.73326	2.2572	1.87088	2.14743	2.05763	2.31152	1.58986	1.08883	1.61406	1.98556	1.42429	1.7181	1.78163	1.93727	1.68355	2.05365	1.85662	1.09363	1.46801	2.38449	1.09896	1.40954	1.64875	1.44085	2.95246	2.09181	2.29821	2.0082	1.5874	1.30091	2.57628	1.65698	1.42365	1.42533	3.26811	1.59679	2.05326	1.743	2.72696	2.47931	2.16787	0.89404	2.24647	2.46867	1.31	2.179	2.83063	2.31749	1.20097	1.59971	1.59862
alpha_rarefaction_10_9.txt	10	9	2.15954	2.80097	1.18257	1.73739	3.05797	2.15796	1.52465	2.60656	2.53922	2.40143	1.14755	1.9353	1.25186	2.07677	1.53246	1.53833	2.85371	0.99047	2.26051	1.97006	1.85646	2.44027	2.52087	2.02672	1.49722	0.83862	2.16531	2.09368	1.86122	2.43085	1.30085	2.00042	1.97431	1.76583	1.38967	1.61751	2.07294	1.98511	1.92195	2.30819	1.84371	2.44368	1.44421	2.10431	2.15235	1.52267	2.29804	1.71945	2.18341	1.22922	2.35648	1.43819	2.16324	1.46008	3.32138	1.99713	1.52086	2.21052	2.83215	1.44603	1.95157	1.54013	1.60403	1.69622	1.7683	1.3539	3.34739	2.55799	1.53311	1.65239	1.84859	1.33493	2.49043	2.55328	1.34688	1.26781	1.98044	1.73068	2.47313	1.56101	1.79658	2.24368	2.33172	1.26605	2.85075	2.6088	1.5456	1.50485	3.0436	2.56919	1.96456	1.54435	2.19902
