	sequences per sample	iteration	LC01_F	LC02_F	LC03_F	LC05_F	LC06_F	LC07_F	LC08_F	LC10_F	LC11_F	LC12_F	LC13_F	LP02_F	LP03_F	LP04_F	LP05_F	LP06_F	LP08_F_REDO	LP09_F	LP11_F	LP12_F	LP13_F_REDO	LP14_F	LP16_F	LP17_F	LP18_F	LP19_F	LP20_F	s10832	s10852	s11287	s11367	s12389	s1624	s20844	s21911	s21944	s22683	s22756	s22787	s24010	s25149	s26891	s26917	s27111	s27321_9596	s27403	s27555	s27796	s28408	s28504	s28535	s28791	s29396	s29404	s29523	s29527	s29556	s29586	s29745	s29753	s29763	s29777	s29780_9504	s29848	s29934	s30012	s30239	s30731	s30879	s31091	s31166	s31202	s31219	s31369	s31407	s31475	s31659	s31686	s31716	s31761	s31904	s31943	s32025	s32109	s32186	s32573	s32679	s32994	s33276	s33833	sAI_5316	sAI_9042	sAI_9328
alpha_rarefaction_10_0.txt	10	0	0.14	0.3	0.14	0.12	0.12	0.16	0.22	0.12	0.24	0.12	0.12	0.3	0.16	0.1	0.14	0.1	0.12	0.24	0.12	0.16	0.24	0.14	0.18	0.1	0.2	0.12	0.14	0.4	0.1	0.28	0.66	0.26	0.16	0.14	0.28	0.2	0.12	0.14	0.14	0.14	0.18	0.14	0.14	0.22	0.14	0.16	0.12	0.12	0.24	0.36	0.12	0.16	0.1	0.16	0.18	0.18	0.2	0.16	0.18	0.68	0.52	0.16	0.16	0.18	0.16	0.42	0.22	0.18	0.66	0.18	0.1	0.3	0.18	0.16	0.4	0.32	0.12	0.24	0.18	0.24	0.16	0.12	0.16	0.32	0.14	0.12	0.18	0.24	0.1	0.1	0.38	0.16	0.32
alpha_rarefaction_10_1.txt	10	1	0.12	0.18	0.12	0.12	0.14	0.4	0.22	0.16	0.12	0.1	0.1	0.16	0.12	0.18	0.16	0.22	0.14	0.24	0.16	0.18	0.32	0.12	0.14	0.12	0.14	0.2	0.16	0.66	0.16	0.24	0.24	0.2	0.16	0.1	0.34	0.14	0.18	0.16	0.2	0.2	0.12	0.16	0.28	0.18	0.14	0.22	0.12	0.16	0.12	0.32	0.14	0.18	0.14	0.16	0.1	0.18	0.24	0.14	0.14	0.24	0.52	0.28	0.18	0.1	0.22	0.16	0.12	0.1	0.3	0.14	0.44	0.4	0.14	0.2	0.42	0.24	0.18	0.28	0.32	0.16	0.12	0.16	0.1	0.66	0.1	0.12	0.18	0.16	0.12	0.12	0.18	0.28	0.18
alpha_rarefaction_10_2.txt	10	2	0.18	0.16	0.12	0.12	0.12	0.22	0.18	0.18	0.14	0.22	0.14	0.32	0.16	0.1	0.16	0.16	0.14	0.18	0.16	0.24	0.36	0.16	0.12	0.16	0.16	0.24	0.12	0.18	0.16	0.2	0.22	0.18	0.24	0.16	0.32	0.22	0.12	0.18	0.12	0.14	0.52	0.28	0.24	0.3	0.28	0.16	0.12	0.12	0.18	0.34	0.24	0.24	0.12	0.2	0.1	0.22	0.18	0.14	0.14	0.32	0.52	0.14	0.22	0.14	0.2	0.52	0.14	0.16	0.18	0.12	0.14	0.22	0.16	0.18	0.42	0.18	0.24	0.3	0.3	0.16	0.12	0.18	0.1	0.4	0.18	0.14	0.16	0.24	0.1	0.1	0.2	0.2	0.14
alpha_rarefaction_10_3.txt	10	3	0.14	0.16	0.18	0.18	0.16	0.16	0.22	0.14	0.14	0.1	0.18	0.22	0.16	0.24	0.14	0.2	0.14	0.12	0.22	0.12	0.2	0.14	0.12	0.22	0.12	0.24	0.22	0.52	0.18	0.2	0.22	0.18	0.18	0.24	0.3	0.26	0.2	0.26	0.2	0.14	0.16	0.14	0.18	0.14	0.14	0.16	0.14	0.16	0.22	0.42	0.18	0.16	0.24	0.2	0.12	0.4	0.22	0.12	0.14	0.42	0.52	0.4	0.16	0.18	0.12	0.18	0.12	0.16	0.32	0.3	0.16	0.2	0.18	0.16	0.4	0.36	0.22	0.26	0.32	0.22	0.1	0.1	0.1	0.22	0.12	0.18	0.3	0.14	0.12	0.1	0.24	0.14	0.24
alpha_rarefaction_10_4.txt	10	4	0.18	0.16	0.1	0.14	0.14	0.16	0.4	0.16	0.16	0.1	0.12	0.22	0.14	0.14	0.22	0.12	0.18	0.14	0.12	0.3	0.28	0.12	0.12	0.14	0.14	0.14	0.3	0.66	0.18	0.16	0.2	0.18	0.14	0.1	0.52	0.22	0.14	0.16	0.12	0.16	0.4	0.14	0.24	0.12	0.18	0.18	0.12	0.18	0.22	0.5	0.24	0.14	0.12	0.16	0.1	0.3	0.24	0.12	0.22	0.28	0.18	0.14	0.26	0.14	0.16	0.24	0.12	0.12	0.24	0.42	0.12	0.22	0.12	0.14	0.26	0.28	0.24	0.22	0.3	0.16	0.14	0.18	0.14	0.52	0.14	0.18	0.24	0.1	0.14	0.12	0.2	0.42	0.34
alpha_rarefaction_10_5.txt	10	5	0.14	0.1	0.12	0.1	0.1	0.12	0.2	0.12	0.12	0.1	0.1	0.12	0.22	0.2	0.18	0.14	0.18	0.14	0.18	0.14	0.24	0.12	0.14	0.12	0.18	0.24	0.24	0.42	0.16	0.36	0.14	0.32	0.18	0.24	0.66	0.26	0.16	0.1	0.14	0.14	0.2	0.18	0.12	0.16	0.12	0.24	0.1	0.16	0.18	0.36	0.12	0.14	0.12	0.14	0.1	0.18	0.14	0.22	0.14	0.54	0.32	0.16	0.18	0.16	0.16	0.28	0.16	0.16	0.14	0.2	0.16	0.4	0.1	0.2	0.66	0.42	0.22	0.2	0.14	0.18	0.1	0.16	0.1	0.52	0.14	0.16	0.28	0.2	0.12	0.18	0.32	0.32	0.14
alpha_rarefaction_10_6.txt	10	6	0.14	0.18	0.18	0.1	0.14	0.32	0.22	0.12	0.14	0.1	0.1	0.16	0.18	0.12	0.18	0.14	0.18	0.14	0.14	0.14	0.34	0.1	0.1	0.16	0.16	0.16	0.3	0.66	0.22	0.14	0.32	0.24	0.16	0.14	0.42	0.12	0.14	0.16	0.24	0.18	0.24	0.22	0.24	0.16	0.18	0.3	0.14	0.2	0.14	0.38	0.14	0.22	0.1	0.36	0.18	0.2	0.24	0.32	0.14	0.4	0.32	0.14	0.18	0.24	0.22	0.22	0.12	0.1	0.4	0.24	0.18	0.22	0.18	0.12	0.58	0.24	0.42	0.16	0.24	0.24	0.16	0.12	0.1	0.52	0.14	0.24	0.4	0.18	0.12	0.12	0.22	0.14	0.22
alpha_rarefaction_10_7.txt	10	7	0.14	0.12	0.12	0.12	0.32	0.16	0.16	0.16	0.12	0.12	0.12	0.18	0.12	0.14	0.24	0.12	0.18	0.14	0.12	0.18	0.32	0.12	0.16	0.14	0.18	0.26	0.22	0.52	0.14	0.24	0.28	0.28	0.24	0.16	0.52	0.24	0.1	0.12	0.16	0.12	0.42	0.12	0.16	0.12	0.14	0.22	0.1	0.14	0.18	0.28	0.14	0.16	0.18	0.32	0.16	0.18	0.34	0.14	0.18	0.24	0.18	0.14	0.18	0.16	0.3	0.24	0.14	0.16	0.18	0.14	0.12	0.3	0.14	0.14	0.52	0.4	0.42	0.26	0.32	0.18	0.12	0.12	0.1	0.52	0.1	0.14	0.36	0.22	0.14	0.12	0.32	0.2	0.16
alpha_rarefaction_10_8.txt	10	8	0.18	0.16	0.12	0.14	0.12	0.18	0.3	0.16	0.12	0.14	0.1	0.14	0.16	0.16	0.22	0.14	0.14	0.14	0.14	0.12	0.24	0.1	0.14	0.14	0.18	0.12	0.16	0.54	0.2	0.28	0.3	0.16	0.16	0.14	0.52	0.32	0.12	0.4	0.14	0.18	0.36	0.12	0.2	0.14	0.2	0.16	0.14	0.12	0.16	0.3	0.24	0.24	0.24	0.4	0.12	0.26	0.42	0.22	0.2	0.42	0.66	0.18	0.12	0.16	0.26	0.22	0.12	0.12	0.14	0.16	0.22	0.22	0.12	0.28	0.52	0.32	0.18	0.2	0.24	0.22	0.12	0.12	0.1	0.82	0.14	0.18	0.32	0.12	0.12	0.1	0.36	0.24	0.22
alpha_rarefaction_10_9.txt	10	9	0.14	0.1	0.2	0.18	0.12	0.12	0.22	0.12	0.1	0.12	0.12	0.16	0.14	0.1	0.3	0.18	0.2	0.2	0.12	0.24	0.12	0.14	0.14	0.16	0.18	0.24	0.12	0.4	0.22	0.22	0.28	0.24	0.2	0.18	0.4	0.26	0.1	0.12	0.12	0.14	0.14	0.16	0.22	0.16	0.12	0.3	0.1	0.18	0.14	0.28	0.14	0.26	0.14	0.52	0.1	0.14	0.36	0.16	0.24	0.28	0.22	0.32	0.18	0.14	0.3	0.42	0.12	0.1	0.2	0.16	0.22	0.22	0.12	0.18	0.54	0.36	0.24	0.18	0.2	0.3	0.18	0.18	0.1	0.66	0.1	0.22	0.14	0.22	0.1	0.1	0.18	0.24	0.14
