	sequences per sample	iteration	LC01_F	LC02_F	LC03_F	LC05_F	LC06_F	LC07_F	LC08_F	LC10_F	LC11_F	LC12_F	LC13_F	LP02_F	LP03_F	LP04_F	LP05_F	LP06_F	LP08_F_REDO	LP09_F	LP11_F	LP12_F	LP13_F_REDO	LP14_F	LP16_F	LP17_F	LP18_F	LP19_F	LP20_F	s10832	s10852	s11287	s11367	s12389	s1624	s20844	s21911	s21944	s22683	s22756	s22787	s24010	s25149	s26891	s26917	s27111	s27321_9596	s27403	s27555	s27796	s28408	s28504	s28535	s28791	s29396	s29404	s29523	s29527	s29556	s29586	s29745	s29753	s29763	s29777	s29780_9504	s29848	s29934	s30012	s30239	s30731	s30879	s31091	s31166	s31202	s31219	s31369	s31407	s31475	s31659	s31686	s31716	s31761	s31904	s31943	s32025	s32109	s32186	s32573	s32679	s32994	s33276	s33833	sAI_5316	sAI_9042	sAI_9328
alpha_rarefaction_10_0.txt	10	0	0.973976031629	0.835975008087	0.973976031629	0.984858661788	0.984858661788	0.94881311489	0.898328912769	0.984858661788	0.898244401704	0.984858661788	0.984858661788	0.835975008087	0.94881311489	1.0	0.973976031629	1.0	0.984858661788	0.934977529767	0.984858661788	0.96957035019	0.898244401704	0.973976031629	0.942680714817	1.0	0.946411928215	0.984858661788	0.973976031629	0.762706906538	1.0	0.881353453269	0.581671865718	0.913864688385	0.94881311489	0.973976031629	0.881353453269	0.946411928215	0.984858661788	0.973976031629	0.973976031629	0.973976031629	0.942680714817	0.973976031629	0.973976031629	0.898328912769	0.973976031629	0.94881311489	0.984858661788	0.984858661788	0.898244401704	0.842737648614	0.984858661788	0.96957035019	1.0	0.94881311489	0.942680714817	0.942680714817	0.946411928215	0.94881311489	0.942680714817	0.721928094887	0.678389824724	0.94881311489	0.96957035019	0.975614963151	0.96957035019	0.785475297227	0.917208893279	0.942680714817	0.581671865718	0.942680714817	1.0	0.835975008087	0.942680714817	0.94881311489	0.762706906538	0.844541246459	0.984858661788	0.898244401704	0.942680714817	0.898244401704	0.94881311489	0.984858661788	0.96957035019	0.844541246459	0.973976031629	0.984858661788	0.942680714817	0.898244401704	1.0	1.0	0.937230563216	0.94881311489	0.844541246459
alpha_rarefaction_10_1.txt	10	1	0.984858661788	0.942680714817	0.984858661788	0.984858661788	0.973976031629	0.762706906538	0.898328912769	0.94881311489	0.984858661788	1.0	1.0	0.96957035019	0.984858661788	0.942680714817	0.94881311489	0.898328912769	0.973976031629	0.898244401704	0.94881311489	0.942680714817	0.844541246459	0.984858661788	0.973976031629	0.984858661788	0.973976031629	0.946411928215	0.94881311489	0.581671865718	0.96957035019	0.898244401704	0.898244401704	0.946411928215	0.94881311489	1.0	0.880482023722	0.973976031629	0.942680714817	0.94881311489	0.946411928215	0.946411928215	0.984858661788	0.94881311489	0.881353453269	0.942680714817	0.973976031629	0.917208893279	0.984858661788	0.96957035019	0.984858661788	0.844541246459	0.973976031629	0.942680714817	0.973976031629	0.94881311489	1.0	0.942680714817	0.934977529767	0.973976031629	0.973976031629	0.898244401704	0.678389824724	0.881353453269	0.942680714817	1.0	0.898328912769	0.96957035019	0.984858661788	1.0	0.835975008087	0.973976031629	0.864973520718	0.762706906538	0.973976031629	0.946411928215	0.785475297227	0.898244401704	0.942680714817	0.881353453269	0.844541246459	0.96957035019	0.984858661788	0.96957035019	1.0	0.581671865718	1.0	0.984858661788	0.942680714817	0.96957035019	0.984858661788	0.984858661788	0.942680714817	0.881353453269	0.942680714817
alpha_rarefaction_10_2.txt	10	2	0.942680714817	0.94881311489	0.984858661788	0.984858661788	0.984858661788	0.898328912769	0.942680714817	0.942680714817	0.973976031629	0.898328912769	0.973976031629	0.844541246459	0.94881311489	1.0	0.96957035019	0.96957035019	0.973976031629	0.942680714817	0.94881311489	0.934977529767	0.842737648614	0.96957035019	0.984858661788	0.94881311489	0.96957035019	0.898244401704	0.984858661788	0.942680714817	0.96957035019	0.946411928215	0.917208893279	0.942680714817	0.898244401704	0.94881311489	0.844541246459	0.898328912769	0.984858661788	0.942680714817	0.984858661788	0.973976031629	0.678389824724	0.881353453269	0.898244401704	0.835975008087	0.881353453269	0.94881311489	0.984858661788	0.984858661788	0.975614963151	0.991159471432	0.898244401704	0.898244401704	0.984858661788	0.946411928215	1.0	0.898328912769	0.942680714817	0.973976031629	0.973976031629	0.844541246459	0.678389824724	0.973976031629	0.898328912769	0.973976031629	0.946411928215	0.678389824724	0.973976031629	0.94881311489	0.942680714817	0.984858661788	0.973976031629	0.898328912769	0.94881311489	0.942680714817	0.785475297227	0.942680714817	0.898244401704	0.835975008087	0.835975008087	0.94881311489	0.984858661788	0.942680714817	1.0	0.762706906538	0.942680714817	0.973976031629	0.96957035019	0.934977529767	1.0	1.0	0.946411928215	0.946411928215	0.973976031629
alpha_rarefaction_10_3.txt	10	3	0.973976031629	0.94881311489	0.942680714817	0.942680714817	0.96957035019	0.94881311489	0.898328912769	0.973976031629	0.973976031629	1.0	0.942680714817	0.898328912769	0.94881311489	0.898244401704	0.973976031629	0.946411928215	0.973976031629	0.984858661788	0.898328912769	0.984858661788	0.946411928215	0.973976031629	0.984858661788	0.898328912769	0.984858661788	0.898244401704	0.898328912769	0.678389824724	0.942680714817	0.946411928215	0.898328912769	0.942680714817	0.942680714817	0.898244401704	0.835975008087	0.913864688385	0.946411928215	0.913864688385	0.946411928215	0.973976031629	0.94881311489	0.973976031629	0.942680714817	0.973976031629	0.973976031629	0.94881311489	0.973976031629	0.96957035019	0.898328912769	0.858672711073	0.942680714817	0.94881311489	0.898244401704	0.946411928215	0.984858661788	0.762706906538	0.917208893279	0.984858661788	0.973976031629	0.785475297227	0.678389824724	0.762706906538	0.96957035019	0.942680714817	0.984858661788	0.942680714817	0.984858661788	0.96957035019	0.844541246459	0.835975008087	0.94881311489	0.946411928215	0.942680714817	0.94881311489	0.762706906538	0.842737648614	0.917208893279	0.913864688385	0.844541246459	0.898328912769	1.0	1.0	1.0	0.898328912769	0.984858661788	0.942680714817	0.923219672336	0.973976031629	0.984858661788	1.0	0.934977529767	0.973976031629	0.934977529767
alpha_rarefaction_10_4.txt	10	4	0.942680714817	0.94881311489	1.0	0.973976031629	0.973976031629	0.94881311489	0.762706906538	0.94881311489	0.96957035019	1.0	0.984858661788	0.898328912769	0.973976031629	0.973976031629	0.898328912769	0.984858661788	0.942680714817	0.973976031629	0.984858661788	0.923219672336	0.881353453269	0.984858661788	0.984858661788	0.973976031629	0.973976031629	0.973976031629	0.835975008087	0.581671865718	0.942680714817	0.94881311489	0.946411928215	0.942680714817	0.973976031629	1.0	0.678389824724	0.898328912769	0.973976031629	0.96957035019	0.984858661788	0.96957035019	0.762706906538	0.973976031629	0.898244401704	0.984858661788	0.942680714817	0.942680714817	0.984858661788	0.942680714817	0.898328912769	1.0	0.898244401704	0.973976031629	0.984858661788	0.94881311489	1.0	0.835975008087	0.934977529767	0.984858661788	0.898328912769	0.881353453269	0.942680714817	0.973976031629	0.913864688385	0.973976031629	0.96957035019	0.898244401704	0.984858661788	0.984858661788	0.898244401704	0.785475297227	0.984858661788	0.898328912769	0.984858661788	0.973976031629	0.913864688385	0.881353453269	0.898244401704	0.898328912769	0.835975008087	0.94881311489	0.973976031629	0.942680714817	0.973976031629	0.678389824724	0.973976031629	0.942680714817	0.934977529767	1.0	0.973976031629	0.984858661788	0.946411928215	0.858672711073	0.860964047444
alpha_rarefaction_10_5.txt	10	5	0.973976031629	1.0	0.984858661788	1.0	1.0	0.984858661788	0.946411928215	0.984858661788	0.984858661788	1.0	1.0	0.984858661788	0.898328912769	0.946411928215	0.942680714817	0.973976031629	0.942680714817	0.973976031629	0.942680714817	0.973976031629	0.934977529767	0.984858661788	0.973976031629	0.984858661788	0.942680714817	0.934977529767	0.898244401704	0.785475297227	0.94881311489	0.842737648614	0.973976031629	0.844541246459	0.942680714817	0.898244401704	0.581671865718	0.913864688385	0.94881311489	1.0	0.973976031629	0.973976031629	0.946411928215	0.942680714817	0.984858661788	0.94881311489	0.984858661788	0.898244401704	1.0	0.96957035019	0.942680714817	0.842737648614	0.984858661788	0.973976031629	0.984858661788	0.973976031629	1.0	0.942680714817	0.973976031629	0.898328912769	0.973976031629	0.729846699162	0.844541246459	0.96957035019	0.942680714817	0.94881311489	0.94881311489	0.881353453269	0.94881311489	0.94881311489	0.973976031629	0.946411928215	0.96957035019	0.762706906538	1.0	0.946411928215	0.581671865718	0.858672711073	0.917208893279	0.946411928215	0.973976031629	0.942680714817	1.0	0.94881311489	1.0	0.678389824724	0.973976031629	0.94881311489	0.881353453269	0.946411928215	0.984858661788	0.942680714817	0.844541246459	0.844541246459	0.973976031629
alpha_rarefaction_10_6.txt	10	6	0.973976031629	0.942680714817	0.942680714817	1.0	0.973976031629	0.844541246459	0.898328912769	0.984858661788	0.973976031629	1.0	1.0	0.96957035019	0.942680714817	0.984858661788	0.942680714817	0.973976031629	0.942680714817	0.973976031629	0.973976031629	0.973976031629	0.860964047444	1.0	1.0	0.94881311489	0.96957035019	0.94881311489	0.835975008087	0.581671865718	0.917208893279	0.973976031629	0.844541246459	0.898244401704	0.96957035019	0.973976031629	0.785475297227	0.984858661788	0.973976031629	0.94881311489	0.898244401704	0.942680714817	0.898244401704	0.898328912769	0.898244401704	0.96957035019	0.942680714817	0.923219672336	0.973976031629	0.946411928215	0.973976031629	0.937230563216	0.973976031629	0.898328912769	1.0	0.842737648614	0.942680714817	0.946411928215	0.898244401704	0.844541246459	0.973976031629	0.762706906538	0.844541246459	0.973976031629	0.942680714817	0.898244401704	0.898328912769	0.898328912769	0.984858661788	1.0	0.762706906538	0.898244401704	0.942680714817	0.898328912769	0.942680714817	0.984858661788	0.881290899231	0.898244401704	0.785475297227	0.96957035019	0.898244401704	0.898244401704	0.96957035019	0.984858661788	1.0	0.678389824724	0.973976031629	0.898244401704	0.762706906538	0.942680714817	0.984858661788	0.984858661788	0.917208893279	0.973976031629	0.898328912769
alpha_rarefaction_10_7.txt	10	7	0.973976031629	0.984858661788	0.984858661788	0.984858661788	0.844541246459	0.94881311489	0.94881311489	0.96957035019	0.984858661788	0.984858661788	0.984858661788	0.942680714817	0.984858661788	0.973976031629	0.898244401704	0.984858661788	0.942680714817	0.973976031629	0.984858661788	0.942680714817	0.844541246459	0.984858661788	0.96957035019	0.973976031629	0.942680714817	0.913864688385	0.917208893279	0.678389824724	0.973976031629	0.898244401704	0.881353453269	0.881353453269	0.898244401704	0.96957035019	0.678389824724	0.898244401704	1.0	0.984858661788	0.96957035019	0.984858661788	0.785475297227	0.984858661788	0.96957035019	0.984858661788	0.973976031629	0.917208893279	1.0	0.973976031629	0.942680714817	0.947730922119	0.973976031629	0.96957035019	0.942680714817	0.844541246459	0.94881311489	0.942680714817	0.860964047444	0.973976031629	0.942680714817	0.898244401704	0.942680714817	0.973976031629	0.942680714817	0.96957035019	0.835975008087	0.898244401704	0.973976031629	0.96957035019	0.942680714817	0.973976031629	0.984858661788	0.835975008087	0.973976031629	0.973976031629	0.678389824724	0.762706906538	0.785475297227	0.913864688385	0.844541246459	0.942680714817	0.984858661788	0.984858661788	1.0	0.678389824724	1.0	0.973976031629	0.960229717861	0.917208893279	0.973976031629	0.984858661788	0.844541246459	0.946411928215	0.94881311489
alpha_rarefaction_10_8.txt	10	8	0.942680714817	0.94881311489	0.984858661788	0.973976031629	0.984858661788	0.942680714817	0.835975008087	0.96957035019	0.984858661788	0.973976031629	1.0	0.973976031629	0.96957035019	0.96957035019	0.898328912769	0.973976031629	0.973976031629	0.973976031629	0.973976031629	0.984858661788	0.898244401704	1.0	0.973976031629	0.973976031629	0.942680714817	0.984858661788	0.94881311489	0.729846699162	0.946411928215	0.881353453269	0.835975008087	0.96957035019	0.94881311489	0.973976031629	0.678389824724	0.844541246459	0.984858661788	0.762706906538	0.973976031629	0.975614963151	0.960229717861	0.984858661788	0.946411928215	0.973976031629	0.946411928215	0.94881311489	0.973976031629	0.984858661788	0.96957035019	0.923219672336	0.898244401704	0.898244401704	0.898244401704	0.762706906538	0.984858661788	0.913864688385	0.785475297227	0.898328912769	0.946411928215	0.785475297227	0.581671865718	0.942680714817	0.984858661788	0.96957035019	0.913864688385	0.917208893279	0.984858661788	0.984858661788	0.973976031629	0.94881311489	0.917208893279	0.898328912769	0.984858661788	0.881353453269	0.678389824724	0.844541246459	0.942680714817	0.946411928215	0.898244401704	0.898328912769	0.984858661788	0.984858661788	1.0	0.468995593589	0.973976031629	0.942680714817	0.844541246459	0.984858661788	0.984858661788	1.0	0.842737648614	0.898244401704	0.917208893279
alpha_rarefaction_10_9.txt	10	9	0.973976031629	1.0	0.946411928215	0.942680714817	0.984858661788	0.984858661788	0.898328912769	0.984858661788	1.0	0.984858661788	0.984858661788	0.96957035019	0.973976031629	1.0	0.835975008087	0.942680714817	0.946411928215	0.946411928215	0.984858661788	0.934977529767	0.984858661788	0.973976031629	0.973976031629	0.94881311489	0.942680714817	0.934977529767	0.984858661788	0.762706906538	0.917208893279	0.917208893279	0.881353453269	0.898244401704	0.946411928215	0.942680714817	0.762706906538	0.913864688385	1.0	0.984858661788	0.984858661788	0.973976031629	0.973976031629	0.94881311489	0.917208893279	0.94881311489	0.984858661788	0.835975008087	1.0	0.942680714817	0.973976031629	0.881353453269	0.973976031629	0.913864688385	0.973976031629	0.678389824724	1.0	0.973976031629	0.842737648614	0.96957035019	0.898244401704	0.881353453269	0.898328912769	0.844541246459	0.942680714817	0.973976031629	0.835975008087	0.858672711073	0.984858661788	1.0	0.946411928215	0.96957035019	0.898328912769	0.898328912769	0.984858661788	0.942680714817	0.729846699162	0.960229717861	0.898244401704	0.942680714817	0.946411928215	0.835975008087	0.942680714817	0.942680714817	1.0	0.581671865718	1.0	0.898328912769	0.973976031629	0.898328912769	1.0	1.0	0.942680714817	0.934977529767	0.973976031629
