	sequences per sample	iteration	LC01_F	LC02_F	LC03_F	LC05_F	LC06_F	LC07_F	LC08_F	LC10_F	LC11_F	LC12_F	LC13_F	LP02_F	LP03_F	LP04_F	LP05_F	LP06_F	LP08_F_REDO	LP09_F	LP11_F	LP12_F	LP13_F_REDO	LP14_F	LP16_F	LP17_F	LP18_F	LP19_F	LP20_F	s10832	s10852	s11287	s11367	s12389	s1624	s20844	s21911	s21944	s22683	s22756	s22787	s24010	s25149	s26891	s26917	s27111	s27321_9596	s27403	s27555	s27796	s28408	s28504	s28535	s28791	s29396	s29404	s29523	s29527	s29556	s29586	s29745	s29753	s29763	s29777	s29780_9504	s29848	s29934	s30012	s30239	s30731	s30879	s31091	s31166	s31202	s31219	s31369	s31407	s31475	s31659	s31686	s31716	s31761	s31904	s31943	s32025	s32109	s32186	s32573	s32679	s32994	s33276	s33833	sAI_5316	sAI_9042	sAI_9328
alpha_rarefaction_10_0.txt	10	0	18.5682828358	6.33308959969	18.5682828358	43.447511101	43.447511101	18.5682828358	10.3631300988	43.447511101	6.33308959969	43.447511101	43.447511101	6.33308959969	18.5682828358	566316545.867	18.5682828358	566316545.867	43.447511101	3.97952547465	43.447511101	10.3631300988	6.33308959969	18.5682828358	10.3631300988	566316545.867	6.33308959969	43.447511101	18.5682828358	3.97952547465	566316545.867	3.97952547465	1.45308831349	3.97952547465	18.5682828358	18.5682828358	3.97952547465	6.33308959969	43.447511101	18.5682828358	18.5682828358	18.5682828358	10.3631300988	18.5682828358	18.5682828358	10.3631300988	18.5682828358	18.5682828358	43.447511101	43.447511101	6.33308959969	2.47098427385	43.447511101	10.3631300988	566316545.867	18.5682828358	10.3631300988	10.3631300988	6.33308959969	18.5682828358	10.3631300988	0.751766920818	2.47098427385	18.5682828358	10.3631300988	6.33308959969	10.3631300988	2.47098427385	6.33308959969	10.3631300988	1.45308831349	10.3631300988	566316545.867	6.33308959969	10.3631300988	18.5682828358	3.97952547465	3.97952547465	43.447511101	6.33308959969	10.3631300988	6.33308959969	18.5682828358	43.447511101	10.3631300988	3.97952547465	18.5682828358	43.447511101	10.3631300988	6.33308959969	566316545.867	566316545.867	1.45308831349	18.5682828358	3.97952547465
alpha_rarefaction_10_1.txt	10	1	43.447511101	10.3631300988	43.447511101	43.447511101	18.5682828358	3.97952547465	10.3631300988	18.5682828358	43.447511101	566316545.867	566316545.867	10.3631300988	43.447511101	10.3631300988	18.5682828358	10.3631300988	18.5682828358	6.33308959969	18.5682828358	10.3631300988	3.97952547465	43.447511101	18.5682828358	43.447511101	18.5682828358	6.33308959969	18.5682828358	1.45308831349	10.3631300988	6.33308959969	6.33308959969	6.33308959969	18.5682828358	566316545.867	2.47098427385	18.5682828358	10.3631300988	18.5682828358	6.33308959969	6.33308959969	43.447511101	18.5682828358	3.97952547465	10.3631300988	18.5682828358	6.33308959969	43.447511101	10.3631300988	43.447511101	3.97952547465	18.5682828358	10.3631300988	18.5682828358	18.5682828358	566316545.867	10.3631300988	3.97952547465	18.5682828358	18.5682828358	6.33308959969	2.47098427385	3.97952547465	10.3631300988	566316545.867	10.3631300988	10.3631300988	43.447511101	566316545.867	6.33308959969	18.5682828358	1.45308831349	3.97952547465	18.5682828358	6.33308959969	2.47098427385	6.33308959969	10.3631300988	3.97952547465	3.97952547465	10.3631300988	43.447511101	10.3631300988	566316545.867	1.45308831349	566316545.867	43.447511101	10.3631300988	10.3631300988	43.447511101	43.447511101	10.3631300988	3.97952547465	10.3631300988
alpha_rarefaction_10_2.txt	10	2	10.3631300988	18.5682828358	43.447511101	43.447511101	43.447511101	10.3631300988	10.3631300988	10.3631300988	18.5682828358	10.3631300988	18.5682828358	3.97952547465	18.5682828358	566316545.867	10.3631300988	10.3631300988	18.5682828358	10.3631300988	18.5682828358	3.97952547465	2.47098427385	10.3631300988	43.447511101	18.5682828358	10.3631300988	6.33308959969	43.447511101	10.3631300988	10.3631300988	6.33308959969	6.33308959969	10.3631300988	6.33308959969	18.5682828358	3.97952547465	10.3631300988	43.447511101	10.3631300988	43.447511101	18.5682828358	2.47098427385	3.97952547465	6.33308959969	6.33308959969	3.97952547465	18.5682828358	43.447511101	43.447511101	6.33308959969	1.45308831349	6.33308959969	6.33308959969	43.447511101	6.33308959969	566316545.867	10.3631300988	10.3631300988	18.5682828358	18.5682828358	3.97952547465	2.47098427385	18.5682828358	10.3631300988	18.5682828358	6.33308959969	2.47098427385	18.5682828358	18.5682828358	10.3631300988	43.447511101	18.5682828358	10.3631300988	18.5682828358	10.3631300988	2.47098427385	10.3631300988	6.33308959969	6.33308959969	6.33308959969	18.5682828358	43.447511101	10.3631300988	566316545.867	3.97952547465	10.3631300988	18.5682828358	10.3631300988	3.97952547465	566316545.867	566316545.867	6.33308959969	6.33308959969	18.5682828358
alpha_rarefaction_10_3.txt	10	3	18.5682828358	18.5682828358	10.3631300988	10.3631300988	10.3631300988	18.5682828358	10.3631300988	18.5682828358	18.5682828358	566316545.867	10.3631300988	10.3631300988	18.5682828358	6.33308959969	18.5682828358	6.33308959969	18.5682828358	43.447511101	10.3631300988	43.447511101	6.33308959969	18.5682828358	43.447511101	10.3631300988	43.447511101	6.33308959969	10.3631300988	2.47098427385	10.3631300988	6.33308959969	10.3631300988	10.3631300988	10.3631300988	6.33308959969	6.33308959969	3.97952547465	6.33308959969	3.97952547465	6.33308959969	18.5682828358	18.5682828358	18.5682828358	10.3631300988	18.5682828358	18.5682828358	18.5682828358	18.5682828358	10.3631300988	10.3631300988	1.45308831349	10.3631300988	18.5682828358	6.33308959969	6.33308959969	43.447511101	3.97952547465	6.33308959969	43.447511101	18.5682828358	2.47098427385	2.47098427385	3.97952547465	10.3631300988	10.3631300988	43.447511101	10.3631300988	43.447511101	10.3631300988	3.97952547465	6.33308959969	18.5682828358	6.33308959969	10.3631300988	18.5682828358	3.97952547465	2.47098427385	6.33308959969	3.97952547465	3.97952547465	10.3631300988	566316545.867	566316545.867	566316545.867	10.3631300988	43.447511101	10.3631300988	2.47098427385	18.5682828358	43.447511101	566316545.867	3.97952547465	18.5682828358	3.97952547465
alpha_rarefaction_10_4.txt	10	4	10.3631300988	18.5682828358	566316545.867	18.5682828358	18.5682828358	18.5682828358	3.97952547465	18.5682828358	10.3631300988	566316545.867	43.447511101	10.3631300988	18.5682828358	18.5682828358	10.3631300988	43.447511101	10.3631300988	18.5682828358	43.447511101	2.47098427385	3.97952547465	43.447511101	43.447511101	18.5682828358	18.5682828358	18.5682828358	6.33308959969	1.45308831349	10.3631300988	18.5682828358	6.33308959969	10.3631300988	18.5682828358	566316545.867	2.47098427385	10.3631300988	18.5682828358	10.3631300988	43.447511101	10.3631300988	3.97952547465	18.5682828358	6.33308959969	43.447511101	10.3631300988	10.3631300988	43.447511101	10.3631300988	10.3631300988	0.751766920818	6.33308959969	18.5682828358	43.447511101	18.5682828358	566316545.867	6.33308959969	3.97952547465	43.447511101	10.3631300988	3.97952547465	10.3631300988	18.5682828358	3.97952547465	18.5682828358	10.3631300988	6.33308959969	43.447511101	43.447511101	6.33308959969	2.47098427385	43.447511101	10.3631300988	43.447511101	18.5682828358	3.97952547465	3.97952547465	6.33308959969	10.3631300988	6.33308959969	18.5682828358	18.5682828358	10.3631300988	18.5682828358	2.47098427385	18.5682828358	10.3631300988	3.97952547465	566316545.867	18.5682828358	43.447511101	6.33308959969	1.45308831349	2.47098427385
alpha_rarefaction_10_5.txt	10	5	18.5682828358	566316545.867	43.447511101	566316545.867	566316545.867	43.447511101	6.33308959969	43.447511101	43.447511101	566316545.867	566316545.867	43.447511101	10.3631300988	6.33308959969	10.3631300988	18.5682828358	10.3631300988	18.5682828358	10.3631300988	18.5682828358	3.97952547465	43.447511101	18.5682828358	43.447511101	10.3631300988	3.97952547465	6.33308959969	2.47098427385	18.5682828358	2.47098427385	18.5682828358	3.97952547465	10.3631300988	6.33308959969	1.45308831349	3.97952547465	18.5682828358	566316545.867	18.5682828358	18.5682828358	6.33308959969	10.3631300988	43.447511101	18.5682828358	43.447511101	6.33308959969	566316545.867	10.3631300988	10.3631300988	2.47098427385	43.447511101	18.5682828358	43.447511101	18.5682828358	566316545.867	10.3631300988	18.5682828358	10.3631300988	18.5682828358	1.45308831349	3.97952547465	10.3631300988	10.3631300988	18.5682828358	18.5682828358	3.97952547465	18.5682828358	18.5682828358	18.5682828358	6.33308959969	10.3631300988	3.97952547465	566316545.867	6.33308959969	1.45308831349	1.45308831349	6.33308959969	6.33308959969	18.5682828358	10.3631300988	566316545.867	18.5682828358	566316545.867	2.47098427385	18.5682828358	18.5682828358	3.97952547465	6.33308959969	43.447511101	10.3631300988	3.97952547465	3.97952547465	18.5682828358
alpha_rarefaction_10_6.txt	10	6	18.5682828358	10.3631300988	10.3631300988	566316545.867	18.5682828358	3.97952547465	10.3631300988	43.447511101	18.5682828358	566316545.867	566316545.867	10.3631300988	10.3631300988	43.447511101	10.3631300988	18.5682828358	10.3631300988	18.5682828358	18.5682828358	18.5682828358	2.47098427385	566316545.867	566316545.867	18.5682828358	10.3631300988	18.5682828358	6.33308959969	1.45308831349	6.33308959969	18.5682828358	3.97952547465	6.33308959969	10.3631300988	18.5682828358	2.47098427385	43.447511101	18.5682828358	18.5682828358	6.33308959969	10.3631300988	6.33308959969	10.3631300988	6.33308959969	10.3631300988	10.3631300988	2.47098427385	18.5682828358	6.33308959969	18.5682828358	1.45308831349	18.5682828358	10.3631300988	566316545.867	2.47098427385	10.3631300988	6.33308959969	6.33308959969	3.97952547465	18.5682828358	3.97952547465	3.97952547465	18.5682828358	10.3631300988	6.33308959969	10.3631300988	10.3631300988	43.447511101	566316545.867	3.97952547465	6.33308959969	10.3631300988	10.3631300988	10.3631300988	43.447511101	0.751766920818	6.33308959969	2.47098427385	10.3631300988	6.33308959969	6.33308959969	10.3631300988	43.447511101	566316545.867	2.47098427385	18.5682828358	6.33308959969	3.97952547465	10.3631300988	43.447511101	43.447511101	6.33308959969	18.5682828358	10.3631300988
alpha_rarefaction_10_7.txt	10	7	18.5682828358	43.447511101	43.447511101	43.447511101	3.97952547465	18.5682828358	18.5682828358	10.3631300988	43.447511101	43.447511101	43.447511101	10.3631300988	43.447511101	18.5682828358	6.33308959969	43.447511101	10.3631300988	18.5682828358	43.447511101	10.3631300988	3.97952547465	43.447511101	10.3631300988	18.5682828358	10.3631300988	3.97952547465	6.33308959969	2.47098427385	18.5682828358	6.33308959969	3.97952547465	3.97952547465	6.33308959969	10.3631300988	2.47098427385	6.33308959969	566316545.867	43.447511101	10.3631300988	43.447511101	2.47098427385	43.447511101	10.3631300988	43.447511101	18.5682828358	6.33308959969	566316545.867	18.5682828358	10.3631300988	2.47098427385	18.5682828358	10.3631300988	10.3631300988	3.97952547465	18.5682828358	10.3631300988	2.47098427385	18.5682828358	10.3631300988	6.33308959969	10.3631300988	18.5682828358	10.3631300988	10.3631300988	6.33308959969	6.33308959969	18.5682828358	10.3631300988	10.3631300988	18.5682828358	43.447511101	6.33308959969	18.5682828358	18.5682828358	2.47098427385	3.97952547465	2.47098427385	3.97952547465	3.97952547465	10.3631300988	43.447511101	43.447511101	566316545.867	2.47098427385	566316545.867	18.5682828358	1.45308831349	6.33308959969	18.5682828358	43.447511101	3.97952547465	6.33308959969	18.5682828358
alpha_rarefaction_10_8.txt	10	8	10.3631300988	18.5682828358	43.447511101	18.5682828358	43.447511101	10.3631300988	6.33308959969	10.3631300988	43.447511101	18.5682828358	566316545.867	18.5682828358	10.3631300988	10.3631300988	10.3631300988	18.5682828358	18.5682828358	18.5682828358	18.5682828358	43.447511101	6.33308959969	566316545.867	18.5682828358	18.5682828358	10.3631300988	43.447511101	18.5682828358	1.45308831349	6.33308959969	3.97952547465	6.33308959969	10.3631300988	18.5682828358	18.5682828358	2.47098427385	3.97952547465	43.447511101	3.97952547465	18.5682828358	6.33308959969	1.45308831349	43.447511101	6.33308959969	18.5682828358	6.33308959969	18.5682828358	18.5682828358	43.447511101	10.3631300988	2.47098427385	6.33308959969	6.33308959969	6.33308959969	3.97952547465	43.447511101	3.97952547465	2.47098427385	10.3631300988	6.33308959969	2.47098427385	1.45308831349	10.3631300988	43.447511101	10.3631300988	3.97952547465	6.33308959969	43.447511101	43.447511101	18.5682828358	18.5682828358	6.33308959969	10.3631300988	43.447511101	3.97952547465	2.47098427385	3.97952547465	10.3631300988	6.33308959969	6.33308959969	10.3631300988	43.447511101	43.447511101	566316545.867	0.751766920818	18.5682828358	10.3631300988	3.97952547465	43.447511101	43.447511101	566316545.867	2.47098427385	6.33308959969	6.33308959969
alpha_rarefaction_10_9.txt	10	9	18.5682828358	566316545.867	6.33308959969	10.3631300988	43.447511101	43.447511101	10.3631300988	43.447511101	566316545.867	43.447511101	43.447511101	10.3631300988	18.5682828358	566316545.867	6.33308959969	10.3631300988	6.33308959969	6.33308959969	43.447511101	3.97952547465	43.447511101	18.5682828358	18.5682828358	18.5682828358	10.3631300988	3.97952547465	43.447511101	3.97952547465	6.33308959969	6.33308959969	3.97952547465	6.33308959969	6.33308959969	10.3631300988	3.97952547465	3.97952547465	566316545.867	43.447511101	43.447511101	18.5682828358	18.5682828358	18.5682828358	6.33308959969	18.5682828358	43.447511101	6.33308959969	566316545.867	10.3631300988	18.5682828358	3.97952547465	18.5682828358	3.97952547465	18.5682828358	2.47098427385	566316545.867	18.5682828358	2.47098427385	10.3631300988	6.33308959969	3.97952547465	10.3631300988	3.97952547465	10.3631300988	18.5682828358	6.33308959969	1.45308831349	43.447511101	566316545.867	6.33308959969	10.3631300988	10.3631300988	10.3631300988	43.447511101	10.3631300988	1.45308831349	1.45308831349	6.33308959969	10.3631300988	6.33308959969	6.33308959969	10.3631300988	10.3631300988	566316545.867	1.45308831349	566316545.867	10.3631300988	18.5682828358	10.3631300988	566316545.867	566316545.867	10.3631300988	3.97952547465	18.5682828358
