	sequences per sample	iteration	LC01_F	LC02_F	LC03_F	LC05_F	LC06_F	LC07_F	LC08_F	LC10_F	LC11_F	LC12_F	LC13_F	LP02_F	LP03_F	LP04_F	LP05_F	LP06_F	LP08_F_REDO	LP09_F	LP11_F	LP12_F	LP13_F_REDO	LP14_F	LP16_F	LP17_F	LP18_F	LP19_F	LP20_F	s10832	s10852	s11287	s11367	s12389	s1624	s20844	s21911	s21944	s22683	s22756	s22787	s24010	s25149	s26891	s26917	s27111	s27321_9596	s27403	s27555	s27796	s28408	s28504	s28535	s28791	s29396	s29404	s29523	s29527	s29556	s29586	s29745	s29753	s29763	s29777	s29780_9504	s29848	s29934	s30012	s30239	s30731	s30879	s31091	s31166	s31202	s31219	s31369	s31407	s31475	s31659	s31686	s31716	s31761	s31904	s31943	s32025	s32109	s32186	s32573	s32679	s32994	s33276	s33833	sAI_5316	sAI_9042	sAI_9328
alpha_rarefaction_10_0.txt	10	0	2.92192809489	2.16096404744	2.92192809489	3.12192809489	3.12192809489	2.84643934467	2.52192809489	3.12192809489	2.32192809489	3.12192809489	3.12192809489	2.16096404744	2.84643934467	3.32192809489	2.92192809489	3.32192809489	3.12192809489	2.17095059445	3.12192809489	2.72192809489	2.32192809489	2.92192809489	2.64643934467	3.32192809489	2.44643934467	3.12192809489	2.92192809489	1.77095059445	3.32192809489	2.04643934467	0.921928094887	2.12192809489	2.84643934467	2.92192809489	2.04643934467	2.44643934467	3.12192809489	2.92192809489	2.92192809489	2.92192809489	2.64643934467	2.92192809489	2.92192809489	2.52192809489	2.92192809489	2.84643934467	3.12192809489	3.12192809489	2.32192809489	1.68547529723	3.12192809489	2.72192809489	3.32192809489	2.84643934467	2.64643934467	2.64643934467	2.44643934467	2.84643934467	2.64643934467	0.721928094887	1.35677964945	2.84643934467	2.72192809489	2.52192809489	2.72192809489	1.57095059445	2.37095059445	2.64643934467	0.921928094887	2.64643934467	3.32192809489	2.16096404744	2.64643934467	2.84643934467	1.77095059445	1.96096404744	3.12192809489	2.32192809489	2.64643934467	2.32192809489	2.84643934467	3.12192809489	2.72192809489	1.96096404744	2.92192809489	3.12192809489	2.64643934467	2.32192809489	3.32192809489	3.32192809489	1.48547529723	2.84643934467	1.96096404744
alpha_rarefaction_10_1.txt	10	1	3.12192809489	2.64643934467	3.12192809489	3.12192809489	2.92192809489	1.77095059445	2.52192809489	2.84643934467	3.12192809489	3.32192809489	3.32192809489	2.72192809489	3.12192809489	2.64643934467	2.84643934467	2.52192809489	2.92192809489	2.32192809489	2.84643934467	2.64643934467	1.96096404744	3.12192809489	2.92192809489	3.12192809489	2.92192809489	2.44643934467	2.84643934467	0.921928094887	2.72192809489	2.32192809489	2.32192809489	2.44643934467	2.84643934467	3.32192809489	1.76096404744	2.92192809489	2.64643934467	2.84643934467	2.44643934467	2.44643934467	3.12192809489	2.84643934467	2.04643934467	2.64643934467	2.92192809489	2.37095059445	3.12192809489	2.72192809489	3.12192809489	1.96096404744	2.92192809489	2.64643934467	2.92192809489	2.84643934467	3.32192809489	2.64643934467	2.17095059445	2.92192809489	2.92192809489	2.32192809489	1.35677964945	2.04643934467	2.64643934467	3.32192809489	2.52192809489	2.72192809489	3.12192809489	3.32192809489	2.16096404744	2.92192809489	1.37095059445	1.77095059445	2.92192809489	2.44643934467	1.57095059445	2.32192809489	2.64643934467	2.04643934467	1.96096404744	2.72192809489	3.12192809489	2.72192809489	3.32192809489	0.921928094887	3.32192809489	3.12192809489	2.64643934467	2.72192809489	3.12192809489	3.12192809489	2.64643934467	2.04643934467	2.64643934467
alpha_rarefaction_10_2.txt	10	2	2.64643934467	2.84643934467	3.12192809489	3.12192809489	3.12192809489	2.52192809489	2.64643934467	2.64643934467	2.92192809489	2.52192809489	2.92192809489	1.96096404744	2.84643934467	3.32192809489	2.72192809489	2.72192809489	2.92192809489	2.64643934467	2.84643934467	2.17095059445	1.68547529723	2.72192809489	3.12192809489	2.84643934467	2.72192809489	2.32192809489	3.12192809489	2.64643934467	2.72192809489	2.44643934467	2.37095059445	2.64643934467	2.32192809489	2.84643934467	1.96096404744	2.52192809489	3.12192809489	2.64643934467	3.12192809489	2.92192809489	1.35677964945	2.04643934467	2.32192809489	2.16096404744	2.04643934467	2.84643934467	3.12192809489	3.12192809489	2.52192809489	1.57095059445	2.32192809489	2.32192809489	3.12192809489	2.44643934467	3.32192809489	2.52192809489	2.64643934467	2.92192809489	2.92192809489	1.96096404744	1.35677964945	2.92192809489	2.52192809489	2.92192809489	2.44643934467	1.35677964945	2.92192809489	2.84643934467	2.64643934467	3.12192809489	2.92192809489	2.52192809489	2.84643934467	2.64643934467	1.57095059445	2.64643934467	2.32192809489	2.16096404744	2.16096404744	2.84643934467	3.12192809489	2.64643934467	3.32192809489	1.77095059445	2.64643934467	2.92192809489	2.72192809489	2.17095059445	3.32192809489	3.32192809489	2.44643934467	2.44643934467	2.92192809489
alpha_rarefaction_10_3.txt	10	3	2.92192809489	2.84643934467	2.64643934467	2.64643934467	2.72192809489	2.84643934467	2.52192809489	2.92192809489	2.92192809489	3.32192809489	2.64643934467	2.52192809489	2.84643934467	2.32192809489	2.92192809489	2.44643934467	2.92192809489	3.12192809489	2.52192809489	3.12192809489	2.44643934467	2.92192809489	3.12192809489	2.52192809489	3.12192809489	2.32192809489	2.52192809489	1.35677964945	2.64643934467	2.44643934467	2.52192809489	2.64643934467	2.64643934467	2.32192809489	2.16096404744	2.12192809489	2.44643934467	2.12192809489	2.44643934467	2.92192809489	2.84643934467	2.92192809489	2.64643934467	2.92192809489	2.92192809489	2.84643934467	2.92192809489	2.72192809489	2.52192809489	1.36096404744	2.64643934467	2.84643934467	2.32192809489	2.44643934467	3.12192809489	1.77095059445	2.37095059445	3.12192809489	2.92192809489	1.57095059445	1.35677964945	1.77095059445	2.72192809489	2.64643934467	3.12192809489	2.64643934467	3.12192809489	2.72192809489	1.96096404744	2.16096404744	2.84643934467	2.44643934467	2.64643934467	2.84643934467	1.77095059445	1.68547529723	2.37095059445	2.12192809489	1.96096404744	2.52192809489	3.32192809489	3.32192809489	3.32192809489	2.52192809489	3.12192809489	2.64643934467	1.84643934467	2.92192809489	3.12192809489	3.32192809489	2.17095059445	2.92192809489	2.17095059445
alpha_rarefaction_10_4.txt	10	4	2.64643934467	2.84643934467	3.32192809489	2.92192809489	2.92192809489	2.84643934467	1.77095059445	2.84643934467	2.72192809489	3.32192809489	3.12192809489	2.52192809489	2.92192809489	2.92192809489	2.52192809489	3.12192809489	2.64643934467	2.92192809489	3.12192809489	1.84643934467	2.04643934467	3.12192809489	3.12192809489	2.92192809489	2.92192809489	2.92192809489	2.16096404744	0.921928094887	2.64643934467	2.84643934467	2.44643934467	2.64643934467	2.92192809489	3.32192809489	1.35677964945	2.52192809489	2.92192809489	2.72192809489	3.12192809489	2.72192809489	1.77095059445	2.92192809489	2.32192809489	3.12192809489	2.64643934467	2.64643934467	3.12192809489	2.64643934467	2.52192809489	1.0	2.32192809489	2.92192809489	3.12192809489	2.84643934467	3.32192809489	2.16096404744	2.17095059445	3.12192809489	2.52192809489	2.04643934467	2.64643934467	2.92192809489	2.12192809489	2.92192809489	2.72192809489	2.32192809489	3.12192809489	3.12192809489	2.32192809489	1.57095059445	3.12192809489	2.52192809489	3.12192809489	2.92192809489	2.12192809489	2.04643934467	2.32192809489	2.52192809489	2.16096404744	2.84643934467	2.92192809489	2.64643934467	2.92192809489	1.35677964945	2.92192809489	2.64643934467	2.17095059445	3.32192809489	2.92192809489	3.12192809489	2.44643934467	1.36096404744	1.72192809489
alpha_rarefaction_10_5.txt	10	5	2.92192809489	3.32192809489	3.12192809489	3.32192809489	3.32192809489	3.12192809489	2.44643934467	3.12192809489	3.12192809489	3.32192809489	3.32192809489	3.12192809489	2.52192809489	2.44643934467	2.64643934467	2.92192809489	2.64643934467	2.92192809489	2.64643934467	2.92192809489	2.17095059445	3.12192809489	2.92192809489	3.12192809489	2.64643934467	2.17095059445	2.32192809489	1.57095059445	2.84643934467	1.68547529723	2.92192809489	1.96096404744	2.64643934467	2.32192809489	0.921928094887	2.12192809489	2.84643934467	3.32192809489	2.92192809489	2.92192809489	2.44643934467	2.64643934467	3.12192809489	2.84643934467	3.12192809489	2.32192809489	3.32192809489	2.72192809489	2.64643934467	1.68547529723	3.12192809489	2.92192809489	3.12192809489	2.92192809489	3.32192809489	2.64643934467	2.92192809489	2.52192809489	2.92192809489	1.15677964945	1.96096404744	2.72192809489	2.64643934467	2.84643934467	2.84643934467	2.04643934467	2.84643934467	2.84643934467	2.92192809489	2.44643934467	2.72192809489	1.77095059445	3.32192809489	2.44643934467	0.921928094887	1.36096404744	2.37095059445	2.44643934467	2.92192809489	2.64643934467	3.32192809489	2.84643934467	3.32192809489	1.35677964945	2.92192809489	2.84643934467	2.04643934467	2.44643934467	3.12192809489	2.64643934467	1.96096404744	1.96096404744	2.92192809489
alpha_rarefaction_10_6.txt	10	6	2.92192809489	2.64643934467	2.64643934467	3.32192809489	2.92192809489	1.96096404744	2.52192809489	3.12192809489	2.92192809489	3.32192809489	3.32192809489	2.72192809489	2.64643934467	3.12192809489	2.64643934467	2.92192809489	2.64643934467	2.92192809489	2.92192809489	2.92192809489	1.72192809489	3.32192809489	3.32192809489	2.84643934467	2.72192809489	2.84643934467	2.16096404744	0.921928094887	2.37095059445	2.92192809489	1.96096404744	2.32192809489	2.72192809489	2.92192809489	1.57095059445	3.12192809489	2.92192809489	2.84643934467	2.32192809489	2.64643934467	2.32192809489	2.52192809489	2.32192809489	2.72192809489	2.64643934467	1.84643934467	2.92192809489	2.44643934467	2.92192809489	1.48547529723	2.92192809489	2.52192809489	3.32192809489	1.68547529723	2.64643934467	2.44643934467	2.32192809489	1.96096404744	2.92192809489	1.77095059445	1.96096404744	2.92192809489	2.64643934467	2.32192809489	2.52192809489	2.52192809489	3.12192809489	3.32192809489	1.77095059445	2.32192809489	2.64643934467	2.52192809489	2.64643934467	3.12192809489	0.881290899231	2.32192809489	1.57095059445	2.72192809489	2.32192809489	2.32192809489	2.72192809489	3.12192809489	3.32192809489	1.35677964945	2.92192809489	2.32192809489	1.77095059445	2.64643934467	3.12192809489	3.12192809489	2.37095059445	2.92192809489	2.52192809489
alpha_rarefaction_10_7.txt	10	7	2.92192809489	3.12192809489	3.12192809489	3.12192809489	1.96096404744	2.84643934467	2.84643934467	2.72192809489	3.12192809489	3.12192809489	3.12192809489	2.64643934467	3.12192809489	2.92192809489	2.32192809489	3.12192809489	2.64643934467	2.92192809489	3.12192809489	2.64643934467	1.96096404744	3.12192809489	2.72192809489	2.92192809489	2.64643934467	2.12192809489	2.37095059445	1.35677964945	2.92192809489	2.32192809489	2.04643934467	2.04643934467	2.32192809489	2.72192809489	1.35677964945	2.32192809489	3.32192809489	3.12192809489	2.72192809489	3.12192809489	1.57095059445	3.12192809489	2.72192809489	3.12192809489	2.92192809489	2.37095059445	3.32192809489	2.92192809489	2.64643934467	1.89546184424	2.92192809489	2.72192809489	2.64643934467	1.96096404744	2.84643934467	2.64643934467	1.72192809489	2.92192809489	2.64643934467	2.32192809489	2.64643934467	2.92192809489	2.64643934467	2.72192809489	2.16096404744	2.32192809489	2.92192809489	2.72192809489	2.64643934467	2.92192809489	3.12192809489	2.16096404744	2.92192809489	2.92192809489	1.35677964945	1.77095059445	1.57095059445	2.12192809489	1.96096404744	2.64643934467	3.12192809489	3.12192809489	3.32192809489	1.35677964945	3.32192809489	2.92192809489	1.52192809489	2.37095059445	2.92192809489	3.12192809489	1.96096404744	2.44643934467	2.84643934467
alpha_rarefaction_10_8.txt	10	8	2.64643934467	2.84643934467	3.12192809489	2.92192809489	3.12192809489	2.64643934467	2.16096404744	2.72192809489	3.12192809489	2.92192809489	3.32192809489	2.92192809489	2.72192809489	2.72192809489	2.52192809489	2.92192809489	2.92192809489	2.92192809489	2.92192809489	3.12192809489	2.32192809489	3.32192809489	2.92192809489	2.92192809489	2.64643934467	3.12192809489	2.84643934467	1.15677964945	2.44643934467	2.04643934467	2.16096404744	2.72192809489	2.84643934467	2.92192809489	1.35677964945	1.96096404744	3.12192809489	1.77095059445	2.92192809489	2.52192809489	1.52192809489	3.12192809489	2.44643934467	2.92192809489	2.44643934467	2.84643934467	2.92192809489	3.12192809489	2.72192809489	1.84643934467	2.32192809489	2.32192809489	2.32192809489	1.77095059445	3.12192809489	2.12192809489	1.57095059445	2.52192809489	2.44643934467	1.57095059445	0.921928094887	2.64643934467	3.12192809489	2.72192809489	2.12192809489	2.37095059445	3.12192809489	3.12192809489	2.92192809489	2.84643934467	2.37095059445	2.52192809489	3.12192809489	2.04643934467	1.35677964945	1.96096404744	2.64643934467	2.44643934467	2.32192809489	2.52192809489	3.12192809489	3.12192809489	3.32192809489	0.468995593589	2.92192809489	2.64643934467	1.96096404744	3.12192809489	3.12192809489	3.32192809489	1.68547529723	2.32192809489	2.37095059445
alpha_rarefaction_10_9.txt	10	9	2.92192809489	3.32192809489	2.44643934467	2.64643934467	3.12192809489	3.12192809489	2.52192809489	3.12192809489	3.32192809489	3.12192809489	3.12192809489	2.72192809489	2.92192809489	3.32192809489	2.16096404744	2.64643934467	2.44643934467	2.44643934467	3.12192809489	2.17095059445	3.12192809489	2.92192809489	2.92192809489	2.84643934467	2.64643934467	2.17095059445	3.12192809489	1.77095059445	2.37095059445	2.37095059445	2.04643934467	2.32192809489	2.44643934467	2.64643934467	1.77095059445	2.12192809489	3.32192809489	3.12192809489	3.12192809489	2.92192809489	2.92192809489	2.84643934467	2.37095059445	2.84643934467	3.12192809489	2.16096404744	3.32192809489	2.64643934467	2.92192809489	2.04643934467	2.92192809489	2.12192809489	2.92192809489	1.35677964945	3.32192809489	2.92192809489	1.68547529723	2.72192809489	2.32192809489	2.04643934467	2.52192809489	1.96096404744	2.64643934467	2.92192809489	2.16096404744	1.36096404744	3.12192809489	3.32192809489	2.44643934467	2.72192809489	2.52192809489	2.52192809489	3.12192809489	2.64643934467	1.15677964945	1.52192809489	2.32192809489	2.64643934467	2.44643934467	2.16096404744	2.64643934467	2.64643934467	3.32192809489	0.921928094887	3.32192809489	2.52192809489	2.92192809489	2.52192809489	3.32192809489	3.32192809489	2.64643934467	2.17095059445	2.92192809489
