	sequences per sample	iteration	LC01_F	LC02_F	LC03_F	LC05_F	LC06_F	LC07_F	LC08_F	LC10_F	LC11_F	LC12_F	LC13_F	LP02_F	LP03_F	LP04_F	LP05_F	LP06_F	LP08_F_REDO	LP09_F	LP11_F	LP12_F	LP13_F_REDO	LP14_F	LP16_F	LP17_F	LP18_F	LP19_F	LP20_F	s10832	s10852	s11287	s11367	s12389	s1624	s20844	s21911	s21944	s22683	s22756	s22787	s24010	s25149	s26891	s26917	s27111	s27321_9596	s27403	s27555	s27796	s28408	s28504	s28535	s28791	s29396	s29404	s29523	s29527	s29556	s29586	s29745	s29753	s29763	s29777	s29780_9504	s29848	s29934	s30012	s30239	s30731	s30879	s31091	s31166	s31202	s31219	s31369	s31407	s31475	s31659	s31686	s31716	s31761	s31904	s31943	s32025	s32109	s32186	s32573	s32679	s32994	s33276	s33833	sAI_5316	sAI_9042	sAI_9328
alpha_rarefaction_10_0.txt	10	0	7.14285714286	3.33333333333	7.14285714286	8.33333333333	8.33333333333	6.25	4.54545454545	8.33333333333	4.16666666667	8.33333333333	8.33333333333	3.33333333333	6.25	10.0	7.14285714286	10.0	8.33333333333	4.16666666667	8.33333333333	6.25	4.16666666667	7.14285714286	5.55555555556	10.0	5.0	8.33333333333	7.14285714286	2.5	10.0	3.57142857143	1.51515151515	3.84615384615	6.25	7.14285714286	3.57142857143	5.0	8.33333333333	7.14285714286	7.14285714286	7.14285714286	5.55555555556	7.14285714286	7.14285714286	4.54545454545	7.14285714286	6.25	8.33333333333	8.33333333333	4.16666666667	2.77777777778	8.33333333333	6.25	10.0	6.25	5.55555555556	5.55555555556	5.0	6.25	5.55555555556	1.47058823529	1.92307692308	6.25	6.25	5.55555555556	6.25	2.38095238095	4.54545454545	5.55555555556	1.51515151515	5.55555555556	10.0	3.33333333333	5.55555555556	6.25	2.5	3.125	8.33333333333	4.16666666667	5.55555555556	4.16666666667	6.25	8.33333333333	6.25	3.125	7.14285714286	8.33333333333	5.55555555556	4.16666666667	10.0	10.0	2.63157894737	6.25	3.125
alpha_rarefaction_10_1.txt	10	1	8.33333333333	5.55555555556	8.33333333333	8.33333333333	7.14285714286	2.5	4.54545454545	6.25	8.33333333333	10.0	10.0	6.25	8.33333333333	5.55555555556	6.25	4.54545454545	7.14285714286	4.16666666667	6.25	5.55555555556	3.125	8.33333333333	7.14285714286	8.33333333333	7.14285714286	5.0	6.25	1.51515151515	6.25	4.16666666667	4.16666666667	5.0	6.25	10.0	2.94117647059	7.14285714286	5.55555555556	6.25	5.0	5.0	8.33333333333	6.25	3.57142857143	5.55555555556	7.14285714286	4.54545454545	8.33333333333	6.25	8.33333333333	3.125	7.14285714286	5.55555555556	7.14285714286	6.25	10.0	5.55555555556	4.16666666667	7.14285714286	7.14285714286	4.16666666667	1.92307692308	3.57142857143	5.55555555556	10.0	4.54545454545	6.25	8.33333333333	10.0	3.33333333333	7.14285714286	2.27272727273	2.5	7.14285714286	5.0	2.38095238095	4.16666666667	5.55555555556	3.57142857143	3.125	6.25	8.33333333333	6.25	10.0	1.51515151515	10.0	8.33333333333	5.55555555556	6.25	8.33333333333	8.33333333333	5.55555555556	3.57142857143	5.55555555556
alpha_rarefaction_10_2.txt	10	2	5.55555555556	6.25	8.33333333333	8.33333333333	8.33333333333	4.54545454545	5.55555555556	5.55555555556	7.14285714286	4.54545454545	7.14285714286	3.125	6.25	10.0	6.25	6.25	7.14285714286	5.55555555556	6.25	4.16666666667	2.77777777778	6.25	8.33333333333	6.25	6.25	4.16666666667	8.33333333333	5.55555555556	6.25	5.0	4.54545454545	5.55555555556	4.16666666667	6.25	3.125	4.54545454545	8.33333333333	5.55555555556	8.33333333333	7.14285714286	1.92307692308	3.57142857143	4.16666666667	3.33333333333	3.57142857143	6.25	8.33333333333	8.33333333333	5.55555555556	2.94117647059	4.16666666667	4.16666666667	8.33333333333	5.0	10.0	4.54545454545	5.55555555556	7.14285714286	7.14285714286	3.125	1.92307692308	7.14285714286	4.54545454545	7.14285714286	5.0	1.92307692308	7.14285714286	6.25	5.55555555556	8.33333333333	7.14285714286	4.54545454545	6.25	5.55555555556	2.38095238095	5.55555555556	4.16666666667	3.33333333333	3.33333333333	6.25	8.33333333333	5.55555555556	10.0	2.5	5.55555555556	7.14285714286	6.25	4.16666666667	10.0	10.0	5.0	5.0	7.14285714286
alpha_rarefaction_10_3.txt	10	3	7.14285714286	6.25	5.55555555556	5.55555555556	6.25	6.25	4.54545454545	7.14285714286	7.14285714286	10.0	5.55555555556	4.54545454545	6.25	4.16666666667	7.14285714286	5.0	7.14285714286	8.33333333333	4.54545454545	8.33333333333	5.0	7.14285714286	8.33333333333	4.54545454545	8.33333333333	4.16666666667	4.54545454545	1.92307692308	5.55555555556	5.0	4.54545454545	5.55555555556	5.55555555556	4.16666666667	3.33333333333	3.84615384615	5.0	3.84615384615	5.0	7.14285714286	6.25	7.14285714286	5.55555555556	7.14285714286	7.14285714286	6.25	7.14285714286	6.25	4.54545454545	2.38095238095	5.55555555556	6.25	4.16666666667	5.0	8.33333333333	2.5	4.54545454545	8.33333333333	7.14285714286	2.38095238095	1.92307692308	2.5	6.25	5.55555555556	8.33333333333	5.55555555556	8.33333333333	6.25	3.125	3.33333333333	6.25	5.0	5.55555555556	6.25	2.5	2.77777777778	4.54545454545	3.84615384615	3.125	4.54545454545	10.0	10.0	10.0	4.54545454545	8.33333333333	5.55555555556	3.33333333333	7.14285714286	8.33333333333	10.0	4.16666666667	7.14285714286	4.16666666667
alpha_rarefaction_10_4.txt	10	4	5.55555555556	6.25	10.0	7.14285714286	7.14285714286	6.25	2.5	6.25	6.25	10.0	8.33333333333	4.54545454545	7.14285714286	7.14285714286	4.54545454545	8.33333333333	5.55555555556	7.14285714286	8.33333333333	3.33333333333	3.57142857143	8.33333333333	8.33333333333	7.14285714286	7.14285714286	7.14285714286	3.33333333333	1.51515151515	5.55555555556	6.25	5.0	5.55555555556	7.14285714286	10.0	1.92307692308	4.54545454545	7.14285714286	6.25	8.33333333333	6.25	2.5	7.14285714286	4.16666666667	8.33333333333	5.55555555556	5.55555555556	8.33333333333	5.55555555556	4.54545454545	2.0	4.16666666667	7.14285714286	8.33333333333	6.25	10.0	3.33333333333	4.16666666667	8.33333333333	4.54545454545	3.57142857143	5.55555555556	7.14285714286	3.84615384615	7.14285714286	6.25	4.16666666667	8.33333333333	8.33333333333	4.16666666667	2.38095238095	8.33333333333	4.54545454545	8.33333333333	7.14285714286	3.84615384615	3.57142857143	4.16666666667	4.54545454545	3.33333333333	6.25	7.14285714286	5.55555555556	7.14285714286	1.92307692308	7.14285714286	5.55555555556	4.16666666667	10.0	7.14285714286	8.33333333333	5.0	2.38095238095	2.94117647059
alpha_rarefaction_10_5.txt	10	5	7.14285714286	10.0	8.33333333333	10.0	10.0	8.33333333333	5.0	8.33333333333	8.33333333333	10.0	10.0	8.33333333333	4.54545454545	5.0	5.55555555556	7.14285714286	5.55555555556	7.14285714286	5.55555555556	7.14285714286	4.16666666667	8.33333333333	7.14285714286	8.33333333333	5.55555555556	4.16666666667	4.16666666667	2.38095238095	6.25	2.77777777778	7.14285714286	3.125	5.55555555556	4.16666666667	1.51515151515	3.84615384615	6.25	10.0	7.14285714286	7.14285714286	5.0	5.55555555556	8.33333333333	6.25	8.33333333333	4.16666666667	10.0	6.25	5.55555555556	2.77777777778	8.33333333333	7.14285714286	8.33333333333	7.14285714286	10.0	5.55555555556	7.14285714286	4.54545454545	7.14285714286	1.85185185185	3.125	6.25	5.55555555556	6.25	6.25	3.57142857143	6.25	6.25	7.14285714286	5.0	6.25	2.5	10.0	5.0	1.51515151515	2.38095238095	4.54545454545	5.0	7.14285714286	5.55555555556	10.0	6.25	10.0	1.92307692308	7.14285714286	6.25	3.57142857143	5.0	8.33333333333	5.55555555556	3.125	3.125	7.14285714286
alpha_rarefaction_10_6.txt	10	6	7.14285714286	5.55555555556	5.55555555556	10.0	7.14285714286	3.125	4.54545454545	8.33333333333	7.14285714286	10.0	10.0	6.25	5.55555555556	8.33333333333	5.55555555556	7.14285714286	5.55555555556	7.14285714286	7.14285714286	7.14285714286	2.94117647059	10.0	10.0	6.25	6.25	6.25	3.33333333333	1.51515151515	4.54545454545	7.14285714286	3.125	4.16666666667	6.25	7.14285714286	2.38095238095	8.33333333333	7.14285714286	6.25	4.16666666667	5.55555555556	4.16666666667	4.54545454545	4.16666666667	6.25	5.55555555556	3.33333333333	7.14285714286	5.0	7.14285714286	2.63157894737	7.14285714286	4.54545454545	10.0	2.77777777778	5.55555555556	5.0	4.16666666667	3.125	7.14285714286	2.5	3.125	7.14285714286	5.55555555556	4.16666666667	4.54545454545	4.54545454545	8.33333333333	10.0	2.5	4.16666666667	5.55555555556	4.54545454545	5.55555555556	8.33333333333	1.72413793103	4.16666666667	2.38095238095	6.25	4.16666666667	4.16666666667	6.25	8.33333333333	10.0	1.92307692308	7.14285714286	4.16666666667	2.5	5.55555555556	8.33333333333	8.33333333333	4.54545454545	7.14285714286	4.54545454545
alpha_rarefaction_10_7.txt	10	7	7.14285714286	8.33333333333	8.33333333333	8.33333333333	3.125	6.25	6.25	6.25	8.33333333333	8.33333333333	8.33333333333	5.55555555556	8.33333333333	7.14285714286	4.16666666667	8.33333333333	5.55555555556	7.14285714286	8.33333333333	5.55555555556	3.125	8.33333333333	6.25	7.14285714286	5.55555555556	3.84615384615	4.54545454545	1.92307692308	7.14285714286	4.16666666667	3.57142857143	3.57142857143	4.16666666667	6.25	1.92307692308	4.16666666667	10.0	8.33333333333	6.25	8.33333333333	2.38095238095	8.33333333333	6.25	8.33333333333	7.14285714286	4.54545454545	10.0	7.14285714286	5.55555555556	3.57142857143	7.14285714286	6.25	5.55555555556	3.125	6.25	5.55555555556	2.94117647059	7.14285714286	5.55555555556	4.16666666667	5.55555555556	7.14285714286	5.55555555556	6.25	3.33333333333	4.16666666667	7.14285714286	6.25	5.55555555556	7.14285714286	8.33333333333	3.33333333333	7.14285714286	7.14285714286	1.92307692308	2.5	2.38095238095	3.84615384615	3.125	5.55555555556	8.33333333333	8.33333333333	10.0	1.92307692308	10.0	7.14285714286	2.77777777778	4.54545454545	7.14285714286	8.33333333333	3.125	5.0	6.25
alpha_rarefaction_10_8.txt	10	8	5.55555555556	6.25	8.33333333333	7.14285714286	8.33333333333	5.55555555556	3.33333333333	6.25	8.33333333333	7.14285714286	10.0	7.14285714286	6.25	6.25	4.54545454545	7.14285714286	7.14285714286	7.14285714286	7.14285714286	8.33333333333	4.16666666667	10.0	7.14285714286	7.14285714286	5.55555555556	8.33333333333	6.25	1.85185185185	5.0	3.57142857143	3.33333333333	6.25	6.25	7.14285714286	1.92307692308	3.125	8.33333333333	2.5	7.14285714286	5.55555555556	2.77777777778	8.33333333333	5.0	7.14285714286	5.0	6.25	7.14285714286	8.33333333333	6.25	3.33333333333	4.16666666667	4.16666666667	4.16666666667	2.5	8.33333333333	3.84615384615	2.38095238095	4.54545454545	5.0	2.38095238095	1.51515151515	5.55555555556	8.33333333333	6.25	3.84615384615	4.54545454545	8.33333333333	8.33333333333	7.14285714286	6.25	4.54545454545	4.54545454545	8.33333333333	3.57142857143	1.92307692308	3.125	5.55555555556	5.0	4.16666666667	4.54545454545	8.33333333333	8.33333333333	10.0	1.21951219512	7.14285714286	5.55555555556	3.125	8.33333333333	8.33333333333	10.0	2.77777777778	4.16666666667	4.54545454545
alpha_rarefaction_10_9.txt	10	9	7.14285714286	10.0	5.0	5.55555555556	8.33333333333	8.33333333333	4.54545454545	8.33333333333	10.0	8.33333333333	8.33333333333	6.25	7.14285714286	10.0	3.33333333333	5.55555555556	5.0	5.0	8.33333333333	4.16666666667	8.33333333333	7.14285714286	7.14285714286	6.25	5.55555555556	4.16666666667	8.33333333333	2.5	4.54545454545	4.54545454545	3.57142857143	4.16666666667	5.0	5.55555555556	2.5	3.84615384615	10.0	8.33333333333	8.33333333333	7.14285714286	7.14285714286	6.25	4.54545454545	6.25	8.33333333333	3.33333333333	10.0	5.55555555556	7.14285714286	3.57142857143	7.14285714286	3.84615384615	7.14285714286	1.92307692308	10.0	7.14285714286	2.77777777778	6.25	4.16666666667	3.57142857143	4.54545454545	3.125	5.55555555556	7.14285714286	3.33333333333	2.38095238095	8.33333333333	10.0	5.0	6.25	4.54545454545	4.54545454545	8.33333333333	5.55555555556	1.85185185185	2.77777777778	4.16666666667	5.55555555556	5.0	3.33333333333	5.55555555556	5.55555555556	10.0	1.51515151515	10.0	4.54545454545	7.14285714286	4.54545454545	10.0	10.0	5.55555555556	4.16666666667	7.14285714286
