	sequences per sample	iteration	LC01_F	LC02_F	LC03_F	LC05_F	LC06_F	LC07_F	LC08_F	LC10_F	LC11_F	LC12_F	LC13_F	LP02_F	LP03_F	LP04_F	LP05_F	LP06_F	LP08_F_REDO	LP09_F	LP11_F	LP12_F	LP13_F_REDO	LP14_F	LP16_F	LP17_F	LP18_F	LP19_F	LP20_F	s10832	s10852	s11287	s11367	s12389	s1624	s20844	s21911	s21944	s22683	s22756	s22787	s24010	s25149	s26891	s26917	s27111	s27321_9596	s27403	s27555	s27796	s28408	s28504	s28535	s28791	s29396	s29404	s29523	s29527	s29556	s29586	s29745	s29753	s29763	s29777	s29780_9504	s29848	s29934	s30012	s30239	s30731	s30879	s31091	s31166	s31202	s31219	s31369	s31407	s31475	s31659	s31686	s31716	s31761	s31904	s31943	s32025	s32109	s32186	s32573	s32679	s32994	s33276	s33833	sAI_5316	sAI_9042	sAI_9328
alpha_rarefaction_10_0.txt	10	0	0.15	0.333333333333	0.15	0.0888888888889	0.0888888888889	0.175	0.257142857143	0.0888888888889	0.266666666667	0.0888888888889	0.0888888888889	0.333333333333	0.175	0.0	0.15	0.0	0.0888888888889	0.2	0.0888888888889	0.171428571429	0.266666666667	0.15	0.214285714286	0.0	0.2	0.0888888888889	0.15	0.4	0.0	0.3	0.466666666667	0.2	0.175	0.15	0.3	0.2	0.0888888888889	0.15	0.15	0.15	0.214285714286	0.15	0.15	0.257142857143	0.15	0.175	0.0888888888889	0.0888888888889	0.266666666667	0.3	0.0888888888889	0.171428571429	0.0	0.175	0.214285714286	0.214285714286	0.2	0.175	0.214285714286	0.3	0.45	0.175	0.171428571429	0.133333333333	0.171428571429	0.35	0.266666666667	0.214285714286	0.466666666667	0.214285714286	0.0	0.333333333333	0.214285714286	0.175	0.4	0.3	0.0888888888889	0.266666666667	0.214285714286	0.266666666667	0.175	0.0888888888889	0.171428571429	0.3	0.15	0.0888888888889	0.214285714286	0.266666666667	0.0	0.0	0.166666666667	0.175	0.3
alpha_rarefaction_10_1.txt	10	1	0.0888888888889	0.214285714286	0.0888888888889	0.0888888888889	0.15	0.4	0.257142857143	0.175	0.0888888888889	0.0	0.0	0.171428571429	0.0888888888889	0.214285714286	0.175	0.257142857143	0.15	0.266666666667	0.175	0.214285714286	0.3	0.0888888888889	0.15	0.0888888888889	0.15	0.2	0.175	0.466666666667	0.171428571429	0.266666666667	0.266666666667	0.2	0.175	0.0	0.25	0.15	0.214285714286	0.175	0.2	0.2	0.0888888888889	0.175	0.3	0.214285714286	0.15	0.266666666667	0.0888888888889	0.171428571429	0.0888888888889	0.3	0.15	0.214285714286	0.15	0.175	0.0	0.214285714286	0.2	0.15	0.15	0.266666666667	0.45	0.3	0.214285714286	0.0	0.257142857143	0.171428571429	0.0888888888889	0.0	0.333333333333	0.15	0.266666666667	0.4	0.15	0.2	0.35	0.266666666667	0.214285714286	0.3	0.3	0.171428571429	0.0888888888889	0.171428571429	0.0	0.466666666667	0.0	0.0888888888889	0.214285714286	0.171428571429	0.0888888888889	0.0888888888889	0.214285714286	0.3	0.214285714286
alpha_rarefaction_10_2.txt	10	2	0.214285714286	0.175	0.0888888888889	0.0888888888889	0.0888888888889	0.257142857143	0.214285714286	0.214285714286	0.15	0.257142857143	0.15	0.3	0.175	0.0	0.171428571429	0.171428571429	0.15	0.214285714286	0.175	0.2	0.3	0.171428571429	0.0888888888889	0.175	0.171428571429	0.266666666667	0.0888888888889	0.214285714286	0.171428571429	0.2	0.266666666667	0.214285714286	0.266666666667	0.175	0.3	0.257142857143	0.0888888888889	0.214285714286	0.0888888888889	0.15	0.45	0.3	0.266666666667	0.333333333333	0.3	0.175	0.0888888888889	0.0888888888889	0.133333333333	0.0666666666667	0.266666666667	0.266666666667	0.0888888888889	0.2	0.0	0.257142857143	0.214285714286	0.15	0.15	0.3	0.45	0.15	0.257142857143	0.15	0.2	0.45	0.15	0.175	0.214285714286	0.0888888888889	0.15	0.257142857143	0.175	0.214285714286	0.35	0.214285714286	0.266666666667	0.333333333333	0.333333333333	0.175	0.0888888888889	0.214285714286	0.0	0.4	0.214285714286	0.15	0.171428571429	0.2	0.0	0.0	0.2	0.2	0.15
alpha_rarefaction_10_3.txt	10	3	0.15	0.175	0.214285714286	0.214285714286	0.171428571429	0.175	0.257142857143	0.15	0.15	0.0	0.214285714286	0.257142857143	0.175	0.266666666667	0.15	0.2	0.15	0.0888888888889	0.257142857143	0.0888888888889	0.2	0.15	0.0888888888889	0.257142857143	0.0888888888889	0.266666666667	0.257142857143	0.45	0.214285714286	0.2	0.257142857143	0.214285714286	0.214285714286	0.266666666667	0.333333333333	0.2	0.2	0.2	0.2	0.15	0.175	0.15	0.214285714286	0.15	0.15	0.175	0.15	0.171428571429	0.257142857143	0.233333333333	0.214285714286	0.175	0.266666666667	0.2	0.0888888888889	0.4	0.266666666667	0.0888888888889	0.15	0.35	0.45	0.4	0.171428571429	0.214285714286	0.0888888888889	0.214285714286	0.0888888888889	0.171428571429	0.3	0.333333333333	0.175	0.2	0.214285714286	0.175	0.4	0.3	0.266666666667	0.2	0.3	0.257142857143	0.0	0.0	0.0	0.257142857143	0.0888888888889	0.214285714286	0.2	0.15	0.0888888888889	0.0	0.2	0.15	0.2
alpha_rarefaction_10_4.txt	10	4	0.214285714286	0.175	0.0	0.15	0.15	0.175	0.4	0.175	0.171428571429	0.0	0.0888888888889	0.257142857143	0.15	0.15	0.257142857143	0.0888888888889	0.214285714286	0.15	0.0888888888889	0.2	0.3	0.0888888888889	0.0888888888889	0.15	0.15	0.15	0.333333333333	0.466666666667	0.214285714286	0.175	0.2	0.214285714286	0.15	0.0	0.45	0.257142857143	0.15	0.171428571429	0.0888888888889	0.171428571429	0.4	0.15	0.266666666667	0.0888888888889	0.214285714286	0.214285714286	0.0888888888889	0.214285714286	0.257142857143	0.0	0.266666666667	0.15	0.0888888888889	0.175	0.0	0.333333333333	0.2	0.0888888888889	0.257142857143	0.3	0.214285714286	0.15	0.2	0.15	0.171428571429	0.266666666667	0.0888888888889	0.0888888888889	0.266666666667	0.35	0.0888888888889	0.257142857143	0.0888888888889	0.15	0.2	0.3	0.266666666667	0.257142857143	0.333333333333	0.175	0.15	0.214285714286	0.15	0.45	0.15	0.214285714286	0.2	0.0	0.15	0.0888888888889	0.2	0.233333333333	0.3
alpha_rarefaction_10_5.txt	10	5	0.15	0.0	0.0888888888889	0.0	0.0	0.0888888888889	0.2	0.0888888888889	0.0888888888889	0.0	0.0	0.0888888888889	0.257142857143	0.2	0.214285714286	0.15	0.214285714286	0.15	0.214285714286	0.15	0.2	0.0888888888889	0.15	0.0888888888889	0.214285714286	0.2	0.266666666667	0.35	0.175	0.3	0.15	0.3	0.214285714286	0.266666666667	0.466666666667	0.2	0.175	0.0	0.15	0.15	0.2	0.214285714286	0.0888888888889	0.175	0.0888888888889	0.266666666667	0.0	0.171428571429	0.214285714286	0.3	0.0888888888889	0.15	0.0888888888889	0.15	0.0	0.214285714286	0.15	0.257142857143	0.15	0.366666666667	0.3	0.171428571429	0.214285714286	0.175	0.175	0.3	0.175	0.175	0.15	0.2	0.171428571429	0.4	0.0	0.2	0.466666666667	0.233333333333	0.266666666667	0.2	0.15	0.214285714286	0.0	0.175	0.0	0.45	0.15	0.175	0.3	0.2	0.0888888888889	0.214285714286	0.3	0.3	0.15
alpha_rarefaction_10_6.txt	10	6	0.15	0.214285714286	0.214285714286	0.0	0.15	0.3	0.257142857143	0.0888888888889	0.15	0.0	0.0	0.171428571429	0.214285714286	0.0888888888889	0.214285714286	0.15	0.214285714286	0.15	0.15	0.15	0.3	0.0	0.0	0.175	0.171428571429	0.175	0.333333333333	0.466666666667	0.266666666667	0.15	0.3	0.266666666667	0.171428571429	0.15	0.35	0.0888888888889	0.15	0.175	0.266666666667	0.214285714286	0.266666666667	0.257142857143	0.266666666667	0.171428571429	0.214285714286	0.2	0.15	0.2	0.15	0.166666666667	0.15	0.257142857143	0.0	0.3	0.214285714286	0.2	0.266666666667	0.3	0.15	0.4	0.3	0.15	0.214285714286	0.266666666667	0.257142857143	0.257142857143	0.0888888888889	0.0	0.4	0.266666666667	0.214285714286	0.257142857143	0.214285714286	0.0888888888889	0.2	0.266666666667	0.35	0.171428571429	0.266666666667	0.266666666667	0.171428571429	0.0888888888889	0.0	0.45	0.15	0.266666666667	0.4	0.214285714286	0.0888888888889	0.0888888888889	0.266666666667	0.15	0.257142857143
alpha_rarefaction_10_7.txt	10	7	0.15	0.0888888888889	0.0888888888889	0.0888888888889	0.3	0.175	0.175	0.171428571429	0.0888888888889	0.0888888888889	0.0888888888889	0.214285714286	0.0888888888889	0.15	0.266666666667	0.0888888888889	0.214285714286	0.15	0.0888888888889	0.214285714286	0.3	0.0888888888889	0.171428571429	0.15	0.214285714286	0.2	0.266666666667	0.45	0.15	0.266666666667	0.3	0.3	0.266666666667	0.171428571429	0.45	0.266666666667	0.0	0.0888888888889	0.171428571429	0.0888888888889	0.35	0.0888888888889	0.171428571429	0.0888888888889	0.15	0.266666666667	0.0	0.15	0.214285714286	0.15	0.15	0.171428571429	0.214285714286	0.3	0.175	0.214285714286	0.3	0.15	0.214285714286	0.266666666667	0.214285714286	0.15	0.214285714286	0.171428571429	0.333333333333	0.266666666667	0.15	0.171428571429	0.214285714286	0.15	0.0888888888889	0.333333333333	0.15	0.15	0.45	0.4	0.35	0.2	0.3	0.214285714286	0.0888888888889	0.0888888888889	0.0	0.45	0.0	0.15	0.133333333333	0.266666666667	0.15	0.0888888888889	0.3	0.2	0.175
alpha_rarefaction_10_8.txt	10	8	0.214285714286	0.175	0.0888888888889	0.15	0.0888888888889	0.214285714286	0.333333333333	0.171428571429	0.0888888888889	0.15	0.0	0.15	0.171428571429	0.171428571429	0.257142857143	0.15	0.15	0.15	0.15	0.0888888888889	0.266666666667	0.0	0.15	0.15	0.214285714286	0.0888888888889	0.175	0.366666666667	0.2	0.3	0.333333333333	0.171428571429	0.175	0.15	0.45	0.3	0.0888888888889	0.4	0.15	0.133333333333	0.133333333333	0.0888888888889	0.2	0.15	0.2	0.175	0.15	0.0888888888889	0.171428571429	0.2	0.266666666667	0.266666666667	0.266666666667	0.4	0.0888888888889	0.2	0.35	0.257142857143	0.2	0.35	0.466666666667	0.214285714286	0.0888888888889	0.171428571429	0.2	0.266666666667	0.0888888888889	0.0888888888889	0.15	0.175	0.266666666667	0.257142857143	0.0888888888889	0.3	0.45	0.3	0.214285714286	0.2	0.266666666667	0.257142857143	0.0888888888889	0.0888888888889	0.0	0.4	0.15	0.214285714286	0.3	0.0888888888889	0.0888888888889	0.0	0.3	0.266666666667	0.266666666667
alpha_rarefaction_10_9.txt	10	9	0.15	0.0	0.2	0.214285714286	0.0888888888889	0.0888888888889	0.257142857143	0.0888888888889	0.0	0.0888888888889	0.0888888888889	0.171428571429	0.15	0.0	0.333333333333	0.214285714286	0.2	0.2	0.0888888888889	0.2	0.0888888888889	0.15	0.15	0.175	0.214285714286	0.2	0.0888888888889	0.4	0.266666666667	0.266666666667	0.3	0.266666666667	0.2	0.214285714286	0.4	0.2	0.0	0.0888888888889	0.0888888888889	0.15	0.15	0.175	0.266666666667	0.175	0.0888888888889	0.333333333333	0.0	0.214285714286	0.15	0.3	0.15	0.2	0.15	0.45	0.0	0.15	0.3	0.171428571429	0.266666666667	0.3	0.257142857143	0.3	0.214285714286	0.15	0.333333333333	0.233333333333	0.0888888888889	0.0	0.2	0.171428571429	0.257142857143	0.257142857143	0.0888888888889	0.214285714286	0.366666666667	0.133333333333	0.266666666667	0.214285714286	0.2	0.333333333333	0.214285714286	0.214285714286	0.0	0.466666666667	0.0	0.257142857143	0.15	0.257142857143	0.0	0.0	0.214285714286	0.2	0.15
alpha_rarefaction_1526_0.txt	1526	0	0.620695817944	0.553589631571	0.623737568422	0.593428196967	0.533551769332	0.597960353866	0.581926605505	0.592716979758	0.556852169237	0.529969733257	0.575288604822	0.670761071657	0.679953273691	0.570017138824	0.62417843794	0.58874508519	0.575187969925	0.655010127487	0.634165689453	0.583581556059	0.692824377457	0.59501965924	0.596033662137	0.578002790344	0.64444860513	0.60644481167	0.586730587938	0.777372392051	0.639106069508	0.635600213582	0.642148701782	0.749631389253	0.590967294858	0.636735795236	0.738177151595	0.657487274833	0.583464394932	0.606252846639	0.626911314985	0.591493917634	0.649979588767	0.569248960055	0.654052756908	0.634635211883	0.652079404149	0.671227184094	0.522595226055	0.575802554912	0.64091235784	0.81751856706	0.58596540374	0.627653997379	0.589880664965	0.656570069414	0.530230035703	0.621100917431	0.727105753789	0.621393561823	0.572264654043	0.698288489708	0.742227319062	0.580513523174	0.643949322848	0.645611095443	0.630952380952	0.634305373526	0.582538089777	0.544732827708	0.644109074549	0.633381743473	0.585537918871	0.608056839346	0.592311052862	0.672578090869	0.791743119266	0.666204096317	0.653379163679	0.643891839691	0.684987489575	0.620682937197	0.583103598921	0.552852485296	0.559983021566	0.722169268041	0.565013451059	0.599766048921	0.685204601718	0.680444937326	0.586396401763	0.576581091152	0.665069824197	0.693829478233	0.63962808897
