Group1	Group2	Group1 mean	Group1 std	Group2 mean	Group2 std	t stat	p-value
NA	African_American	LC13_F	0.0	15.3329882812	5.15110031447	1.71853066173	1.0
Hispanic_Latino	Multi_racial	13.4013231333	4.68206228815	15.7576755	2.4299455	-0.656867044284	1.0
NA	Hispanic_Latino	LC13_F	0.0	13.4013231333	4.68206228815	2.21065814478	1.0
African_American	Hispanic_Latino	15.3329882812	5.15110031447	13.4013231333	4.68206228815	1.2065742361	1.0
NA	Asian	LC13_F	0.0	11.027141375	1.85065053238	6.40440693163	1.0
NA	Multi_racial	LC13_F	0.0	15.7576755	2.4299455	2.06917770509	1.0
Caucasian	Caucasian/African American	14.8073625294	4.35024065719	10.312254	0.0	-1.00334397368	1.0
Asian	Caucasian	11.027141375	1.85065053238	14.8073625294	4.35024065719	-2.3490865004	0.48
NA	Caucasian	LC13_F	0.0	14.8073625294	4.35024065719	2.15597576811	1.0
Multi_racial	Caucasian	15.7576755	2.4299455	14.8073625294	4.35024065719	0.29751393464	1.0
Asian	Caucasian/African American	11.027141375	1.85065053238	10.312254	0.0	-0.340675558238	1.0
African_American	Multi_racial	15.3329882812	5.15110031447	15.7576755	2.4299455	-0.112336368234	1.0
African_American	Caucasian	15.3329882812	5.15110031447	14.8073625294	4.35024065719	0.441925623068	1.0
Hispanic_Latino	Asian	13.4013231333	4.68206228815	11.027141375	1.85065053238	1.31670413364	1.0
NA	Caucasian/African American	LC13_F	0.0	10.312254	0.0	None	None
Multi_racial	Caucasian/African American	15.7576755	2.4299455	10.312254	0.0	-1.29382143298	1.0
Hispanic_Latino	Caucasian/African American	13.4013231333	4.68206228815	10.312254	0.0	-0.617155306234	1.0
Multi_racial	Asian	15.7576755	2.4299455	11.027141375	1.85065053238	2.70286831865	1.0
African_American	Caucasian/African American	15.3329882812	5.15110031447	10.312254	0.0	-0.944693890398	1.0
African_American	Asian	15.3329882812	5.15110031447	11.027141375	1.85065053238	2.26813488624	0.6
Hispanic_Latino	Caucasian	13.4013231333	4.68206228815	14.8073625294	4.35024065719	-0.99733682663	1.0
