Group1	Group2	Group1 mean	Group1 std	Group2 mean	Group2 std	t stat	p-value
NA	African_American	LC13_F	0.0	0.217050510877	0.0997330112479	-1.2952381842	1.0
Hispanic_Latino	Multi_racial	0.29524851681	0.114586821863	0.25828279499	0.112554383652	0.403387027926	1.0
NA	Hispanic_Latino	LC13_F	0.0	0.29524851681	0.114586821863	-1.72637197105	1.0
African_American	Hispanic_Latino	0.217050510877	0.0997330112479	0.29524851681	0.114586821863	-2.33542786996	0.46
NA	Asian	LC13_F	0.0	0.339232036915	0.12906683623	-1.74557475216	1.0
NA	Multi_racial	LC13_F	0.0	0.25828279499	0.112554383652	-0.895164271363	1.0
Caucasian	Caucasian/African American	0.243506727675	0.113047297038	0.612656558998	0.0	3.17077510165	0.44
Asian	Caucasian	0.339232036915	0.12906683623	0.243506727675	0.113047297038	2.04469370187	0.68
NA	Caucasian	LC13_F	0.0	0.243506727675	0.113047297038	-1.37203729734	1.0
Multi_racial	Caucasian	0.25828279499	0.112554383652	0.243506727675	0.113047297038	0.174620444683	1.0
Asian	Caucasian/African American	0.339232036915	0.12906683623	0.612656558998	0.0	1.86831698705	1.0
African_American	Multi_racial	0.217050510877	0.0997330112479	0.25828279499	0.112554383652	-0.54590495892	1.0
African_American	Caucasian	0.217050510877	0.0997330112479	0.243506727675	0.113047297038	-0.990420269735	1.0
Hispanic_Latino	Asian	0.29524851681	0.114586821863	0.339232036915	0.12906683623	-0.801172273748	1.0
NA	Caucasian/African American	LC13_F	0.0	0.612656558998	0.0	None	None
Multi_racial	Caucasian/African American	0.25828279499	0.112554383652	0.612656558998	0.0	1.81776827704	1.0
Hispanic_Latino	Caucasian/African American	0.29524851681	0.114586821863	0.612656558998	0.0	2.59111852125	0.4
Multi_racial	Asian	0.25828279499	0.112554383652	0.339232036915	0.12906683623	-0.727213815331	1.0
African_American	Caucasian/African American	0.217050510877	0.0997330112479	0.612656558998	0.0	3.84457084005	0.6
African_American	Asian	0.217050510877	0.0997330112479	0.339232036915	0.12906683623	-2.8355010997	0.16
Hispanic_Latino	Caucasian	0.29524851681	0.114586821863	0.243506727675	0.113047297038	1.44013745283	1.0
