Group1	Group2	Group1 mean	Group1 std	Group2 mean	Group2 std	t stat	p-value
NA	African_American	LC13_F	0.0	212.973702824	98.6200734757	1.09009143535	1.0
Hispanic_Latino	Multi_racial	167.161332558	81.913611184	180.160558146	79.8462224812	-0.198607547371	1.0
NA	Hispanic_Latino	LC13_F	0.0	167.161332558	81.913611184	1.78979286045	1.0
African_American	Hispanic_Latino	212.973702824	98.6200734757	167.161332558	81.913611184	1.53030126881	1.0
NA	Asian	LC13_F	0.0	122.795800578	32.0981290521	5.52525796578	1.0
NA	Multi_racial	LC13_F	0.0	180.160558146	79.8462224812	1.03929225279	1.0
Caucasian	Caucasian/African American	196.644619928	86.3892193529	91.4929365079	0.0	-1.18189699403	1.0
Asian	Caucasian	122.795800578	32.0981290521	196.644619928	86.3892193529	-2.32216444025	0.52
NA	Caucasian	LC13_F	0.0	196.644619928	86.3892193529	1.43025434199	1.0
Multi_racial	Caucasian	180.160558146	79.8462224812	196.644619928	86.3892193529	-0.255894783859	1.0
Asian	Caucasian/African American	122.795800578	32.0981290521	91.4929365079	0.0	-0.860066677804	1.0
African_American	Multi_racial	212.973702824	98.6200734757	180.160558146	79.8462224812	0.447418675261	1.0
African_American	Caucasian	212.973702824	98.6200734757	196.644619928	86.3892193529	0.705634419546	1.0
Hispanic_Latino	Asian	167.161332558	81.913611184	122.795800578	32.0981290521	1.40730495664	1.0
NA	Caucasian/African American	LC13_F	0.0	91.4929365079	0.0	None	None
Multi_racial	Caucasian/African American	180.160558146	79.8462224812	91.4929365079	0.0	-0.641135843752	1.0
Hispanic_Latino	Caucasian/African American	167.161332558	81.913611184	91.4929365079	0.0	-0.864096970372	1.0
Multi_racial	Asian	180.160558146	79.8462224812	122.795800578	32.0981290521	1.41648266612	1.0
African_American	Caucasian/African American	212.973702824	98.6200734757	91.4929365079	0.0	-1.1938948479	1.0
African_American	Asian	212.973702824	98.6200734757	122.795800578	32.0981290521	2.4880877969	0.16
Hispanic_Latino	Caucasian	167.161332558	81.913611184	196.644619928	86.3892193529	-1.09539152284	1.0
