Group1	Group2	Group1 mean	Group1 std	Group2 mean	Group2 std	t stat	p-value
NA	African_American	LC13_F	0.0	18.68125	11.0493336196	1.28232476421	1.0
Hispanic_Latino	Multi_racial	13.9133333333	8.52501156728	16.65	6.95	-0.408719615605	1.0
NA	Hispanic_Latino	LC13_F	0.0	13.9133333333	8.52501156728	2.12721894762	1.0
African_American	Hispanic_Latino	18.68125	11.0493336196	13.9133333333	8.52501156728	1.44595331446	1.0
NA	Asian	LC13_F	0.0	10.975	3.78045962814	5.20804380327	1.0
NA	Multi_racial	LC13_F	0.0	16.65	6.95	1.38314848662	1.0
Caucasian	Caucasian/African American	17.4941176471	9.40540961914	6.5	0.0	-1.13502548594	1.0
Asian	Caucasian	10.975	3.78045962814	17.4941176471	9.40540961914	-1.87784533312	1.0
NA	Caucasian	LC13_F	0.0	17.4941176471	9.40540961914	1.63178891424	1.0
Multi_racial	Caucasian	16.65	6.95	17.4941176471	9.40540961914	-0.121412537051	1.0
Asian	Caucasian/African American	10.975	3.78045962814	6.5	0.0	-1.04394159102	1.0
African_American	Multi_racial	18.68125	11.0493336196	16.65	6.95	0.249157323948	1.0
African_American	Caucasian	18.68125	11.0493336196	17.4941176471	9.40540961914	0.463714823947	1.0
Hispanic_Latino	Asian	13.9133333333	8.52501156728	10.975	3.78045962814	0.886214802766	1.0
NA	Caucasian/African American	LC13_F	0.0	6.5	0.0	None	None
Multi_racial	Caucasian/African American	16.65	6.95	6.5	0.0	-0.84318060896	1.0
Hispanic_Latino	Caucasian/African American	13.9133333333	8.52501156728	6.5	0.0	-0.813434480657	1.0
Multi_racial	Asian	16.65	6.95	10.975	3.78045962814	1.39794916768	1.0
African_American	Caucasian/African American	18.68125	11.0493336196	6.5	0.0	-1.06851259745	1.0
African_American	Asian	18.68125	11.0493336196	10.975	3.78045962814	1.89517832108	1.0
Hispanic_Latino	Caucasian	13.9133333333	8.52501156728	17.4941176471	9.40540961914	-1.23719126282	1.0
