Group1	Group2	Group1 mean	Group1 std	Group2 mean	Group2 std	t stat	p-value
NA	African_American	LC13_F	0.0	29.0763400488	15.1512407095	1.25590492158	1.0
Hispanic_Latino	Multi_racial	22.6164618465	12.5191220056	24.1748289291	10.8289043113	-0.157682297219	1.0
NA	Hispanic_Latino	LC13_F	0.0	22.6164618465	12.5191220056	1.94961088382	1.0
African_American	Hispanic_Latino	29.0763400488	15.1512407095	22.6164618465	12.5191220056	1.40632906859	1.0
NA	Asian	LC13_F	0.0	16.0430539656	4.62244791878	6.23235444091	1.0
NA	Multi_racial	LC13_F	0.0	24.1748289291	10.8289043113	1.30806039732	1.0
Caucasian	Caucasian/African American	26.1495650409	12.6479578564	10.6760197758	0.0	-1.1879341508	1.0
Asian	Caucasian	16.0430539656	4.62244791878	26.1495650409	12.6479578564	-2.17175969581	0.64
NA	Caucasian	LC13_F	0.0	26.1495650409	12.6479578564	1.73193840663	1.0
Multi_racial	Caucasian	24.1748289291	10.8289043113	26.1495650409	12.6479578564	-0.210099353953	1.0
Asian	Caucasian/African American	16.0430539656	4.62244791878	10.6760197758	0.0	-1.02397676107	1.0
African_American	Multi_racial	29.0763400488	15.1512407095	24.1748289291	10.8289043113	0.436926030617	1.0
African_American	Caucasian	29.0763400488	15.1512407095	26.1495650409	12.6479578564	0.840761084116	1.0
Hispanic_Latino	Asian	22.6164618465	12.5191220056	16.0430539656	4.62244791878	1.37014407579	1.0
NA	Caucasian/African American	LC13_F	0.0	10.6760197758	0.0	None	None
Multi_racial	Caucasian/African American	24.1748289291	10.8289043113	10.6760197758	0.0	-0.719698029862	1.0
Hispanic_Latino	Caucasian/African American	22.6164618465	12.5191220056	10.6760197758	0.0	-0.892176049866	1.0
Multi_racial	Asian	24.1748289291	10.8289043113	16.0430539656	4.62244791878	1.44481695148	1.0
African_American	Caucasian/African American	29.0763400488	15.1512407095	10.6760197758	0.0	-1.17706666742	1.0
African_American	Asian	29.0763400488	15.1512407095	16.0430539656	4.62244791878	2.34432330358	0.5
Hispanic_Latino	Caucasian	22.6164618465	12.5191220056	26.1495650409	12.6479578564	-0.88537119854	1.0
