Group1	Group2	Group1 mean	Group1 std	Group2 mean	Group2 std	t stat	p-value
NA	African_American	LC13_F	0.0	0.986193807725	0.00692260048632	-1.51492436911	1.0
Hispanic_Latino	Multi_racial	0.98956764849	0.00562949432645	0.988808586889	0.00615822663805	0.166340524083	1.0
NA	Hispanic_Latino	LC13_F	0.0	0.98956764849	0.00562949432645	-2.3585304799	1.0
African_American	Hispanic_Latino	0.986193807725	0.00692260048632	0.98956764849	0.00562949432645	-1.61370821512	1.0
NA	Asian	LC13_F	0.0	0.993294117329	0.00314520280908	-5.02493100338	1.0
NA	Multi_racial	LC13_F	0.0	0.988808586889	0.00615822663805	-1.25956780549	1.0
Caucasian	Caucasian/African American	0.988078927841	0.00561672511524	0.996539775941	0.0	1.46269466057	1.0
Asian	Caucasian	0.993294117329	0.00314520280908	0.988078927841	0.00561672511524	2.47331536248	0.66
NA	Caucasian	LC13_F	0.0	0.988078927841	0.00561672511524	-2.19647511923	1.0
Multi_racial	Caucasian	0.988808586889	0.00615822663805	0.988078927841	0.00561672511524	0.172545475612	1.0
Asian	Caucasian/African American	0.993294117329	0.00314520280908	0.996539775941	0.0	0.910084982301	1.0
African_American	Multi_racial	0.986193807725	0.00692260048632	0.988808586889	0.00615822663805	-0.505863519284	1.0
African_American	Caucasian	0.986193807725	0.00692260048632	0.988078927841	0.00561672511524	-1.19942480872	1.0
Hispanic_Latino	Asian	0.98956764849	0.00562949432645	0.993294117329	0.00314520280908	-1.65645836831	1.0
NA	Caucasian/African American	LC13_F	0.0	0.996539775941	0.0	None	None
Multi_racial	Caucasian/African American	0.988808586889	0.00615822663805	0.996539775941	0.0	0.724819715604	1.0
Hispanic_Latino	Caucasian/African American	0.98956764849	0.00562949432645	0.996539775941	0.0	1.1585104571	1.0
Multi_racial	Asian	0.988808586889	0.00615822663805	0.993294117329	0.00314520280908	-1.28905864386	1.0
African_American	Caucasian/African American	0.986193807725	0.00692260048632	0.996539775941	0.0	1.44852417706	1.0
African_American	Asian	0.986193807725	0.00692260048632	0.993294117329	0.00314520280908	-2.75732730132	0.18
Hispanic_Latino	Caucasian	0.98956764849	0.00562949432645	0.988078927841	0.00561672511524	0.836884646634	1.0
