Group1	Group2	Group1 mean	Group1 std	Group2 mean	Group2 std	t stat	p-value
NA	African_American	LC13_F	0.0	178.009375	79.377414764	1.24289576334	1.0
Hispanic_Latino	Multi_racial	144.0	67.0122177915	153.25	59.35	-0.174471383507	1.0
NA	Hispanic_Latino	LC13_F	0.0	144.0	67.0122177915	1.89561355328	1.0
African_American	Hispanic_Latino	178.009375	79.377414764	144.0	67.0122177915	1.40576624054	1.0
NA	Asian	LC13_F	0.0	109.2375	27.359638955	5.49795215664	1.0
NA	Multi_racial	LC13_F	0.0	153.25	59.35	1.23106447457	1.0
Caucasian	Caucasian/African American	163.65	65.734730949	77.5	0.0	-1.27257486127	1.0
Asian	Caucasian	109.2375	27.359638955	163.65	65.734730949	-2.2396424201	0.42
NA	Caucasian	LC13_F	0.0	163.65	65.734730949	1.71572339102	1.0
Multi_racial	Caucasian	153.25	59.35	163.65	65.734730949	-0.212408088759	1.0
Asian	Caucasian/African American	109.2375	27.359638955	77.5	0.0	-1.02303411695	1.0
African_American	Multi_racial	178.009375	79.377414764	153.25	59.35	0.42066423601	1.0
African_American	Caucasian	178.009375	79.377414764	163.65	65.734730949	0.790025841226	1.0
Hispanic_Latino	Asian	144.0	67.0122177915	109.2375	27.359638955	1.34354846849	1.0
NA	Caucasian/African American	LC13_F	0.0	77.5	0.0	None	None
Multi_racial	Caucasian/African American	153.25	59.35	77.5	0.0	-0.736887664551	1.0
Hispanic_Latino	Caucasian/African American	144.0	67.0122177915	77.5	0.0	-0.928264368875	1.0
Multi_racial	Asian	153.25	59.35	109.2375	27.359638955	1.37928738485	1.0
African_American	Caucasian/African American	178.009375	79.377414764	77.5	0.0	-1.22725129513	1.0
African_American	Asian	178.009375	79.377414764	109.2375	27.359638955	2.35377640407	0.54
Hispanic_Latino	Caucasian	144.0	67.0122177915	163.65	65.734730949	-0.938884888613	1.0
