Group1	Group2	Group1 mean	Group1 std	Group2 mean	Group2 std	t stat	p-value
NA	African_American	LC13_F	0.0	0.0869374268096	0.0309767451801	0.892290595475	1.0
Hispanic_Latino	Multi_racial	0.0675489563402	0.0252100989371	0.0660884577261	0.0154204976817	0.0751089187048	1.0
NA	Hispanic_Latino	LC13_F	0.0	0.0675489563402	0.0252100989371	1.77755542013	1.0
African_American	Hispanic_Latino	0.0869374268096	0.0309767451801	0.0675489563402	0.0252100989371	2.07203592104	0.56
NA	Asian	LC13_F	0.0	0.0591293907847	0.0190530828954	2.60718152635	1.0
NA	Multi_racial	LC13_F	0.0	0.0660884577261	0.0154204976817	1.84831913504	1.0
Caucasian	Caucasian/African American	0.078293877908	0.0305853720735	0.0321717559084	0.0	-1.46426088073	1.0
Asian	Caucasian	0.0591293907847	0.0190530828954	0.078293877908	0.0305853720735	-1.65561704676	1.0
NA	Caucasian	LC13_F	0.0	0.078293877908	0.0305853720735	1.17978355998	1.0
Multi_racial	Caucasian	0.0660884577261	0.0154204976817	0.078293877908	0.0305853720735	-0.544401440952	1.0
Asian	Caucasian/African American	0.0591293907847	0.0190530828954	0.0321717559084	0.0	-1.24779802843	1.0
African_American	Multi_racial	0.0869374268096	0.0309767451801	0.0660884577261	0.0154204976817	0.916350998291	1.0
African_American	Caucasian	0.0869374268096	0.0309767451801	0.078293877908	0.0305853720735	1.12290739748	1.0
Hispanic_Latino	Asian	0.0675489563402	0.0252100989371	0.0591293907847	0.0190530828954	0.790244174129	1.0
NA	Caucasian/African American	LC13_F	0.0	0.0321717559084	0.0	None	None
Multi_racial	Caucasian/African American	0.0660884577261	0.0154204976817	0.0321717559084	0.0	-1.2698563515	1.0
Hispanic_Latino	Caucasian/African American	0.0675489563402	0.0252100989371	0.0321717559084	0.0	-1.31266207691	1.0
Multi_racial	Asian	0.0660884577261	0.0154204976817	0.0591293907847	0.0190530828954	0.428266540148	1.0
African_American	Caucasian/African American	0.0869374268096	0.0309767451801	0.0321717559084	0.0	-1.71354891415	1.0
African_American	Asian	0.0869374268096	0.0309767451801	0.0591293907847	0.0190530828954	2.3654707999	0.46
Hispanic_Latino	Caucasian	0.0675489563402	0.0252100989371	0.078293877908	0.0305853720735	-1.16885059624	1.0
