Group1	Group2	Group1 mean	Group1 std	Group2 mean	Group2 std	t stat	p-value
NA	African_American	LC13_F	0.0	15.1452948967	8.65144722228	1.92166287147	1.0
Hispanic_Latino	Multi_racial	10.1167016197	8.0254464922	11.0356937137	6.28490643331	-0.146255134608	1.0
NA	Hispanic_Latino	LC13_F	0.0	10.1167016197	8.0254464922	2.58540810118	1.0
African_American	Hispanic_Latino	15.1452948967	8.65144722228	10.1167016197	8.0254464922	1.85940852111	1.0
NA	Asian	LC13_F	0.0	6.78129457312	3.35146153725	6.71466712133	1.0
NA	Multi_racial	LC13_F	0.0	11.0356937137	6.28490643331	1.95325327318	1.0
Caucasian	Caucasian/African American	12.5019658036	6.56116622351	2.49142674611	0.0	-1.48149220823	1.0
Asian	Caucasian	6.78129457312	3.35146153725	12.5019658036	6.56116622351	-2.3360289652	0.44
NA	Caucasian	LC13_F	0.0	12.5019658036	6.56116622351	2.92973475313	0.56
Multi_racial	Caucasian	11.0356937137	6.28490643331	12.5019658036	6.56116622351	-0.29917254283	1.0
Asian	Caucasian/African American	6.78129457312	3.35146153725	2.49142674611	0.0	-1.1288531189	1.0
African_American	Multi_racial	15.1452948967	8.65144722228	11.0356937137	6.28490643331	0.641231276386	1.0
African_American	Caucasian	15.1452948967	8.65144722228	12.5019658036	6.56116622351	1.38216048465	1.0
Hispanic_Latino	Asian	10.1167016197	8.0254464922	6.78129457312	3.35146153725	1.074381025	1.0
NA	Caucasian/African American	LC13_F	0.0	2.49142674611	0.0	None	None
Multi_racial	Caucasian/African American	11.0356937137	6.28490643331	2.49142674611	0.0	-0.784901873423	1.0
Hispanic_Latino	Caucasian/African American	10.1167016197	8.0254464922	2.49142674611	0.0	-0.888771923302	1.0
Multi_racial	Asian	11.0356937137	6.28490643331	6.78129457312	3.35146153725	1.17133686994	1.0
African_American	Caucasian/African American	15.1452948967	8.65144722228	2.49142674611	0.0	-1.41761538933	1.0
African_American	Asian	15.1452948967	8.65144722228	6.78129457312	3.35146153725	2.61658237627	0.18
Hispanic_Latino	Caucasian	10.1167016197	8.0254464922	12.5019658036	6.56116622351	-1.07025934388	1.0
