Group1	Group2	Group1 mean	Group1 std	Group2 mean	Group2 std	t stat	p-value
NA	African_American	LC13_F	0.0	36.04375	21.4190035001	0.862307288438	1.0
Hispanic_Latino	Multi_racial	25.5866666667	16.1495455732	29.75	18.55	-0.315812160347	1.0
NA	Hispanic_Latino	LC13_F	0.0	25.5866666667	16.1495455732	1.70947196585	1.0
African_American	Hispanic_Latino	36.04375	21.4190035001	25.5866666667	16.1495455732	1.64405078237	1.0
NA	Asian	LC13_F	0.0	17.2875	5.59853496461	5.95646730689	1.0
NA	Multi_racial	LC13_F	0.0	29.75	18.55	0.788993494553	1.0
Caucasian	Caucasian/African American	33.8382352941	20.129653495	13.6	0.0	-0.976246049389	1.0
Asian	Caucasian	17.2875	5.59853496461	33.8382352941	20.129653495	-2.24913047101	0.58
NA	Caucasian	LC13_F	0.0	33.8382352941	20.129653495	1.0256187605	1.0
Multi_racial	Caucasian	29.75	18.55	33.8382352941	20.129653495	-0.272406676764	1.0
Asian	Caucasian/African American	17.2875	5.59853496461	13.6	0.0	-0.580878629928	1.0
African_American	Multi_racial	36.04375	21.4190035001	29.75	18.55	0.394014960842	1.0
African_American	Caucasian	36.04375	21.4190035001	33.8382352941	20.129653495	0.424661450624	1.0
Hispanic_Latino	Asian	25.5866666667	16.1495455732	17.2875	5.59853496461	1.34640159867	1.0
NA	Caucasian/African American	LC13_F	0.0	13.6	0.0	None	None
Multi_racial	Caucasian/African American	29.75	18.55	13.6	0.0	-0.502652660238	1.0
Hispanic_Latino	Caucasian/African American	25.5866666667	16.1495455732	13.6	0.0	-0.694291979807	1.0
Multi_racial	Asian	29.75	18.55	17.2875	5.59853496461	1.45508396813	1.0
African_American	Caucasian/African American	36.04375	21.4190035001	13.6	0.0	-1.01559379232	1.0
African_American	Asian	36.04375	21.4190035001	17.2875	5.59853496461	2.39373444783	0.54
Hispanic_Latino	Caucasian	25.5866666667	16.1495455732	33.8382352941	20.129653495	-1.37221017605	1.0
