# The tests of significance were performed using a two-sided Student's two-sample t-test.
# Alternative hypothesis: Group 1 mean != Group 2 mean
# The nonparametric p-values were calculated using 999 Monte Carlo permutations.
# The nonparametric p-values contain the correct number of significant digits.
# Entries marked with "N/A" could not be calculated because at least one of the groups
# of distances was empty, both groups each contained only a single distance, or
# the test could not be performed (e.g. no variance in groups with the same mean).
Group 1	Group 2	t statistic	Parametric p-value	Parametric p-value (Bonferroni-corrected)	Nonparametric p-value	Nonparametric p-value (Bonferroni-corrected)
All within Race_standarized	All between Race_standarized	-4.38810914131	1.17096484381e-05	0.00441453746118	0.001	0.377
All within Race_standarized	African_American vs. African_American	-3.0804403359	0.00210036868582	0.791838994555	0.004	1.000
All within Race_standarized	Hispanic_Latino vs. Hispanic_Latino	3.00637270363	0.00269480692078	1	0.003	1.000
All within Race_standarized	Multi_racial vs. Multi_racial	0.640111771813	[ 0.52222316]	1	0.499	1.000
All within Race_standarized	Asian vs. Asian	0.884114835339	0.376808850489	1	0.359	1.000
All within Race_standarized	Caucasian vs. Caucasian	1.72312321833	0.0850428934047	1	0.097	1.000
All within Race_standarized	NA vs. African_American	-1.67828125668	0.0935481017251	1	0.099	1.000
All within Race_standarized	NA vs. Hispanic_Latino	-3.18389655593	0.00149029889239	0.561842682431	0.002	0.754
All within Race_standarized	NA vs. Multi_racial	-1.65591843066	0.0980017631109	1	0.096	1.000
All within Race_standarized	NA vs. Asian	-3.34048276537	0.000862115182203	0.32501742369	0.002	0.754
All within Race_standarized	NA vs. Caucasian	-2.56633321337	0.0103962112006	1	0.006	1.000
All within Race_standarized	NA vs. Caucasian/African American	2.02097561211	[ 0.04350586]	1	0.043	1.000
All within Race_standarized	African_American vs. Hispanic_Latino	-0.736173999604	0.461728265575	1	0.465	1.000
All within Race_standarized	African_American vs. Multi_racial	-5.99030756521	2.73287593281e-09	1.03029422667e-06	0.001	0.377
All within Race_standarized	African_American vs. Asian	-3.9408905126	8.50577876153e-05	0.032066785931	0.001	0.377
All within Race_standarized	African_American vs. Caucasian	-2.82601099026	0.00475427772733	1	0.003	1.000
All within Race_standarized	African_American vs. Caucasian/African American	-3.52099333809	0.000445776351645	0.16805768457	0.001	0.377
All within Race_standarized	Hispanic_Latino vs. Multi_racial	-3.30329414035	0.000983299159818	0.370703783251	0.001	0.377
All within Race_standarized	Hispanic_Latino vs. Asian	1.45708730882	0.145332116654	1	0.143	1.000
All within Race_standarized	Hispanic_Latino vs. Caucasian	0.64752234275	0.517381421	1	0.544	1.000
All within Race_standarized	Hispanic_Latino vs. Caucasian/African American	-0.952277406328	0.341147441987	1	0.321	1.000
All within Race_standarized	Multi_racial vs. Asian	-4.22468014571	2.57311886652e-05	0.00970065812678	0.001	0.377
All within Race_standarized	Multi_racial vs. Caucasian	-3.51606435074	0.000453584503725	0.171001357904	0.001	0.377
All within Race_standarized	Multi_racial vs. Caucasian/African American	-0.594624870471	0.552207193459	1	0.552	1.000
All within Race_standarized	Asian vs. Caucasian	-3.66203086182	0.000259149498713	0.0976993610149	0.001	0.377
All within Race_standarized	Asian vs. Caucasian/African American	-0.176719380323	0.859758712108	1	0.841	1.000
