	s28504	s29753	s31166	LP17_F	LP09_F	s26891	s31407	s12389	s29745	sAI_9042	s10852	s31716	s32109	LP13_F_REDO	s31761	LP05_F	s32186	LP18_F	LP02_F	s31369	sAI_5316	s31475	s29777	s27796	s31943	LC12_F	s29934	LP11_F	s32573	s32679	s29586	s22756	s32994	LP20_F	s11367	s29404	s33276	LP03_F	LP19_F	s29848	s11287	s29396	s31686	s29556	s30731	LC06_F	s21944	LC13_F	s22683	LC08_F	s29763	s26917	LC11_F	s31219	s30879	s33833	LC10_F	s24010	s30239	s32025	s25149	s31091	s31202	LC02_F	s27321_9596	LP12_F	LC03_F	s29780_9504	LP14_F	LC05_F	s31904	s27403	LP16_F	LC07_F	s22787	s20844	s27111	s28791	s1624	s28535	s30012	s10832	s31659	s29523	LP06_F	s29527	s27555	s21911	LP04_F	LC01_F	LP08_F_REDO	s28408	sAI_9328
s28504	0.0	0.621264989253	0.593613048367	0.709108780902	0.697978072701	0.665570015643	0.613471480216	0.616604673349	0.78261227876	0.675876585363	0.592431363227	0.712320614768	0.57539095569	0.70979077597	0.631929343928	0.730845560173	0.71986533944	0.701998507712	0.719257587643	0.703582827537	0.593957044119	0.53501664956	0.605510242671	0.633019841451	0.702457478339	0.775613283855	0.705623214923	0.724356647219	0.667824077357	0.685181996099	0.674925801819	0.719213102959	0.595691670263	0.775864176706	0.625640574362	0.743292788697	0.672139741295	0.642032769077	0.622609267324	0.595961287859	0.720742221982	0.68852623373	0.593301608475	0.65696189233	0.693582989384	0.768518000935	0.663253806767	0.769138105071	0.726486266799	0.647574961179	0.574947337857	0.580489402002	0.764039375899	0.632881270232	0.552876443207	0.75315863045	0.745527599363	0.632403921201	0.676809536205	0.754476823603	0.584104378867	0.571895299629	0.653098362033	0.668448172071	0.677436483737	0.54661625438	0.728628248121	0.583217031661	0.705645746158	0.740435155612	0.769518812944	0.600470456486	0.687143496017	0.728068804124	0.595118812194	0.603761111666	0.65433128396	0.628882742845	0.577638660861	0.717820857246	0.688302968388	0.676188800082	0.757929260708	0.697495823588	0.724938538274	0.57838297467	0.6502586981	0.508967554584	0.696430581657	0.709326916306	0.661462859307	0.685912165308	0.618674032409
s29753	0.621264989253	0.0	0.689911663571	0.634481024783	0.625064130975	0.65379330209	0.722426893241	0.718397570933	0.775164453321	0.720069446149	0.60737343798	0.634560003073	0.677952024472	0.639974698493	0.592985421846	0.750011970828	0.751715780751	0.673024961938	0.712332518952	0.690086418205	0.455662658778	0.657823548954	0.537577342348	0.577120171789	0.651012310256	0.7810514451	0.655679673171	0.728713519336	0.658670989628	0.588506488138	0.609103866308	0.76481488519	0.594047307707	0.729558554303	0.567172258178	0.650144763698	0.635762894361	0.609933341992	0.552481996457	0.660901908541	0.524962765669	0.736562645644	0.563348714952	0.604340376109	0.676836487818	0.789982095667	0.656550269433	0.781190675332	0.737390425373	0.63762213032	0.662218588053	0.531393436401	0.76541124074	0.668322322797	0.558639281509	0.780630443383	0.787708924294	0.658588769689	0.707430563999	0.738329134663	0.545499957107	0.636814350746	0.609108993083	0.614286527645	0.63713852359	0.578097900463	0.679628766086	0.607306574899	0.712587066763	0.736795621812	0.758334157559	0.598182213878	0.672843228032	0.776755271725	0.598478215517	0.618430791765	0.582638329249	0.578316756386	0.54970475747	0.742477806253	0.63330264611	0.641260230819	0.704242647724	0.747050887968	0.71746296751	0.585281790744	0.675692217092	0.575896843112	0.617859632262	0.690544712286	0.583297656724	0.527706425036	0.625176346943
s31166	0.593613048367	0.689911663571	0.0	0.66920719175	0.648271041209	0.598872809349	0.659242579648	0.611785877852	0.692464884975	0.624238635885	0.553275039776	0.645176130465	0.586671631429	0.742236791397	0.599311038154	0.689554645946	0.632394884575	0.73286873767	0.721945354476	0.613049785487	0.636230554063	0.520908080739	0.592993266958	0.567941593775	0.593501196654	0.702467825817	0.652062844856	0.710288392748	0.584006982501	0.781653225675	0.578189251462	0.633808335078	0.490101321908	0.726336507891	0.566743661401	0.7203688219	0.606131719288	0.689019268332	0.671681364425	0.54088140447	0.706243643688	0.587853578096	0.65758422702	0.621185649227	0.587172048095	0.717823137136	0.590783271351	0.699376623664	0.604735070719	0.537319389825	0.50497567976	0.510606208418	0.712170740614	0.5557570391	0.550825560604	0.663492068504	0.6963821006	0.596684612395	0.615738176178	0.659946903522	0.593928955285	0.452129942975	0.534232907427	0.616202432462	0.692399835937	0.587048462628	0.688603765202	0.553728408122	0.68143933131	0.686437374794	0.668128049966	0.53663552909	0.655225125207	0.669705861144	0.49798037705	0.594742866366	0.586168998077	0.579366113367	0.557665025345	0.64565504097	0.771319292473	0.637428344651	0.688870595808	0.607505369967	0.659289691941	0.566496232457	0.611441572932	0.607586234311	0.683109747471	0.643732109994	0.662409495861	0.652710049356	0.538491782488
LP17_F	0.709108780902	0.634481024783	0.66920719175	0.0	0.481688834986	0.511881985361	0.759622213234	0.674531352693	0.689386003556	0.640490591486	0.568596080087	0.608140428745	0.65589960854	0.649822378025	0.601563911483	0.57824830092	0.600619970486	0.589244323678	0.55189397727	0.505824809639	0.732084338488	0.668738787118	0.678463873429	0.552907832138	0.558151090735	0.635488219471	0.55536842361	0.515264290415	0.520602899777	0.65600004988	0.558243670087	0.63949554726	0.620873338287	0.532137837598	0.631754813453	0.606485275173	0.509412532558	0.548112619429	0.60763915853	0.601984366294	0.572325474053	0.589588919891	0.629496420296	0.597498997589	0.524294658205	0.652672566415	0.626379944547	0.652282408563	0.640360594741	0.580489993203	0.64648145149	0.624208055799	0.595188981804	0.509129465252	0.630342602427	0.674867349806	0.656989886515	0.644028161852	0.596097883259	0.629929699917	0.60409639403	0.610574567347	0.632836818675	0.576692717744	0.624610828061	0.619897291102	0.504465745853	0.611846021166	0.555263145255	0.62949124779	0.632222582405	0.627980181137	0.512725137547	0.6554527237	0.626894968895	0.553065990658	0.593034020016	0.55696526212	0.552514655864	0.654740009733	0.729155333786	0.660123849061	0.577846186237	0.61828502534	0.554214691311	0.605727089515	0.635419692738	0.620158194888	0.523569809228	0.557359362879	0.527545235105	0.524427350454	0.63145999662
LP09_F	0.697978072701	0.625064130975	0.648271041209	0.481688834986	0.0	0.601472322138	0.698279488738	0.672817903113	0.718963471482	0.637272690576	0.601015595856	0.552936951308	0.665479538406	0.595752679729	0.540719457745	0.667749189577	0.616302108614	0.502112691225	0.623580430608	0.539758522282	0.671415443085	0.567278529732	0.632710072207	0.509940930702	0.583924321769	0.657023872159	0.60134280394	0.573388878922	0.539350669499	0.595898705866	0.516570343538	0.678269948602	0.565450995109	0.569729855183	0.561145204696	0.519095876758	0.514293171512	0.539773700871	0.560491626551	0.646174866971	0.523013883526	0.625227021752	0.571822007568	0.536356140258	0.563047012476	0.70127721317	0.587189406498	0.668625200325	0.636200332331	0.551742216818	0.62788523073	0.572756884484	0.633075102045	0.567020209347	0.613738367196	0.69389875965	0.694587224595	0.653906924999	0.603685755374	0.663901808365	0.570896175908	0.566819560198	0.57608647788	0.561706259094	0.596863526836	0.521836809341	0.592458109303	0.543559134729	0.573095629684	0.665755509066	0.6763139267	0.602071227595	0.559760765226	0.69440479871	0.595082916916	0.505624139498	0.563407176937	0.537682658411	0.515784007623	0.654790253278	0.676471893193	0.596463786239	0.633365916098	0.66468846178	0.581427549443	0.617702259841	0.649203486129	0.627583089338	0.511891784419	0.633652128665	0.531999997818	0.522993082952	0.560307589049
s26891	0.665570015643	0.65379330209	0.598872809349	0.511881985361	0.601472322138	0.0	0.690229991869	0.6527126773	0.656252241613	0.590295915374	0.468861752545	0.584638489832	0.628969667963	0.680868530695	0.597638808107	0.615443552699	0.602390402209	0.610063468781	0.57521857155	0.55177628592	0.686341058913	0.669313888824	0.61952929848	0.526561439046	0.513036040997	0.662780341561	0.561821984917	0.610753983491	0.514921446569	0.698836737539	0.577536713008	0.650152616384	0.521297898677	0.541237761325	0.555290610678	0.599062877979	0.549196376114	0.572008745525	0.621117678235	0.572141095609	0.614298155391	0.585779618098	0.590022912924	0.568678362184	0.52425405724	0.660663091098	0.545119943556	0.686061095975	0.584746090113	0.510534313968	0.588384022372	0.57346088203	0.628718418983	0.478277904513	0.580718544335	0.628108473179	0.655261018866	0.584325077971	0.586009953411	0.591742960554	0.569895109215	0.573640138562	0.594415445663	0.544494260241	0.583952395477	0.581037183552	0.516068987364	0.546995261053	0.542622714707	0.630320264553	0.600965381469	0.53672498002	0.528824987031	0.656126595078	0.541039181464	0.538740401285	0.504583533342	0.451145271455	0.496426302658	0.623815101433	0.733839772507	0.626593410055	0.562415235707	0.629737969198	0.558718910356	0.590753945744	0.573273115059	0.649875490494	0.554479244987	0.580562869357	0.516115191059	0.550188675539	0.586412641086
s31407	0.613471480216	0.722426893241	0.659242579648	0.759622213234	0.698279488738	0.690229991869	0.0	0.627389088963	0.742876083333	0.645394012291	0.628764555133	0.686173360275	0.607697488824	0.779766368317	0.64664737637	0.764417137043	0.671324676804	0.748983659621	0.723856826847	0.698366356517	0.721470187804	0.616393466092	0.655722819812	0.695056385475	0.687166563926	0.74433027231	0.713649035108	0.733283961457	0.711120723752	0.758685278036	0.724132488409	0.70949760223	0.63504174773	0.746037941384	0.612902402955	0.742507944691	0.706955805367	0.724509797183	0.689245484352	0.648383775516	0.791166045763	0.71990163912	0.701111147272	0.678473523977	0.712437287713	0.760071669076	0.691332441114	0.726121746479	0.64978876071	0.660669679243	0.592279851393	0.670488982545	0.742494878051	0.670485745434	0.620874832479	0.706226184795	0.732090130569	0.700475172841	0.702142191306	0.747695706439	0.662953631419	0.619563179215	0.634765315211	0.663851794737	0.734655550363	0.645333215167	0.716793630168	0.65823587317	0.710979062056	0.718219830682	0.758279397292	0.579795714037	0.729989790672	0.714626432452	0.659941691123	0.700261344397	0.675184422641	0.690292292864	0.696528270991	0.693387921626	0.754961181609	0.667153519308	0.745666746659	0.669018437214	0.717976726206	0.680136960668	0.640114842407	0.685828704134	0.731734319223	0.720807662299	0.740237042217	0.731560707823	0.684710204277
s12389	0.616604673349	0.718397570933	0.611785877852	0.674531352693	0.672817903113	0.6527126773	0.627389088963	0.0	0.622398297543	0.612062523015	0.57508193809	0.655296513985	0.587378811721	0.734973145776	0.617717839746	0.594871374643	0.588073458099	0.705784794563	0.686854060721	0.631433059566	0.724418336775	0.564758514846	0.665434050609	0.612258952138	0.646929431509	0.634374196355	0.664021771839	0.67896107942	0.603082209249	0.765890294724	0.646713202289	0.548492401928	0.56004987454	0.691222234491	0.595031887523	0.733000944064	0.643685947987	0.69177597158	0.672539021002	0.571702650053	0.743790383172	0.602502401738	0.698830363876	0.695491964057	0.629386444462	0.624412943963	0.65599115743	0.600936514332	0.60614684975	0.595157591855	0.509591578783	0.636474667108	0.621909300418	0.574614011103	0.648106959876	0.618034130316	0.632627011985	0.580217384534	0.639686652641	0.668935819939	0.674097748193	0.516001480601	0.608862746447	0.644429024869	0.698587722604	0.62501665672	0.647483926315	0.61570946797	0.619132078474	0.574790238731	0.652697670634	0.558133463667	0.65481711887	0.525474029384	0.59986184063	0.668258349333	0.637820582262	0.657703104756	0.602991711192	0.635675295777	0.771685103623	0.64602058964	0.615806916998	0.590429580449	0.623942418305	0.550742789324	0.507566137465	0.65988859787	0.694673848557	0.635400100238	0.683521820782	0.687880333997	0.626637459428
s29745	0.78261227876	0.775164453321	0.692464884975	0.689386003556	0.718963471482	0.656252241613	0.742876083333	0.622398297543	0.0	0.595432659238	0.655566514955	0.600456437308	0.68714143593	0.770740632323	0.631071023657	0.504374250687	0.519187270707	0.725429323183	0.64018346067	0.599100291894	0.797922206518	0.706992755316	0.754772712156	0.616619729297	0.582812426513	0.54306991933	0.606527179113	0.680212598745	0.581102083352	0.823499713147	0.639299419198	0.542960518699	0.631987592377	0.619371072561	0.636178394778	0.70399967701	0.686709849803	0.711775674884	0.780053622944	0.637027016566	0.75909590459	0.531891622563	0.782780398964	0.699360462452	0.597324257366	0.54334098032	0.637065650344	0.549465286687	0.588253765136	0.603618482527	0.616386863143	0.726893638418	0.527183512144	0.613661380573	0.724106453619	0.486359643146	0.521775950286	0.674971714035	0.555345179873	0.562500792823	0.752884102086	0.612022647835	0.654776069883	0.680480645632	0.672294976885	0.686501191903	0.637353776271	0.697277328041	0.626542207733	0.559855710246	0.508233207258	0.629073533608	0.63826945584	0.538983914429	0.677237467359	0.67114729283	0.667848400809	0.65214101568	0.684186681191	0.527869696327	0.863201084669	0.663999704817	0.550036637669	0.570059172253	0.589005333383	0.691035284277	0.57193929087	0.769404380041	0.714144765241	0.613823073937	0.66307728329	0.713945049489	0.696574913032
sAI_9042	0.675876585363	0.720069446149	0.624238635885	0.640490591486	0.637272690576	0.590295915374	0.645394012291	0.612062523015	0.595432659238	0.0	0.581862131113	0.552631845033	0.60664753235	0.765583607855	0.568712900959	0.614832968694	0.547605971077	0.698719393012	0.662057146968	0.600353795967	0.717172499122	0.591658131471	0.652258602448	0.609473362906	0.613610190961	0.642905543605	0.581817584332	0.675786345987	0.544518522113	0.767710582711	0.598903750276	0.625099149858	0.548923036283	0.619583322413	0.558758410582	0.644311209707	0.595597721823	0.690730498097	0.685333725506	0.606612629885	0.690868935617	0.484865042019	0.681511328003	0.5940585842	0.544257930599	0.633543788835	0.574592909591	0.662119025242	0.539833579276	0.519575215545	0.567807210256	0.633552919787	0.60687788112	0.570039889298	0.600752143878	0.589013258906	0.606845314814	0.624306588143	0.534989794178	0.632370108713	0.672828935139	0.477676318084	0.595403900512	0.649481666943	0.591402685606	0.607753359136	0.602934817253	0.592669245704	0.589634670759	0.656111228266	0.608340929156	0.521193513807	0.577893866698	0.629511337755	0.570824816963	0.630287295014	0.588694258187	0.577275088332	0.609571728711	0.556602481713	0.801020103057	0.635381277226	0.671249579182	0.57418301875	0.583769455485	0.619924146734	0.568526073335	0.654361810756	0.637263076713	0.650057434804	0.593602704923	0.664580216678	0.639999976634
