# The tests of significance were performed using a two-sided Student's two-sample t-test.
# Alternative hypothesis: Group 1 mean != Group 2 mean
# The nonparametric p-values were calculated using 999 Monte Carlo permutations.
# The nonparametric p-values contain the correct number of significant digits.
# Entries marked with "N/A" could not be calculated because at least one of the groups
# of distances was empty, both groups each contained only a single distance, or
# the test could not be performed (e.g. no variance in groups with the same mean).
Group 1	Group 2	t statistic	Parametric p-value	Parametric p-value (Bonferroni-corrected)	Nonparametric p-value	Nonparametric p-value (Bonferroni-corrected)
All within Race_standarized	All between Race_standarized	-6.5143124785	8.14723498226e-11	3.07150758831e-08	0.001	0.377
All within Race_standarized	African_American vs. African_American	3.22077119612	0.00130283838986	0.491170072978	0.002	0.754
All within Race_standarized	Hispanic_Latino vs. Hispanic_Latino	2.31418132438	0.0208137604357	1	0.022	1.000
All within Race_standarized	Multi_racial vs. Multi_racial	-0.215965232459	[ 0.82905186]	1	0.855	1.000
All within Race_standarized	Asian vs. Asian	0.413819005397	0.679079578198	1	0.697	1.000
All within Race_standarized	Caucasian vs. Caucasian	-3.81236011883	0.000142414500605	0.053690266728	0.001	0.377
All within Race_standarized	NA vs. African_American	1.0492827896	0.294255625264	1	0.293	1.000
All within Race_standarized	NA vs. Hispanic_Latino	-1.45828542399	0.145022684247	1	0.138	1.000
All within Race_standarized	NA vs. Multi_racial	-0.420845630337	0.673943736124	1	0.672	1.000
All within Race_standarized	NA vs. Asian	-3.10017745964	0.00197920177169	0.746159067928	0.003	1.000
All within Race_standarized	NA vs. Caucasian	0.879815582337	0.379132063469	1	0.383	1.000
All within Race_standarized	NA vs. Caucasian/African American	1.64941048105	[ 0.09932749]	1	0.111	1.000
All within Race_standarized	African_American vs. Hispanic_Latino	2.03697638263	0.0418099157109	1	0.061	1.000
All within Race_standarized	African_American vs. Multi_racial	-2.68645700827	0.00731690819467	1	0.005	1.000
All within Race_standarized	African_American vs. Asian	-7.48587530834	1.23004032452e-13	4.63725202344e-11	0.001	0.377
All within Race_standarized	African_American vs. Caucasian	-1.7696230438	0.0769237743042	1	0.070	1.000
All within Race_standarized	African_American vs. Caucasian/African American	-2.52361049775	0.0117417102364	1	0.014	1.000
All within Race_standarized	Hispanic_Latino vs. Multi_racial	-3.54697377894	0.000404473191581	0.152486393226	0.001	0.377
All within Race_standarized	Hispanic_Latino vs. Asian	-3.11682913605	0.00186786260383	0.704184201643	0.004	1.000
All within Race_standarized	Hispanic_Latino vs. Caucasian	-4.25175061874	2.23637025173e-05	0.00843111584902	0.001	0.377
All within Race_standarized	Hispanic_Latino vs. Caucasian/African American	0.586301473678	0.557782838417	1	0.529	1.000
All within Race_standarized	Multi_racial vs. Asian	-5.69387618124	1.55886589015e-08	5.87692440586e-06	0.001	0.377
All within Race_standarized	Multi_racial vs. Caucasian	-4.41847675399	1.079573553e-05	0.00406999229482	0.001	0.377
All within Race_standarized	Multi_racial vs. Caucasian/African American	-1.11138733515	0.266625963688	1	0.276	1.000
All within Race_standarized	Asian vs. Caucasian	-13.4949200796	3.36359454277e-39	1.26807514262e-36	0.001	0.377
All within Race_standarized	Asian vs. Caucasian/African American	-0.957069618388	0.338725371774	1	0.366	1.000
All within Race_standarized	Caucasian vs. Caucasian/African American	-5.45397977301	5.95521217879e-08	2.2451149914e-05	0.001	0.377
All between Race_standarized	African_American vs. African_American	7.68655048174	1.93178806285e-14	7.28284099694e-12	0.001	0.377
All between Race_standarized	Hispanic_Latino vs. Hispanic_Latino	4.27294310523	1.98551312909e-05	0.00748538449666	0.001	0.377
All between Race_standarized	Multi_racial vs. Multi_racial	-0.404988426437	[ 0.68551409]	1	0.741	1.000
All between Race_standarized	Asian vs. Asian	1.49949455065	0.133846783385	1	0.131	1.000
