	s28504	s29753	s31166	LP17_F	LP09_F	s26891	s31407	s12389	s29745	sAI_9042	s10852	s31716	s32109	LP13_F_REDO	s31761	LP05_F	s32186	LP18_F	LP02_F	s31369	sAI_5316	s31475	s29777	s27796	s31943	LC12_F	s29934	LP11_F	s32573	s32679	s29586	s22756	s32994	LP20_F	s11367	s29404	s33276	LP03_F	LP19_F	s29848	s11287	s29396	s31686	s29556	s30731	LC06_F	s21944	LC13_F	s22683	LC08_F	s29763	s26917	LC11_F	s31219	s30879	s33833	LC10_F	s24010	s30239	s32025	s25149	s31091	s31202	LC02_F	s27321_9596	LP12_F	LC03_F	s29780_9504	LP14_F	LC05_F	s31904	s27403	LP16_F	LC07_F	s22787	s20844	s27111	s28791	s1624	s28535	s30012	s10832	s31659	s29523	LP06_F	s29527	s27555	s21911	LP04_F	LC01_F	LP08_F_REDO	s28408	sAI_9328
s28504	0.0	0.686804140409	0.607146059328	0.820126636124	0.595447807515	0.740261624918	0.0998743895847	0.166758251813	0.817123135135	0.606339485168	0.830775287409	0.762137110745	0.177097301912	0.870188273566	0.574091924852	0.937647019117	0.853105946605	0.956310101516	1.0323716414	0.77572493408	0.492219750165	0.241976117337	0.744648790376	0.657973698748	0.741279759394	0.794046874753	0.822512224786	0.935400289387	0.784136835201	0.862140993408	0.727185363876	0.55068985234	0.321383042189	0.991423649308	0.637249720501	1.01145766249	0.914189392221	0.895451191826	0.898230904417	0.623603171391	0.823347325643	0.811066905735	0.631505005933	0.743157002637	0.875569774555	0.743392404746	0.656035787739	0.825733558998	0.800241633487	0.728631079763	0.243871972314	0.709873431114	0.93295373764	0.833537334871	0.615120823336	0.831290294661	0.797498088332	0.862882308504	0.858846079763	0.808733628214	0.596937414634	0.587983197759	0.602783661173	0.93611503296	0.861682980224	0.61304314766	0.934917586025	0.640685663151	0.984294919578	0.86562144232	0.893467990771	0.847106760712	0.993524667106	0.430453897165	0.700466123929	0.658467826632	0.684273043507	0.736306526038	0.637512524061	0.859312590639	0.882093274225	0.745077101516	0.951688627554	0.791972420567	0.931965786421	0.357208947264	0.813300986816	0.625661804878	0.88847050033	0.962695321688	0.893749358603	0.822321350692	0.319867525379
s29753	0.686804140409	0.0	0.436826605801	0.53324441002	0.392309395517	0.451406495715	0.673412398154	0.639680182597	0.499021125247	0.412697218194	0.496496044825	0.472378134476	0.646975796968	0.630313145682	0.393397222808	0.665478868161	0.577503257746	0.720257291365	0.799344816744	0.497049261701	0.415382814766	0.587604301252	0.404098225445	0.393596752802	0.404160416612	0.495856135794	0.545164805537	0.699378541859	0.517209564931	0.619669857614	0.431874446935	0.5590654588	0.54700763085	0.757142764008	0.41519227884	0.769344955175	0.635940647989	0.664282675676	0.657697151615	0.405209036256	0.516511257746	0.502032219512	0.394139709295	0.479478635465	0.590377482531	0.436034025709	0.41580136915	0.625331514832	0.470931348055	0.431479925511	0.594024488464	0.470325339486	0.675661121292	0.509553191826	0.399623220831	0.572124912327	0.460568538563	0.585328864206	0.570514399473	0.503208110086	0.393954694133	0.402982427159	0.397168376401	0.703868831905	0.560305854977	0.524444050099	0.703067804219	0.417576022413	0.750121181279	0.652604529334	0.637023350692	0.521991158207	0.759651590639	0.593498108767	0.422430409361	0.418656064601	0.449723572841	0.428942554384	0.404397421226	0.579787047462	0.646366572182	0.235578518128	0.710517197759	0.53859764733	0.698309895188	0.590270005274	0.507838003955	0.434655700066	0.655825961767	0.720335559657	0.624674282136	0.549050367831	0.565066132498
s31166	0.607146059328	0.436826605801	0.0	0.45875085234	0.258257624258	0.294404114041	0.571015402109	0.539085869479	0.385441647989	0.218038634806	0.376546247198	0.343670162821	0.486459148978	0.620384994726	0.220828726434	0.585272235992	0.429054736322	0.721566671061	0.768391384311	0.424585420567	0.270732810152	0.427488503626	0.307107267633	0.277062009888	0.313841042189	0.385816736322	0.472385316414	0.625637109426	0.425288570204	0.581861702703	0.267327154252	0.386464003955	0.322050847067	0.681828494397	0.204922609097	0.720509162821	0.505666305867	0.644654297956	0.666280031641	0.205239085695	0.465379938695	0.377452619644	0.195691256427	0.3743036882	0.478516473303	0.322302323006	0.235797761371	0.540176683586	0.354226464074	0.313241694133	0.394032936058	0.282893218853	0.592289078444	0.382449446935	0.159031478576	0.437732988134	0.392678359921	0.501859705999	0.416061399473	0.404560694792	0.246170838497	0.145664455504	0.234649107449	0.650392150956	0.484892019117	0.419670459459	0.644836581411	0.211206270929	0.669260633487	0.572907256427	0.55037204878	0.43138804087	0.675019605801	0.388129411997	0.25618468029	0.230893469347	0.207716007251	0.252785011206	0.197512550428	0.464518300593	0.635849684245	0.529231156889	0.646432313777	0.404386529993	0.624608305867	0.355465548451	0.382068753461	0.321349251154	0.595525916282	0.641976303889	0.517436166777	0.467747888596	0.332402594595
LP17_F	0.820126636124	0.53324441002	0.45875085234	0.0	0.411504074489	0.39781610679	0.787782379697	0.7333334588	0.403125817403	0.482035301252	0.442278059328	0.401789938036	0.721545659855	0.421021121951	0.480542334212	0.401265806856	0.381867886618	0.478732524061	0.527514638761	0.424200613052	0.598549430455	0.631002322347	0.456763524061	0.417977015162	0.325359170732	0.378026531312	0.432654137113	0.460925840475	0.36271014766	0.313463052076	0.362004304548	0.480095275544	0.584689356625	0.516892228741	0.439639239947	0.473766389585	0.347686620303	0.465488674357	0.475702861569	0.43574404878	0.323991431773	0.409699349374	0.413538911668	0.479069894529	0.398668462096	0.402478609756	0.457653685564	0.404002673698	0.399623466711	0.419540488464	0.644315154252	0.509002731707	0.377408637442	0.357097484509	0.435521056032	0.421087276203	0.421632045485	0.362541218853	0.362350334871	0.389445498352	0.46920638563	0.441996543177	0.463320481872	0.477939504285	0.411399930125	0.401013332894	0.416755692156	0.455483033619	0.43913608174	0.409186531971	0.424891283454	0.478420390903	0.454508015162	0.555787189848	0.396995769941	0.429802312459	0.429677353988	0.366861272907	0.424117591299	0.409401355966	0.431569392221	0.54127098352	0.516171013184	0.369221970336	0.453924228741	0.576265757416	0.386610396836	0.526438869479	0.42024860646	0.495907388266	0.402629766645	0.401127003296	0.551625226763
LP09_F	0.595447807515	0.392309395517	0.258257624258	0.411504074489	0.0	0.361162095583	0.579319760712	0.539388814766	0.447686121292	0.189057626236	0.453791261042	0.28791885234	0.529679439024	0.570949486486	0.180058046144	0.564759415953	0.468231806856	0.57433151615	0.654282610415	0.402569146341	0.284090140409	0.450544539222	0.335292537245	0.301146404087	0.327206771918	0.384369706658	0.413977937376	0.600685504944	0.419782653263	0.538853172709	0.254960168095	0.453613468688	0.40074816414	0.655283599209	0.180732159525	0.636919110086	0.53012086882	0.568038891233	0.570158615689	0.183852027027	0.441285892551	0.433481293342	0.22593158998	0.285877763349	0.478820547132	0.30832192617	0.214197905076	0.537094264338	0.381327930125	0.292495767963	0.454251375082	0.298307021094	0.550014793672	0.439351535267	0.222704782465	0.521447961107	0.381631452868	0.507012773896	0.448403810811	0.415004168754	0.204230390244	0.170573792353	0.170588363876	0.60393187673	0.438845044825	0.427835640738	0.555743470007	0.203460214239	0.612736626895	0.566218516809	0.555484959789	0.480396999341	0.620394412657	0.429417396177	0.27284895056	0.215653274225	0.29297280356	0.295947530653	0.192161470666	0.495084010547	0.630419445616	0.550605087014	0.643223947264	0.455604	0.599469435728	0.441032396177	0.428111768622	0.273691829927	0.519770887937	0.633721159525	0.487984796968	0.46200961437	0.419381219512
s26891	0.740261624918	0.451406495715	0.294404114041	0.39781610679	0.361162095583	0.0	0.705755649308	0.651505649967	0.304745324324	0.324274481213	0.311304537904	0.37473486882	0.622475124588	0.623836661833	0.354257137113	0.463170288069	0.321411820699	0.62090571325	0.636904027027	0.352330912327	0.464194718523	0.566095536585	0.265284958471	0.285661280158	0.241270839815	0.265735764008	0.402458933421	0.496021318392	0.353512181938	0.515765348715	0.245616926829	0.357100903757	0.442919103494	0.52999964733	0.294415984838	0.635873342782	0.425659399473	0.552855568227	0.584952517469	0.277108630191	0.429451042848	0.281166085036	0.277601847726	0.425840747528	0.356019375742	0.237525574819	0.293712872116	0.434304477258	0.288055141068	0.250316756098	0.519847526038	0.301391306526	0.462700216875	0.295051963085	0.317514547132	0.331607682268	0.287992810152	0.359565837179	0.312872697429	0.282393772577	0.400089870138	0.300737707317	0.343232608438	0.548848882004	0.388210329598	0.357226742254	0.553183263678	0.276134719842	0.541981413316	0.519154099539	0.374231204351	0.346865862228	0.54496548385	0.410730265656	0.252248302571	0.257317315755	0.195519835201	0.207475725115	0.265176954515	0.360744012525	0.607154875412	0.579491895847	0.482345199077	0.329373522083	0.53795779499	0.434248904417	0.286511020435	0.466090769281	0.479706669743	0.502807865524	0.370103034937	0.371650566908	0.489897189848
s31407	0.0998743895847	0.673412398154	0.571015402109	0.787782379697	0.579319760712	0.705755649308	0.0	0.139350665129	0.782639278181	0.568772142386	0.795144930784	0.737079343441	0.133095194463	0.857544549769	0.54024771325	0.904245494397	0.815459438365	0.937732004614	1.00073341529	0.746106852999	0.485712599868	0.210983440343	0.708462365194	0.62951482004	0.705650015821	0.758696727752	0.796941281477	0.89729494265	0.752482718523	0.842912634146	0.692470504944	0.505275370468	0.287220313777	0.952370700725	0.602565685564	0.974188607119	0.879251017139	0.869295250494	0.882145100198	0.592552628873	0.79933995913	0.776800415953	0.594898277521	0.725790620962	0.84245764733	0.706859714568	0.618258611074	0.790637870798	0.760533487805	0.695077203032	0.210793015821	0.671877841793	0.899362708635	0.800257537245	0.581056134476	0.79598392617	0.763204306526	0.828666350033	0.8238836559	0.773613419249	0.581321371786	0.555274911009	0.578253715887	0.896362773896	0.824932366513	0.581413806196	0.904319261042	0.603867435728	0.947563881345	0.822715287409	0.860554682268	0.811385195122	0.959182330257	0.387372599209	0.662523101516	0.625618445616	0.649251559657	0.703528767963	0.605742350692	0.824556038893	0.861488504944	0.705949994726	0.917525780488	0.745633652604	0.896714129862	0.32921422149	0.779143369809	0.613133258405	0.849233802241	0.926922867502	0.861151774555	0.788595012525	0.286772382993
s12389	0.166758251813	0.639680182597	0.539085869479	0.7333334588	0.539388814766	0.651505649967	0.139350665129	0.0	0.745503496374	0.538485548451	0.763107870138	0.697955308504	0.116970044166	0.815317220171	0.510831510877	0.824769738958	0.768170562294	0.861794856955	0.933609691496	0.664777427159	0.50423668886	0.168810056691	0.671450851022	0.541174856295	0.655522798286	0.713905305867	0.755983667106	0.817266427818	0.690483156889	0.782521154252	0.63861039354	0.455466325643	0.256510476599	0.880434896506	0.572113709954	0.931872971655	0.816056200396	0.786740551088	0.823984030323	0.559039143705	0.758791750165	0.73297150033	0.567043674357	0.696647039552	0.796277499011	0.679335675676	0.577148506262	0.749269112063	0.73597181147	0.666024481213	0.186341331575	0.642367885959	0.849898317732	0.73350851615	0.548950658537	0.752218270929	0.726725021753	0.748711709954	0.769130617666	0.745356284773	0.542596294001	0.51625016414	0.545052334871	0.850799304548	0.788762058668	0.51585367238	0.852962999341	0.579368149637	0.896203242584	0.793951108767	0.783114545814	0.780890429796	0.888702996704	0.34333504944	0.6381681147	0.596020288069	0.617763617007	0.663352220171	0.572557034278	0.795497562294	0.777408625577	0.694888377719	0.831821099539	0.718401771918	0.840542692156	0.286344335531	0.720537023731	0.556510089651	0.781754814107	0.866058285432	0.810221113382	0.719503892551	0.25896935267
s29745	0.817123135135	0.499021125247	0.385441647989	0.403125817403	0.447686121292	0.304745324324	0.782639278181	0.745503496374	0.0	0.409430415953	0.217598394858	0.406012218194	0.686275838497	0.596629060646	0.41890672116	0.386759220831	0.22607601648	0.610447603164	0.646561957811	0.423524539881	0.540490198418	0.649681727093	0.290594682268	0.422246479235	0.252738845748	0.305700289387	0.442158125906	0.50157896704	0.369906447594	0.532114864206	0.345219051417	0.379707421226	0.520781337508	0.448321459459	0.356802967699	0.625521202373	0.330636638102	0.530217840475	0.554629492419	0.31532160646	0.447985085695	0.154156490442	0.336727344759	0.481287017139	0.30765320501	0.284233810152	0.362337620303	0.347723125247	0.192855215557	0.284746830587	0.589286143705	0.349687664469	0.391059686223	0.18595761437	0.393057406065	0.187836808833	0.196634466711	0.371091433092	0.27791423797	0.208861997363	0.468252822676	0.349745907053	0.421598888596	0.529349134476	0.253952373764	0.415243556361	0.519165597891	0.333037743573	0.481830356625	0.452764908372	0.315604580092	0.244360002637	0.479804278181	0.482129775873	0.270777079763	0.31827330323	0.337452665129	0.272310758075	0.33244691826	0.252913972314	0.635521423204	0.582875407383	0.517968777851	0.211614490442	0.485024866183	0.524986571523	0.189094376401	0.542259559657	0.492251681608	0.409728682268	0.321791955834	0.37642663085	0.544828416612
sAI_9042	0.606339485168	0.412697218194	0.218038634806	0.482035301252	0.189057626236	0.324274481213	0.568772142386	0.538485548451	0.409430415953	0.0	0.422852730389	0.340041423863	0.491858541859	0.669574429796	0.151181023731	0.559202883982	0.441782969018	0.708766388266	0.725358872116	0.372501061305	0.256692354647	0.433921259723	0.327523458141	0.311228290046	0.33001090178	0.375973731048	0.482667698088	0.610964001318	0.436267120633	0.640502735662	0.264325317073	0.41952318853	0.344258765985	0.642567726434	0.178881117337	0.715936331575	0.535602120633	0.620356898484	0.673789297956	0.155804759394	0.493408054054	0.403080299934	0.193419502307	0.35024777851	0.450962646671	0.29127891826	0.169655941332	0.524672974291	0.365329843771	0.233873765985	0.398493812129	0.274774341463	0.56269081147	0.425470257086	0.20476176269	0.44253638497	0.321923121292	0.51719590969	0.449199447594	0.411020473962	0.251424496374	0.147238863546	0.181805591958	0.642173649308	0.45502781147	0.442506337508	0.618795994067	0.174228015821	0.626315326302	0.598895238629	0.525660458141	0.440309643375	0.631456535926	0.401341961107	0.232674611074	0.189139862887	0.279522382334	0.292592783784	0.17920678708	0.457755171391	0.697098852999	0.591491794331	0.627296040211	0.442960303889	0.60820258207	0.421645682268	0.422052023731	0.29034886025	0.567413355307	0.623761542518	0.50305395913	0.481072042189	0.386843027686
