OTU	Test-Statistic	P	FDR_P	Bonferroni_P	Middle age_mean	Older adults_mean	Young adult_mean	taxonomy
Otu745	32.1379875069	1.05032737103e-07	0.000221829140761	0.000221829140761	0.0	2.30769230769	0.0	d:Bacteria; p:Firmicutes; c:Clostridia
Otu380	19.8115267924	4.9886337205e-05	0.0338120036707	0.105359944177	0.0188679245283	7.84615384615	1.37037037037	d:Bacteria; p:Firmicutes; c:Clostridia; o:Clostridiales; f:Lachnospiraceae
Otu1065	18.8672865596	7.99872524952e-05	0.0338120036707	0.16893307727	0.0	1.15384615385	0.0	d:Bacteria; p:Proteobacteria; c:Gammaproteobacteria; o:Pseudomonadales; f:Pseudomonadaceae; g:Pseudomonas
Otu769	18.8657842675	8.00473571751e-05	0.0338120036707	0.169060018354	0.0	2.23076923077	0.0	d:Bacteria; p:Firmicutes; c:Clostridia; o:Clostridiales; f:Ruminococcaceae; g:Clostridium_IV
Otu1112	18.8657842675	8.00473571751e-05	0.0338120036707	0.169060018354	0.0	0.461538461538	0.0	d:Bacteria; p:Firmicutes; c:Clostridia; o:Clostridiales
Otu772	15.3278846337	0.000469453025332	0.0893233146529	0.991484789502	0.150943396226	0.923076923077	0.37037037037	d:Bacteria; p:Actinobacteria; c:Actinobacteria; o:Actinomycetales; f:Actinomycetaceae; g:Actinomyces
Otu662	15.0487727786	0.000539759769173	0.0893233146529	1.0	0.0566037735849	0.461538461538	0.0	d:Bacteria; p:Actinobacteria; c:Actinobacteria; o:Actinomycetales; f:Micrococcaceae; g:Rothia
Otu588	14.491534892	0.000713186610484	0.0893233146529	1.0	0.358490566038	1.76923076923	0.555555555556	d:Bacteria; p:Firmicutes; c:Erysipelotrichia; o:Erysipelotrichales; f:Erysipelotrichaceae
Otu28	14.055913168	0.000886741913173	0.0893233146529	1.0	79.7358490566	177.076923077	120.925925926	d:Bacteria; p:Firmicutes; c:Clostridia; o:Clostridiales; f:Lachnospiraceae; g:Blautia
Otu695	13.7229005036	0.00104739384581	0.0893233146529	1.0	0.11320754717	0.615384615385	0.0740740740741	d:Bacteria; p:Firmicutes; c:Bacilli; o:Lactobacillales; f:Lactobacillaceae; g:Lactobacillus
Otu425	13.6890011703	0.00106529812955	0.0893233146529	1.0	0.0	15.2307692308	0.037037037037	d:Bacteria
