OTU	Test-Statistic	P	FDR_P	Bonferroni_P	NA_mean	African_American_mean	Hispanic_Latino_mean	Multi_racial_mean	Asian_mean	Caucasian_mean	Caucasian/African American_mean	taxonomy
Otu710	92.0	1.16363321801e-17	1.63839557096e-15	2.45759335644e-14	45.0	0.0	0.0	0.0	0.0	0.0	0.0	d:Bacteria
Otu1199	92.0	1.16363321801e-17	1.63839557096e-15	2.45759335644e-14	13.0	0.0	0.0	0.0	0.0	0.0	0.0	d:Bacteria
Otu1311	92.0	1.16363321801e-17	1.63839557096e-15	2.45759335644e-14	0.0	0.0	0.0	0.0	0.0	0.0	6.0	d:Bacteria; p:Bacteroidetes; c:Bacteroidia; o:Bacteroidales; f:Prevotellaceae; g:Prevotella
Otu1337	92.0	1.16363321801e-17	1.63839557096e-15	2.45759335644e-14	8.0	0.0	0.0	0.0	0.0	0.0	0.0	d:Bacteria; p:Firmicutes; c:Clostridia; o:Clostridiales; f:Lachnospiraceae
Otu1655	92.0	1.16363321801e-17	1.63839557096e-15	2.45759335644e-14	0.0	0.0	0.0	0.0	0.0	0.0	3.0	d:Bacteria; p:Bacteroidetes; c:Bacteroidia; o:Bacteroidales; f:Prevotellaceae; g:Prevotella
Otu1698	92.0	1.16363321801e-17	1.63839557096e-15	2.45759335644e-14	0.0	0.0	0.0	0.0	0.0	0.0	3.0	d:Bacteria; p:Firmicutes; c:Clostridia; o:Clostridiales; f:Ruminococcaceae; g:Saccharofermentans
Otu1756	92.0	1.16363321801e-17	1.63839557096e-15	2.45759335644e-14	0.0	0.0	0.0	0.0	0.0	0.0	1.0	d:Bacteria; p:Bacteroidetes; c:Bacteroidia; o:Bacteroidales; f:Prevotellaceae; g:Prevotella
Otu1920	92.0	1.16363321801e-17	1.63839557096e-15	2.45759335644e-14	2.0	0.0	0.0	0.0	0.0	0.0	0.0	d:Bacteria; p:Proteobacteria; c:Betaproteobacteria; o:Burkholderiales; f:Burkholderiaceae; g:Ralstonia
Otu1913	92.0	1.16363321801e-17	1.63839557096e-15	2.45759335644e-14	0.0	0.0	0.0	0.0	0.0	0.0	1.0	d:Bacteria; p:Bacteroidetes; c:Bacteroidia; o:Bacteroidales; f:Prevotellaceae; g:Prevotella
Otu1998	92.0	1.16363321801e-17	1.63839557096e-15	2.45759335644e-14	1.0	0.0	0.0	0.0	0.0	0.0	0.0	d:Bacteria; p:Firmicutes; c:Erysipelotrichia; o:Erysipelotrichales; f:Erysipelotrichaceae; g:Faecalicoccus
Otu2055	92.0	1.16363321801e-17	1.63839557096e-15	2.45759335644e-14	0.0	0.0	0.0	0.0	0.0	0.0	1.0	d:Bacteria; p:Bacteroidetes; c:Bacteroidia; o:Bacteroidales; f:Porphyromonadaceae
Otu2050	92.0	1.16363321801e-17	1.63839557096e-15	2.45759335644e-14	0.0	0.0	0.0	0.0	0.0	0.0	2.0	d:Bacteria; p:Bacteroidetes; c:Bacteroidia; o:Bacteroidales; f:Prevotellaceae; g:Prevotella
Otu2201	92.0	1.16363321801e-17	1.63839557096e-15	2.45759335644e-14	1.0	0.0	0.0	0.0	0.0	0.0	0.0	d:Bacteria; p:Proteobacteria; c:Alphaproteobacteria; o:Sphingomonadales; f:Sphingomonadaceae; g:Sphingobium
Otu2249	92.0	1.16363321801e-17	1.63839557096e-15	2.45759335644e-14	0.0	0.0	0.0	0.0	0.0	0.0	1.0	d:Bacteria; p:Actinobacteria; c:Actinobacteria; o:Coriobacteriales; f:Coriobacteriaceae
Otu2258	92.0	1.16363321801e-17	1.63839557096e-15	2.45759335644e-14	0.0	0.0	0.0	0.0	0.0	0.0	1.0	d:Bacteria; p:Firmicutes; c:Negativicutes; o:Selenomonadales; f:Veillonellaceae
Otu1719	69.0	6.5555865861e-13	8.65337429365e-11	1.38453988698e-09	2.0	0.0	0.0	0.5	0.0	0.0	0.0	d:Bacteria; p:Firmicutes; c:Clostridia; o:Clostridiales; f:Lachnospiraceae
Otu1349	67.9891304348	1.05602356959e-12	1.31195398763e-10	2.23032177897e-09	2.0	0.0	0.0	4.5	0.0	0.0	0.0	d:Bacteria; p:Actinobacteria; c:Actinobacteria; o:Actinomycetales
Otu1270	51.75	2.09362121172e-09	2.45651555509e-07	4.42172799916e-06	10.0	0.0	0.0	0.0	0.625	0.0	0.0	d:Bacteria; p:Firmicutes; c:Clostridia; o:Clostridiales
Otu1483	48.1230769231	1.11656238384e-08	8.26948145834e-07	2.35817975467e-05	1.0	0.0	0.0666666666667	0.0	0.0	0.0	0.0	d:Bacteria; p:Firmicutes; c:Clostridia; o:Clostridiales; f:Lachnospiraceae
Otu1459	47.7215686275	1.34305810455e-08	8.26948145834e-07	2.83653871682e-05	0.0	0.0	0.0	2.0	0.0	0.0588235294118	0.0	d:Bacteria; p:Proteobacteria; c:Gammaproteobacteria; o:Pseudomonadales; f:Pseudomonadaceae; g:Pseudomonas
Otu356	47.4375	1.53042117037e-08	8.26948145834e-07	3.23224951182e-05	221.0	0.875	0.0	0.0	0.0	0.0	0.0	d:Bacteria
Otu618	47.4375	1.53042117037e-08	8.26948145834e-07	3.23224951182e-05	46.0	0.1875	0.0	0.0	0.0	0.0	0.0	d:Bacteria; p:Firmicutes; c:Clostridia; o:Clostridiales; f:Peptococcaceae_1; g:Peptococcus
Otu129	47.3905954799	1.56377052539e-08	8.26948145834e-07	3.30268334962e-05	0.0	2.40625	0.0	685.5	0.0	0.852941176471	0.0	d:Bacteria; p:Proteobacteria; c:Gammaproteobacteria; o:Enterobacteriales; f:Enterobacteriaceae
Otu1594	47.3529411765	1.59106598373e-08	8.26948145834e-07	3.36033135764e-05	3.0	0.0	0.0	0.0	0.0	0.0588235294118	0.0	d:Bacteria; p:Firmicutes; c:Clostridia; o:Clostridiales
Otu652	47.1797101449	1.7228826876e-08	8.26948145834e-07	3.63872823622e-05	8.0	0.0	3.46666666667	0.0	0.0	0.0	0.0	d:Bacteria; p:Firmicutes; c:Clostridia; o:Clostridiales
Otu1748	46.4581043956	2.39956673012e-08	8.26948145834e-07	5.067884934e-05	0.0	0.03125	0.0	0.0	0.0	0.0	1.0	d:Bacteria; p:Firmicutes; c:Erysipelotrichia; o:Erysipelotrichales; f:Erysipelotrichaceae; g:Eggerthia
Otu1782	46.4581043956	2.39956673012e-08	8.26948145834e-07	5.067884934e-05	0.0	0.03125	0.0	0.0	0.0	0.0	1.0	d:Bacteria; p:Firmicutes; c:Clostridia; o:Clostridiales; f:Ruminococcaceae; g:Butyricicoccus
Otu1887	46.4581043956	2.39956673012e-08	8.26948145834e-07	5.067884934e-05	1.0	0.03125	0.0	0.0	0.0	0.0	0.0	d:Bacteria; p:Firmicutes; c:Clostridia; o:Clostridiales; f:Lachnospiraceae; g:Blautia
Otu1977	46.4581043956	2.39956673012e-08	8.26948145834e-07	5.067884934e-05	1.0	0.03125	0.0	0.0	0.0	0.0	0.0	d:Bacteria
Otu2165	46.4581043956	2.39956673012e-08	8.26948145834e-07	5.067884934e-05	1.0	0.03125	0.0	0.0	0.0	0.0	0.0	d:Bacteria; p:Firmicutes; c:Bacilli; o:Bacillales; f:Bacillaceae_1; g:Geobacillus
Otu2145	46.3716871364	2.49660807265e-08	8.26948145834e-07	5.27283624944e-05	0.0	0.0	0.0	0.0	0.0	0.0294117647059	1.0	d:Bacteria; p:Bacteroidetes; c:Bacteroidia; o:Bacteroidales; f:Prevotellaceae; g:Prevotella
Otu1267	46.0331798616	2.91586209991e-08	8.26948145834e-07	6.15830075501e-05	3.0	0.0	0.0	4.0	0.0	0.0588235294118	0.0	d:Bacteria; p:Proteobacteria; c:Gammaproteobacteria; o:Pseudomonadales; f:Moraxellaceae; g:Acinetobacter
Otu404	45.5	3.72277704737e-08	8.26948145834e-07	7.86250512405e-05	0.0	0.0	0.0	20.0	0.0	0.0	0.0	d:Bacteria; p:Firmicutes; c:Clostridia; o:Clostridiales; f:Lachnospiraceae
Otu444	45.5	3.72277704737e-08	8.26948145834e-07	7.86250512405e-05	0.0	0.0	0.0	16.0	0.0	0.0	0.0	d:Bacteria; p:Firmicutes; c:Clostridia; o:Clostridiales; f:Eubacteriaceae; g:Eubacterium
Otu472	45.5	3.72277704737e-08	8.26948145834e-07	7.86250512405e-05	0.0	0.0	0.0	12.5	0.0	0.0	0.0	d:Bacteria; p:Firmicutes; c:Clostridia; o:Clostridiales
Otu706	45.5	3.72277704737e-08	8.26948145834e-07	7.86250512405e-05	0.0	0.0	0.0	4.0	0.0	0.0	0.0	d:Bacteria; p:Firmicutes; c:Clostridia; o:Clostridiales; f:Lachnospiraceae
Otu1157	45.5	3.72277704737e-08	8.26948145834e-07	7.86250512405e-05	0.0	0.0	0.0	1.5	0.0	0.0	0.0	d:Bacteria; p:Firmicutes; c:Erysipelotrichia; o:Erysipelotrichales; f:Erysipelotrichaceae; g:Holdemania
Otu1146	45.5	3.72277704737e-08	8.26948145834e-07	7.86250512405e-05	0.0	0.0	0.0	1.5	0.0	0.0	0.0	d:Bacteria; p:Firmicutes; c:Clostridia; o:Clostridiales
