OTU	Test-Statistic	P	FDR_P	Bonferroni_P	Male_mean	Female_mean	taxonomy
Otu1033	91.9891304348	8.71538740789e-22	1.84068982055e-18	1.84068982055e-18	6.0	0.0	d:Bacteria; p:Firmicutes; c:Clostridia; o:Clostridiales; f:Clostridiales_Incertae_Sedis_XI; g:Parvimonas
Otu953	45.5	1.52638829108e-11	8.9548113077e-10	3.22373207077e-08	11.5	0.0	d:Bacteria; p:Firmicutes; c:Clostridia; o:Clostridiales; f:Lachnospiraceae
Otu1099	45.5	1.52638829108e-11	8.9548113077e-10	3.22373207077e-08	9.0	0.0	d:Bacteria; p:Firmicutes; c:Clostridia; o:Clostridiales; f:Ruminococcaceae; g:Clostridium_IV
Otu1229	45.5	1.52638829108e-11	8.9548113077e-10	3.22373207077e-08	4.5	0.0	d:Bacteria; p:Firmicutes; c:Clostridia; o:Clostridiales; f:Lachnospiraceae
Otu1335	45.5	1.52638829108e-11	8.9548113077e-10	3.22373207077e-08	0.5	0.0	d:Bacteria; p:Firmicutes; c:Clostridia; o:Clostridiales; f:Ruminococcaceae
Otu1360	45.5	1.52638829108e-11	8.9548113077e-10	3.22373207077e-08	3.0	0.0	d:Bacteria; p:Firmicutes; c:Clostridia; o:Clostridiales; f:Clostridiaceae_1; g:Clostridium_sensu_stricto
Otu1362	45.5	1.52638829108e-11	8.9548113077e-10	3.22373207077e-08	3.5	0.0	d:Bacteria; p:Firmicutes; c:Clostridia; o:Clostridiales; f:Lachnospiraceae
Otu1408	45.5	1.52638829108e-11	8.9548113077e-10	3.22373207077e-08	2.0	0.0	d:Bacteria
Otu1532	45.5	1.52638829108e-11	8.9548113077e-10	3.22373207077e-08	4.0	0.0	d:Bacteria; p:Firmicutes; c:Bacilli; o:Lactobacillales; f:Lactobacillaceae; g:Lactobacillus
Otu1590	45.5	1.52638829108e-11	8.9548113077e-10	3.22373207077e-08	1.0	0.0	d:Bacteria; p:Firmicutes
Otu1585	45.5	1.52638829108e-11	8.9548113077e-10	3.22373207077e-08	1.5	0.0	d:Bacteria; p:Firmicutes; c:Clostridia; o:Clostridiales; f:Ruminococcaceae
Otu1662	45.5	1.52638829108e-11	8.9548113077e-10	3.22373207077e-08	1.5	0.0	d:Bacteria; p:Firmicutes; c:Clostridia; o:Clostridiales; f:Ruminococcaceae
Otu1672	45.5	1.52638829108e-11	8.9548113077e-10	3.22373207077e-08	0.5	0.0	d:Bacteria; p:Firmicutes; c:Clostridia; o:Clostridiales
Otu1731	45.5	1.52638829108e-11	8.9548113077e-10	3.22373207077e-08	1.0	0.0	d:Bacteria; p:Bacteroidetes; c:Bacteroidia; o:Bacteroidales; f:Porphyromonadaceae; g:Odoribacter
Otu1785	45.5	1.52638829108e-11	8.9548113077e-10	3.22373207077e-08	0.5	0.0	d:Bacteria; p:Firmicutes; c:Bacilli; o:Lactobacillales; f:Leuconostocaceae; g:Leuconostoc
Otu1747	45.5	1.52638829108e-11	8.9548113077e-10	3.22373207077e-08	1.0	0.0	d:Bacteria; p:Firmicutes
Otu1801	45.5	1.52638829108e-11	8.9548113077e-10	3.22373207077e-08	1.0	0.0	d:Bacteria; p:Firmicutes; c:Clostridia; o:Clostridiales
Otu1817	45.5	1.52638829108e-11	8.9548113077e-10	3.22373207077e-08	1.0	0.0	d:Bacteria; p:Firmicutes; c:Clostridia; o:Clostridiales; f:Lachnospiraceae; g:Clostridium_XlVa
Otu1825	45.5	1.52638829108e-11	8.9548113077e-10	3.22373207077e-08	1.0	0.0	d:Bacteria; p:Firmicutes; c:Clostridia; o:Clostridiales; f:Lachnospiraceae
Otu1813	45.5	1.52638829108e-11	8.9548113077e-10	3.22373207077e-08	1.0	0.0	d:Bacteria
Otu1866	45.5	1.52638829108e-11	8.9548113077e-10	3.22373207077e-08	1.0	0.0	d:Bacteria; p:Firmicutes; c:Clostridia; o:Clostridiales; f:Lachnospiraceae; g:Lachnospiracea_incertae_sedis
Otu1832	45.5	1.52638829108e-11	8.9548113077e-10	3.22373207077e-08	0.5	0.0	d:Bacteria; p:Firmicutes; c:Clostridia; o:Clostridiales; f:Ruminococcaceae
Otu1863	45.5	1.52638829108e-11	8.9548113077e-10	3.22373207077e-08	1.0	0.0	d:Bacteria; p:Firmicutes; c:Clostridia; o:Clostridiales
Otu1891	45.5	1.52638829108e-11	8.9548113077e-10	3.22373207077e-08	0.5	0.0	d:Bacteria; p:Firmicutes; c:Clostridia; o:Clostridiales; f:Clostridiales_Incertae_Sedis_XIII; g:Anaerovorax
Otu1929	45.5	1.52638829108e-11	8.9548113077e-10	3.22373207077e-08	1.5	0.0	d:Bacteria; p:Proteobacteria; c:Gammaproteobacteria; o:Xanthomonadales; f:Xanthomonadaceae; g:Xanthomonas
Otu1948	45.5	1.52638829108e-11	8.9548113077e-10	3.22373207077e-08	1.0	0.0	d:Bacteria; p:Firmicutes
Otu2096	45.5	1.52638829108e-11	8.9548113077e-10	3.22373207077e-08	0.5	0.0	d:Bacteria; p:Firmicutes; c:Clostridia; o:Clostridiales; f:Ruminococcaceae
Otu2108	45.5	1.52638829108e-11	8.9548113077e-10	3.22373207077e-08	1.0	0.0	d:Bacteria; p:Firmicutes; c:Clostridia; o:Clostridiales; f:Ruminococcaceae
Otu2183	45.5	1.52638829108e-11	8.9548113077e-10	3.22373207077e-08	0.5	0.0	d:Bacteria; p:Firmicutes; c:Clostridia; o:Clostridiales; f:Ruminococcaceae
Otu2217	45.5	1.52638829108e-11	8.9548113077e-10	3.22373207077e-08	0.5	0.0	d:Bacteria; p:Firmicutes; c:Clostridia; o:Clostridiales
Otu2182	45.5	1.52638829108e-11	8.9548113077e-10	3.22373207077e-08	0.5	0.0	d:Bacteria; p:Firmicutes; c:Clostridia; o:Clostridiales; f:Ruminococcaceae
Otu2198	45.5	1.52638829108e-11	8.9548113077e-10	3.22373207077e-08	0.5	0.0	d:Bacteria
Otu2413	45.5	1.52638829108e-11	8.9548113077e-10	3.22373207077e-08	0.5	0.0	d:Bacteria; p:Firmicutes; c:Clostridia; o:Clostridiales; f:Lachnospiraceae; g:Ruminococcus2
Otu2366	45.5	1.52638829108e-11	8.9548113077e-10	3.22373207077e-08	0.5	0.0	d:Bacteria; p:Firmicutes; c:Clostridia; o:Clostridiales; f:Lachnospiraceae
Otu2449	45.5	1.52638829108e-11	8.9548113077e-10	3.22373207077e-08	0.5	0.0	d:Bacteria; p:Firmicutes; c:Clostridia; o:Clostridiales; f:Ruminococcaceae
Otu2374	45.5	1.52638829108e-11	8.9548113077e-10	3.22373207077e-08	0.5	0.0	d:Bacteria; p:Firmicutes; c:Clostridia; o:Clostridiales; f:Ruminococcaceae
Otu238	24.5582891749	7.20955324314e-07	4.1152909323e-05	0.00152265764495	345.0	1.71428571429	d:Bacteria; p:Firmicutes; c:Erysipelotrichia; o:Erysipelotrichales; f:Erysipelotrichaceae; g:Holdemanella
Otu782	22.4946249403	2.10732437699e-06	8.24197978556e-05	0.0044506690842	18.5	0.021978021978	d:Bacteria
Otu894	22.4946249403	2.10732437699e-06	8.24197978556e-05	0.0044506690842	13.0	0.021978021978	d:Bacteria
Otu960	22.4946249403	2.10732437699e-06	8.24197978556e-05	0.0044506690842	7.0	0.0549450549451	d:Bacteria; p:Firmicutes; c:Clostridia; o:Clostridiales
Otu1011	22.4946249403	2.10732437699e-06	8.24197978556e-05	0.0044506690842	13.5	0.010989010989	d:Bacteria; p:Firmicutes; c:Clostridia; o:Clostridiales; f:Clostridiales_Incertae_Sedis_XIII
Otu988	22.4946249403	2.10732437699e-06	8.24197978556e-05	0.0044506690842	5.0	0.010989010989	d:Bacteria; p:Firmicutes; c:Clostridia; o:Clostridiales
Otu1080	22.4946249403	2.10732437699e-06	8.24197978556e-05	0.0044506690842	5.5	0.010989010989	d:Bacteria; p:Firmicutes; c:Clostridia; o:Clostridiales; f:Lachnospiraceae; g:Butyrivibrio
Otu1061	22.4946249403	2.10732437699e-06	8.24197978556e-05	0.0044506690842	2.0	0.032967032967	d:Bacteria; p:Firmicutes; c:Clostridia; o:Clostridiales; f:Lachnospiraceae; g:Blautia
Otu1152	22.4946249403	2.10732437699e-06	8.24197978556e-05	0.0044506690842	2.5	0.032967032967	d:Bacteria; p:Firmicutes
Otu1162	22.4946249403	2.10732437699e-06	8.24197978556e-05	0.0044506690842	2.0	0.010989010989	d:Bacteria; p:Fusobacteria; c:Fusobacteriia; o:Fusobacteriales; f:Fusobacteriaceae; g:Fusobacterium
Otu1215	22.4946249403	2.10732437699e-06	8.24197978556e-05	0.0044506690842	2.5	0.010989010989	d:Bacteria; p:Firmicutes; c:Clostridia; o:Clostridiales; f:Lachnospiraceae
Otu1465	22.4946249403	2.10732437699e-06	8.24197978556e-05	0.0044506690842	2.0	0.010989010989	d:Bacteria; p:Proteobacteria; c:Gammaproteobacteria; o:Pseudomonadales; f:Pseudomonadaceae; g:Pseudomonas
Otu1489	22.4946249403	2.10732437699e-06	8.24197978556e-05	0.0044506690842	2.0	0.010989010989	d:Bacteria; p:Firmicutes; c:Clostridia; o:Clostridiales; f:Lachnospiraceae
Otu1529	22.4946249403	2.10732437699e-06	8.24197978556e-05	0.0044506690842	2.0	0.010989010989	d:Bacteria; p:Proteobacteria; c:Betaproteobacteria; o:Burkholderiales; f:Oxalobacteraceae
Otu1578	22.4946249403	2.10732437699e-06	8.24197978556e-05	0.0044506690842	1.0	0.010989010989	d:Bacteria; p:Firmicutes; c:Clostridia; o:Clostridiales; f:Ruminococcaceae; g:Clostridium_III
Otu1617	22.4946249403	2.10732437699e-06	8.24197978556e-05	0.0044506690842	2.0	0.010989010989	d:Bacteria; p:Firmicutes; c:Clostridia; o:Clostridiales; f:Ruminococcaceae
Otu1613	22.4946249403	2.10732437699e-06	8.24197978556e-05	0.0044506690842	1.0	0.010989010989	d:Bacteria; p:Firmicutes; c:Clostridia; o:Clostridiales
Otu1710	22.4946249403	2.10732437699e-06	8.24197978556e-05	0.0044506690842	1.5	0.010989010989	d:Bacteria; p:Firmicutes
Otu587	22.1902010868	2.46930853693e-06	8.46766991674e-05	0.00521517963	6.5	0.538461538462	d:Bacteria; p:Firmicutes; c:Clostridia; o:Clostridiales; f:Lachnospiraceae
Otu1339	22.0001207584	2.72633311713e-06	8.46766991674e-05	0.00575801554338	0.5	0.010989010989	d:Bacteria; p:Firmicutes; c:Clostridia; o:Clostridiales
Otu1355	22.0001207584	2.72633311713e-06	8.46766991674e-05	0.00575801554338	0.5	0.010989010989	d:Bacteria; p:Firmicutes; c:Clostridia; o:Clostridiales; f:Lachnospiraceae; g:Clostridium_XlVb
Otu1380	22.0001207584	2.72633311713e-06	8.46766991674e-05	0.00575801554338	0.5	0.010989010989	d:Bacteria; p:Firmicutes; c:Clostridia; o:Clostridiales; f:Lachnospiraceae; g:Blautia
Otu1413	22.0001207584	2.72633311713e-06	8.46766991674e-05	0.00575801554338	0.5	0.010989010989	d:Bacteria; p:Firmicutes; c:Clostridia; o:Clostridiales; f:Lachnospiraceae; g:Anaerosporobacter
Otu1548	22.0001207584	2.72633311713e-06	8.46766991674e-05	0.00575801554338	0.5	0.010989010989	d:Bacteria; p:Firmicutes; c:Clostridia; o:Clostridiales; f:Lachnospiraceae; g:Clostridium_XlVb
Otu1651	22.0001207584	2.72633311713e-06	8.46766991674e-05	0.00575801554338	0.5	0.010989010989	d:Bacteria; p:Firmicutes; c:Clostridia; o:Clostridiales
Otu1666	22.0001207584	2.72633311713e-06	8.46766991674e-05	0.00575801554338	0.5	0.010989010989	d:Bacteria; p:Firmicutes; c:Clostridia; o:Clostridiales; f:Ruminococcaceae
Otu1682	22.0001207584	2.72633311713e-06	8.46766991674e-05	0.00575801554338	1.0	0.021978021978	d:Bacteria; p:Firmicutes; c:Clostridia; o:Clostridiales
Otu1740	22.0001207584	2.72633311713e-06	8.46766991674e-05	0.00575801554338	0.5	0.010989010989	d:Bacteria; p:Firmicutes; c:Clostridia; o:Clostridiales; f:Ruminococcaceae
Otu1901	22.0001207584	2.72633311713e-06	8.46766991674e-05	0.00575801554338	0.5	0.010989010989	d:Bacteria; p:Firmicutes; c:Clostridia; o:Clostridiales; f:Ruminococcaceae
Otu2447	22.0001207584	2.72633311713e-06	8.46766991674e-05	0.00575801554338	0.5	0.010989010989	d:Bacteria; p:Firmicutes; c:Clostridia; o:Clostridiales; f:Ruminococcaceae
Otu2393	22.0001207584	2.72633311713e-06	8.46766991674e-05	0.00575801554338	0.5	0.010989010989	d:Bacteria; p:Firmicutes; c:Clostridia; o:Clostridiales; f:Ruminococcaceae
Otu2382	22.0001207584	2.72633311713e-06	8.46766991674e-05	0.00575801554338	0.5	0.010989010989	d:Bacteria; p:Firmicutes; c:Clostridia; o:Clostridiales; f:Lachnospiraceae
Otu275	21.5059722886	3.52728422821e-06	8.97545095179e-05	0.00744962428999	2.0	1.47252747253	d:Bacteria; p:Bacteroidetes; c:Bacteroidia; o:Bacteroidales; f:Prevotellaceae; g:Prevotella
Otu336	21.5059722886	3.52728422821e-06	8.97545095179e-05	0.00744962428999	16.0	3.83516483516	d:Bacteria; p:Firmicutes; c:Bacilli; o:Lactobacillales; f:Streptococcaceae; g:Streptococcus
Otu666	21.5059722886	3.52728422821e-06	8.97545095179e-05	0.00744962428999	0.5	0.164835164835	d:Bacteria; p:Firmicutes; c:Clostridia; o:Clostridiales; f:Clostridiaceae_1; g:Clostridium_sensu_stricto
Otu783	21.5059722886	3.52728422821e-06	8.97545095179e-05	0.00744962428999	4.0	0.241758241758	d:Bacteria; p:Firmicutes; c:Clostridia; o:Clostridiales
Otu789	21.5059722886	3.52728422821e-06	8.97545095179e-05	0.00744962428999	0.5	0.153846153846	d:Bacteria; p:Bacteroidetes; c:Bacteroidia; o:Bacteroidales; f:Rikenellaceae; g:Alistipes
Otu898	21.5059722886	3.52728422821e-06	8.97545095179e-05	0.00744962428999	1.0	0.505494505495	d:Bacteria; p:Firmicutes; c:Bacilli; o:Bacillales; f:Bacillaceae_1; g:Bacillus
Otu961	21.5059722886	3.52728422821e-06	8.97545095179e-05	0.00744962428999	1.5	0.0769230769231	d:Bacteria; p:Firmicutes; c:Clostridia; o:Clostridiales
Otu1000	21.5059722886	3.52728422821e-06	8.97545095179e-05	0.00744962428999	3.5	0.32967032967	d:Bacteria; p:Proteobacteria; c:Gammaproteobacteria; o:Pseudomonadales; f:Pseudomonadaceae; g:Thiopseudomonas
Otu1021	21.5059722886	3.52728422821e-06	8.97545095179e-05	0.00744962428999	2.0	0.186813186813	d:Bacteria; p:Firmicutes; c:Clostridia; o:Clostridiales
Otu1285	21.5059722886	3.52728422821e-06	8.97545095179e-05	0.00744962428999	1.0	0.032967032967	d:Bacteria; p:Firmicutes
Otu1496	21.5059722886	3.52728422821e-06	8.97545095179e-05	0.00744962428999	0.5	0.032967032967	d:Bacteria; p:Firmicutes; c:Clostridia; o:Clostridiales
Otu1530	21.5059722886	3.52728422821e-06	8.97545095179e-05	0.00744962428999	0.5	0.142857142857	d:Bacteria; p:Firmicutes
Otu1499	21.5059722886	3.52728422821e-06	8.97545095179e-05	0.00744962428999	0.5	0.032967032967	d:Bacteria; p:Firmicutes; c:Clostridia; o:Clostridiales; f:Peptostreptococcaceae; g:Clostridium_XI
Otu1553	21.5059722886	3.52728422821e-06	8.97545095179e-05	0.00744962428999	0.5	0.032967032967	d:Bacteria; p:Firmicutes; c:Clostridia; o:Clostridiales; f:Ruminococcaceae
Otu1594	21.5059722886	3.52728422821e-06	8.97545095179e-05	0.00744962428999	1.0	0.032967032967	d:Bacteria; p:Firmicutes; c:Clostridia; o:Clostridiales
Otu947	14.8261683372	0.000117888300619	0.00279928076663	0.248980090906	9.5	0.0879120879121	d:Bacteria; p:Firmicutes; c:Clostridia; o:Clostridiales
Otu1323	14.8261683372	0.000117888300619	0.00279928076663	0.248980090906	1.5	0.021978021978	d:Bacteria; p:Firmicutes; c:Clostridia; o:Clostridiales
Otu1322	14.8261683372	0.000117888300619	0.00279928076663	0.248980090906	2.5	0.021978021978	d:Bacteria; p:Firmicutes; c:Negativicutes; o:Selenomonadales; f:Veillonellaceae; g:Dialister
Otu768	14.8249878158	0.000117962115639	0.00279928076663	0.24913598823	6.0	0.120879120879	d:Bacteria; p:Firmicutes; c:Clostridia; o:Clostridiales
Otu1261	14.8249878158	0.000117962115639	0.00279928076663	0.24913598823	1.5	0.032967032967	d:Bacteria; p:Firmicutes; c:Clostridia; o:Clostridiales; f:Ruminococcaceae
Otu1345	14.8249878158	0.000117962115639	0.00279928076663	0.24913598823	2.5	0.032967032967	d:Bacteria; p:Firmicutes; c:Clostridia; o:Clostridiales
Otu1318	14.4948677696	0.00014054192073	0.00329805040646	0.296824536581	1.5	0.043956043956	d:Bacteria; p:Firmicutes; c:Clostridia; o:Clostridiales; f:Ruminococcaceae
Otu1406	14.1706959707	0.000166950471488	0.00349946768724	0.352599395783	0.5	0.021978021978	d:Bacteria; p:Firmicutes; c:Clostridia; o:Clostridiales; f:Ruminococcaceae
Otu1486	14.1706959707	0.000166950471488	0.00349946768724	0.352599395783	0.5	0.021978021978	d:Bacteria; p:Firmicutes; c:Clostridia; o:Clostridiales
Otu1591	14.1706959707	0.000166950471488	0.00349946768724	0.352599395783	0.5	0.021978021978	d:Bacteria; p:Firmicutes; c:Clostridia; o:Clostridiales; f:Ruminococcaceae; g:Clostridium_IV
Otu1667	14.1706959707	0.000166950471488	0.00349946768724	0.352599395783	0.5	0.021978021978	d:Bacteria; p:Firmicutes
Otu1835	14.1706959707	0.000166950471488	0.00349946768724	0.352599395783	0.5	0.021978021978	d:Bacteria; p:Firmicutes; c:Clostridia; o:Clostridiales; f:Ruminococcaceae; g:Oscillibacter
Otu230	14.1661826509	0.000167351437695	0.00349946768724	0.353446236411	3.5	2.28571428571	d:Bacteria; p:Bacteroidetes; c:Bacteroidia; o:Bacteroidales; f:Bacteroidaceae; g:Bacteroides
Otu408	14.1661826509	0.000167351437695	0.00349946768724	0.353446236411	6.0	1.23076923077	d:Bacteria
Otu806	14.1661826509	0.000167351437695	0.00349946768724	0.353446236411	1.0	0.142857142857	d:Bacteria; p:Firmicutes; c:Clostridia; o:Clostridiales
Otu1054	14.1661826509	0.000167351437695	0.00349946768724	0.353446236411	1.5	0.0659340659341	d:Bacteria
Otu1112	14.1661826509	0.000167351437695	0.00349946768724	0.353446236411	1.0	0.043956043956	d:Bacteria; p:Firmicutes; c:Clostridia; o:Clostridiales
Otu1163	14.1661826509	0.000167351437695	0.00349946768724	0.353446236411	2.5	0.197802197802	d:Bacteria; p:Firmicutes
Otu727	13.9178359506	0.000190977601552	0.00395435974977	0.403344694477	2.0	0.263736263736	d:Bacteria; p:Firmicutes; c:Clostridia; o:Clostridiales; f:Ruminococcaceae
Otu1293	13.8434971622	0.000198683103412	0.00403479533083	0.419618714406	0.5	0.032967032967	d:Bacteria; p:Firmicutes; c:Clostridia; o:Clostridiales
Otu1638	13.8434971622	0.000198683103412	0.00403479533083	0.419618714406	0.5	0.032967032967	d:Bacteria; p:Firmicutes; c:Clostridia; o:Clostridiales
Otu1094	13.5234271223	0.000235603769877	0.00448541217988	0.49759516198	0.5	0.0659340659341	d:Bacteria
Otu633	13.5223503306	0.000235738992409	0.00448541217988	0.497880751967	0.5	0.505494505495	d:Bacteria; p:Firmicutes
Otu672	13.5223503306	0.000235738992409	0.00448541217988	0.497880751967	2.5	0.208791208791	d:Bacteria; p:Firmicutes; c:Clostridia; o:Clostridiales; f:Lachnospiraceae
Otu769	13.5223503306	0.000235738992409	0.00448541217988	0.497880751967	2.5	0.263736263736	d:Bacteria; p:Firmicutes; c:Clostridia; o:Clostridiales; f:Ruminococcaceae; g:Clostridium_IV
Otu862	13.5223503306	0.000235738992409	0.00448541217988	0.497880751967	0.5	0.175824175824	d:Bacteria; p:Firmicutes; c:Clostridia; o:Clostridiales; f:Peptococcaceae_1; g:Peptococcus
Otu852	13.5223503306	0.000235738992409	0.00448541217988	0.497880751967	1.0	0.164835164835	d:Bacteria; p:Firmicutes
Otu1184	13.5223503306	0.000235738992409	0.00448541217988	0.497880751967	1.0	0.0769230769231	d:Bacteria; p:Firmicutes; c:Clostridia; o:Clostridiales
Otu367	13.404008355	0.000251087163478	0.00473478651129	0.530296089265	21.0	1.42857142857	d:Bacteria; p:Firmicutes; c:Clostridia; o:Clostridiales; f:Ruminococcaceae; g:Gemmiger
Otu846	12.2007020904	0.00047771533592	0.00892862645543	1.0	2.5	0.21978021978	d:Bacteria; p:Firmicutes; c:Bacilli; o:Bacillales; f:Bacillales_Incertae_Sedis_XI; g:Gemella
Otu313	10.9892869748	0.000916400601659	0.0166848109543	1.0	88.5	1.07692307692	d:Bacteria; p:Firmicutes; c:Clostridia; o:Clostridiales
Otu425	10.9892869748	0.000916400601659	0.0166848109543	1.0	93.5	0.131868131868	d:Bacteria
Otu1056	10.9892869748	0.000916400601659	0.0166848109543	1.0	3.5	0.0989010989011	d:Bacteria; p:Firmicutes; c:Clostridia; o:Clostridiales; f:Ruminococcaceae; g:Faecalibacterium
Otu758	10.5730316997	0.00114749382196	0.0207137346324	1.0	1.5	0.340659340659	d:Bacteria; p:Firmicutes; c:Clostridia; o:Clostridiales; f:Ruminococcaceae
Otu680	10.4960838835	0.00119627818573	0.0212314246073	1.0	2.0	0.67032967033	d:Bacteria; p:Firmicutes; c:Clostridia; o:Clostridiales; f:Ruminococcaceae; g:Oscillibacter
Otu815	10.4960838835	0.00119627818573	0.0212314246073	1.0	2.5	0.285714285714	d:Bacteria; p:Firmicutes; c:Clostridia; o:Clostridiales; f:Lachnospiraceae; g:Blautia
Otu1592	10.2589825904	0.00136020673338	0.0239396385075	1.0	0.5	0.032967032967	d:Bacteria; p:Firmicutes; c:Clostridia; o:Clostridiales; f:Ruminococcaceae
Otu1230	10.0153846154	0.00155237994047	0.0268739871661	1.0	0.5	0.0769230769231	d:Bacteria; p:Firmicutes; c:Clostridia; o:Clostridiales
Otu1425	10.0153846154	0.00155237994047	0.0268739871661	1.0	0.5	0.043956043956	d:Bacteria; p:Firmicutes; c:Clostridia; o:Clostridiales; f:Ruminococcaceae
Otu606	9.77657137284	0.00176749598625	0.0293933190785	1.0	0.5	0.505494505495	d:Bacteria; p:Firmicutes; c:Clostridia; o:Clostridiales; f:Lachnospiraceae
Otu892	9.77657137284	0.00176749598625	0.0293933190785	1.0	0.5	0.10989010989	d:Bacteria; p:Firmicutes; c:Clostridia; o:Clostridiales; f:Ruminococcaceae
Otu1134	9.77657137284	0.00176749598625	0.0293933190785	1.0	0.5	0.0659340659341	d:Bacteria; p:Firmicutes; c:Clostridia; o:Clostridiales; f:Clostridiales_Incertae_Sedis_XIII
Otu1137	9.77657137284	0.00176749598625	0.0293933190785	1.0	0.5	0.0989010989011	d:Bacteria; p:Firmicutes; c:Clostridia; o:Clostridiales; f:Lachnospiraceae; g:Blautia
Otu1271	9.77657137284	0.00176749598625	0.0293933190785	1.0	0.5	0.0659340659341	d:Bacteria; p:Firmicutes; c:Clostridia; o:Clostridiales; f:Ruminococcaceae; g:Oscillibacter
