OTU	Test-Statistic	P	FDR_P	Bonferroni_P	Control_mean	SLE_mean	taxonomy
Otu71	22.2945153223	2.33873641444e-06	0.0049394113073	0.0049394113073	90.0	16.9836065574	d:Bacteria; p:Firmicutes; c:Clostridia; o:Clostridiales; f:Ruminococcaceae
Otu403	18.727317348	1.50806513395e-05	0.0159251678145	0.031850335629	3.40625	0.0	d:Bacteria; p:Firmicutes
Otu292	16.5363407399	4.7726536753e-05	0.0207750045953	0.100798445622	6.5625	1.04918032787	d:Bacteria; p:Firmicutes; c:Clostridia; o:Clostridiales; f:Lachnospiraceae
Otu605	16.462669148	4.96174886767e-05	0.0207750045953	0.104792136085	2.09375	0.0	d:Bacteria; p:Firmicutes; c:Clostridia; o:Clostridiales
Otu164	16.0032957394	6.32323127546e-05	0.0207750045953	0.133546644538	14.4375	8.32786885246	d:Bacteria; p:Firmicutes
Otu123	15.9938929058	6.3547143937e-05	0.0207750045953	0.134211567995	33.71875	9.06557377049	d:Bacteria; p:Firmicutes; c:Clostridia; o:Clostridiales; f:Lachnospiraceae
Otu353	15.8404255928	6.89143361722e-05	0.0207750045953	0.145547077996	3.96875	1.39344262295	d:Bacteria; p:Firmicutes; c:Clostridia; o:Clostridiales; f:Lachnospiraceae
Otu716	15.589431665	7.86931992247e-05	0.0207750045953	0.166200036763	1.5	0.016393442623	d:Bacteria; p:Firmicutes
Otu436	14.9837591371	0.000108440458049	0.0214924095363	0.2290262474	2.625	0.229508196721	d:Bacteria; p:Firmicutes; c:Clostridia; o:Clostridiales; f:Lachnospiraceae
Otu651	14.7671755873	0.000121634477501	0.0214924095363	0.256892016482	2.3125	0.27868852459	d:Bacteria; p:Firmicutes; c:Clostridia; o:Clostridiales; f:Ruminococcaceae
Otu349	14.7360941876	0.000123656187056	0.0214924095363	0.261161867062	4.96875	1.27868852459	d:Bacteria; p:Firmicutes; c:Clostridia; o:Clostridiales; f:Ruminococcaceae
Otu457	14.6690791854	0.000128131078004	0.0214924095363	0.270612836743	1.6875	0.540983606557	d:Bacteria; p:Firmicutes; c:Clostridia; o:Clostridiales; f:Lachnospiraceae
Otu155	14.608843145	0.000132292293547	0.0214924095363	0.279401323972	14.03125	9.45901639344	d:Bacteria; p:Firmicutes; c:Clostridia; o:Clostridiales; f:Lachnospiraceae; g:Coprococcus
Otu268	14.340548894	0.000152543534312	0.0225759004736	0.322171944467	10.15625	2.47540983607	d:Bacteria; p:Firmicutes; c:Clostridia; o:Clostridiales; f:Ruminococcaceae; g:Gemmiger
Otu229	14.2467176804	0.000160340202227	0.0225759004736	0.338638507104	21.65625	0.0	d:Bacteria; p:Bacteroidetes; c:Bacteroidia; o:Bacteroidales; f:Rikenellaceae; g:Alistipes
Otu124	13.8206065295	0.000201118307771	0.0260654593678	0.424761866013	21.875	16.131147541	d:Bacteria; p:Firmicutes; c:Clostridia; o:Clostridiales; f:Lachnospiraceae; g:Roseburia
Otu417	13.7411482439	0.00020980720135	0.0260654593678	0.443112809252	2.5625	0.622950819672	d:Bacteria; p:Firmicutes; c:Clostridia; o:Clostridiales
Otu559	12.9292745648	0.000323483120259	0.0370374458702	0.683196349987	0.9375	0.524590163934	d:Bacteria; p:Firmicutes; c:Clostridia; o:Clostridiales; f:Ruminococcaceae
Otu432	12.8738988479	0.000333196719476	0.0370374458702	0.703711471533	2.0625	0.213114754098	d:Bacteria; p:Firmicutes; c:Clostridia; o:Clostridiales; f:Lachnospiraceae
Otu150	12.6935508158	0.000366918852779	0.0387466308534	0.774932617069	27.40625	3.39344262295	d:Bacteria; p:Firmicutes; c:Clostridia; o:Clostridiales
Otu93	12.5089516627	0.00040500679608	0.0407321120629	0.855374353321	52.28125	19.5573770492	d:Bacteria; p:Firmicutes; c:Clostridia; o:Clostridiales; f:Lachnospiraceae; g:Roseburia
Otu944	12.0784065663	0.000510091747354	0.048968807746	1.0	0.53125	0.0	d:Bacteria; p:Firmicutes; c:Clostridia; o:Clostridiales; f:Lachnospiraceae; g:Clostridium_XlVa
Otu347	11.9173271011	0.000556142202908	0.050844921146	1.0	5.0	1.72131147541	d:Bacteria; p:Firmicutes; c:Clostridia; o:Clostridiales; f:Ruminococcaceae; g:Oscillibacter
Otu105	11.8275439541	0.000583609235762	0.050844921146	1.0	36.28125	14.8360655738	d:Bacteria; p:Firmicutes; c:Clostridia; o:Clostridiales; f:Ruminococcaceae
Otu362	11.7583263891	0.000605716647997	0.050844921146	1.0	3.78125	1.72131147541	d:Bacteria; p:Firmicutes; c:Clostridia; o:Clostridiales; f:Ruminococcaceae
Otu8	11.628563456	0.000649466949673	0.050844921146	1.0	534.84375	251.163934426	d:Bacteria; p:Firmicutes; c:Clostridia; o:Clostridiales; f:Ruminococcaceae; g:Faecalibacterium
Otu223	11.6270200271	0.000650006094196	0.050844921146	1.0	12.46875	1.68852459016	d:Bacteria; p:Firmicutes; c:Clostridia; o:Clostridiales; f:Lachnospiraceae
