OTU	Test-Statistic	P	FDR_P	Bonferroni_P	2016_study_mean	2014_study_mean	taxonomy
Otu255	56.7624059623	4.91778575711e-14	1.0386363519e-10	1.0386363519e-10	0.0	20.2592592593	d:Bacteria; p:Proteobacteria; c:Gammaproteobacteria; o:Pseudomonadales; f:Pseudomonadaceae; g:Pseudomonas
Otu495	46.2354248343	1.04863734374e-11	1.10736103499e-08	2.21472206997e-08	0.0	2.37037037037	d:Bacteria; p:Bacteroidetes; c:Bacteroidia; o:Bacteroidales; f:Prevotellaceae; g:Prevotella
Otu213	42.0992205215	8.67577660315e-11	6.10774672862e-08	1.83232401859e-07	0.121212121212	12.8148148148	d:Bacteria; p:Firmicutes; c:Bacilli; o:Lactobacillales; f:Streptococcaceae; g:Lactococcus
Otu568	39.5721079898	3.16166829069e-10	1.66936085748e-07	6.67744342994e-07	0.0	2.03703703704	d:Bacteria; p:Bacteroidetes; c:Bacteroidia; o:Bacteroidales; f:Prevotellaceae; g:Prevotella
Otu37	29.7143273477	5.00634415881e-08	2.00055955012e-05	0.000105733988634	20.1818181818	222.37037037	d:Bacteria; p:Firmicutes; c:Bacilli; o:Lactobacillales; f:Streptococcaceae; g:Streptococcus
Otu48	29.4684611025	5.68340781284e-08	2.00055955012e-05	0.000120033573007	12.8787878788	173.259259259	d:Bacteria; p:Firmicutes; c:Clostridia; o:Clostridiales; f:Lachnospiraceae; g:Lachnospiracea_incertae_sedis
Otu24	27.534045024	1.5435341673e-07	4.65706308764e-05	0.000325994416135	28.3636363636	364.037037037	d:Bacteria; p:Firmicutes; c:Clostridia; o:Clostridiales; f:Lachnospiraceae; g:Lachnospiracea_incertae_sedis
Otu447	26.0855518618	3.26618958021e-07	8.62274049176e-05	0.000689819239341	0.409090909091	2.03703703704	d:Bacteria; p:Firmicutes; c:Bacilli; o:Lactobacillales; f:Streptococcaceae; g:Streptococcus
Otu61	25.6525970401	4.08745028933e-07	9.59188334563e-05	0.000863269501107	7.71212121212	161.925925926	d:Bacteria; p:Firmicutes; c:Clostridia; o:Clostridiales; f:Lachnospiraceae; g:Anaerostipes
Otu101	24.0846213186	9.21936485168e-07	0.000178306517474	0.00194712985667	7.09090909091	65.2962962963	d:Bacteria; p:Firmicutes; c:Clostridia; o:Clostridiales; f:Lachnospiraceae
Otu1086	24.0705882353	9.2867977851e-07	0.000178306517474	0.00196137169221	0.0	0.407407407407	d:Bacteria; p:Bacteroidetes; c:Bacteroidia; o:Bacteroidales; f:Prevotellaceae; g:Prevotella
Otu5	22.870635331	1.73278958478e-06	0.000304970966922	0.00365965160306	235.227272727	832.074074074	d:Bacteria; p:Firmicutes; c:Clostridia; o:Clostridiales; f:Lachnospiraceae; g:Blautia
Otu28	21.2103412723	4.11538029945e-06	0.000598826556636	0.00869168319244	65.1515151515	203.444444444	d:Bacteria; p:Firmicutes; c:Clostridia; o:Clostridiales; f:Lachnospiraceae; g:Blautia
Otu951	21.1472868217	4.25302952156e-06	0.000598826556636	0.00898239834954	0.0	0.666666666667	d:Bacteria; p:Fusobacteria; c:Fusobacteriia; o:Fusobacteriales; f:Fusobacteriaceae; g:Fusobacterium
Otu943	21.1472868217	4.25302952156e-06	0.000598826556636	0.00898239834954	0.0	0.740740740741	d:Bacteria; p:Bacteroidetes; c:Bacteroidia; o:Bacteroidales; f:Prevotellaceae; g:Prevotella
Otu409	20.1678512117	7.09351419427e-06	0.000936343873644	0.0149815019783	0.424242424242	2.18518518519	d:Bacteria; p:Firmicutes
Otu421	19.8660456248	8.30625925772e-06	0.0010319305619	0.0175428195523	0.681818181818	3.88888888889	d:Bacteria; p:Actinobacteria; c:Actinobacteria; o:Actinomycetales; f:Actinomycetaceae; g:Actinomyces
Otu846	19.5141755995	9.98558999784e-06	0.00117164255975	0.0210895660754	0.0757575757576	0.740740740741	d:Bacteria; p:Firmicutes; c:Bacilli; o:Bacillales; f:Bacillales_Incertae_Sedis_XI; g:Gemella
Otu435	19.2721606227	1.13347061762e-05	0.001259942076	0.0239388994441	0.0606060606061	0.740740740741	d:Bacteria; p:Actinobacteria; c:Actinobacteria; o:Actinomycetales; f:Micrococcaceae; g:Rothia
Otu256	18.6471421132	1.57282857392e-05	0.00166090697406	0.0332181394812	1.80303030303	8.22222222222	d:Bacteria; p:Firmicutes; c:Clostridia; o:Clostridiales; f:Ruminococcaceae; g:Clostridium_IV
Otu1015	18.2813990272	1.90558812296e-05	0.00191647719794	0.0402460211568	0.0	0.444444444444	d:Bacteria; p:Actinobacteria; c:Actinobacteria; o:Actinomycetales; f:Actinomycetaceae; g:Actinomyces
Otu284	18.1166473396	2.07776927822e-05	0.00199465850709	0.0438824871561	1.30303030303	7.66666666667	d:Bacteria; p:Firmicutes; c:Clostridia; o:Clostridiales; f:Lachnospiraceae
Otu273	17.7778632581	2.48254909343e-05	0.00227962768927	0.0524314368533	2.62121212121	7.40740740741	d:Bacteria; p:Firmicutes; c:Clostridia; o:Clostridiales
Otu183	17.5659924161	2.77506999733e-05	0.00236619134103	0.0586094783437	5.93939393939	16.8518518519	d:Bacteria; p:Firmicutes; c:Clostridia; o:Clostridiales; f:Ruminococcaceae; g:Clostridium_IV
Otu15	17.5483825375	2.80088937149e-05	0.00236619134103	0.0591547835258	98.7878787879	418.666666667	d:Bacteria; p:Firmicutes; c:Clostridia; o:Clostridiales; f:Lachnospiraceae; g:Blautia
Otu262	16.9427068658	3.85250375184e-05	0.00312941843226	0.0813648792388	1.48484848485	13.9259259259	d:Bacteria; p:Firmicutes; c:Clostridia; o:Clostridiales; f:Lachnospiraceae; g:Clostridium_XlVa
Otu67	16.2833360368	5.454149864e-05	0.00426635722695	0.115191645128	101.075757576	6.74074074074	d:Bacteria; p:Proteobacteria; c:Deltaproteobacteria; o:Desulfovibrionales; f:Desulfovibrionaceae; g:Bilophila
Otu81	16.1599202142	5.82128849186e-05	0.00436269393403	0.122945612948	51.6060606061	8.55555555556	d:Bacteria; p:Firmicutes; c:Clostridia; o:Clostridiales; f:Ruminococcaceae; g:Flavonifractor
Otu173	16.1056700256	5.99044148138e-05	0.00436269393403	0.126518124087	6.51515151515	20.1481481481	d:Bacteria; p:Firmicutes; c:Bacilli; o:Lactobacillales; f:Streptococcaceae; g:Streptococcus
Otu21	15.8811143746	6.74484214648e-05	0.00474836887113	0.142451066134	66.1060606061	392.074074074	d:Bacteria; p:Firmicutes; c:Clostridia; o:Clostridiales; f:Lachnospiraceae; g:Anaerostipes
Otu148	15.5726504179	7.93947473066e-05	0.00530891845881	0.167681706312	6.68181818182	22.4074074074	d:Bacteria; p:Firmicutes; c:Clostridia; o:Clostridiales; f:Lachnospiraceae; g:Blautia
Otu1039	15.4904332798	8.2923884754e-05	0.00530891845881	0.1751352446	0.0	0.407407407407	d:Bacteria; p:Firmicutes; c:Bacilli; o:Bacillales; f:Staphylococcaceae; g:Staphylococcus
Otu649	15.4897959184	8.29518509189e-05	0.00530891845881	0.175194309141	0.0	3.48148148148	d:Bacteria; p:Proteobacteria; c:Betaproteobacteria; o:Burkholderiales; f:Comamonadaceae; g:Comamonas
Otu1	15.358764334	8.89075459732e-05	0.00552272756163	0.187772737095	2136.15151515	591.555555556	d:Bacteria; p:Bacteroidetes; c:Bacteroidia; o:Bacteroidales; f:Bacteroidaceae; g:Bacteroides
Otu80	15.0249042146	0.000106101732942	0.00640248171355	0.224086859974	15.1818181818	89.0	d:Bacteria; p:Firmicutes; c:Clostridia; o:Clostridiales; f:Ruminococcaceae; g:Clostridium_IV
Otu936	14.6638387875	0.000128487800693	0.00753795097399	0.271366235063	0.0151515151515	0.592592592593	d:Bacteria; p:Firmicutes; c:Clostridia; o:Clostridiales; f:Clostridiales_Incertae_Sedis_XI; g:Finegoldia
Otu462	14.4045569	0.000147445079412	0.00835812231789	0.311404007717	0.378787878788	2.33333333333	d:Bacteria; p:Firmicutes; c:Clostridia; o:Clostridiales; f:Lachnospiraceae
Otu219	14.3674075228	0.000150382882614	0.00835812231789	0.31760864808	10.8787878788	0.740740740741	d:Bacteria; p:Firmicutes; c:Clostridia; o:Clostridiales; f:Ruminococcaceae; g:Oscillibacter
Otu25	14.1867128467	0.000165535315204	0.00896437399258	0.349610585711	76.5606060606	256.407407407	d:Bacteria; p:Firmicutes; c:Clostridia; o:Clostridiales; f:Lachnospiraceae; g:Fusicatenibacter
Otu810	14.0252566786	0.00018037155177	0.00952361793348	0.380944717339	0.0606060606061	0.518518518519	d:Bacteria; p:Firmicutes; c:Clostridia; o:Clostridiales; f:Lachnospiraceae; g:Clostridium_XlVa
Otu131	13.6750553036	0.000217322097088	0.0111649490995	0.45898426905	3.40909090909	31.8148148148	d:Bacteria; p:Firmicutes; c:Clostridia; o:Clostridiales
Otu287	13.634810791	0.000222030237775	0.0111649490995	0.468927862181	3.42424242424	5.59259259259	d:Bacteria; p:Firmicutes; c:Clostridia; o:Clostridiales; f:Lachnospiraceae; g:Clostridium_XlVb
Otu252	13.5185274786	0.000236219694746	0.0113834118203	0.498895995303	1.81818181818	7.81481481481	d:Bacteria; p:Firmicutes; c:Clostridia; o:Clostridiales; f:Ruminococcaceae
