# Constructed from biom file
#OTU ID	African_American	Asian	Caucasian	Caucasian/African American	Hispanic_Latino	Multi_racial	NA
d:Archaea;p:Euryarchaeota;c:Methanobacteria	0.000520545766576	1.63213344323e-05	0.000828570624096	0.0	0.00174395260678	0.0	0.00152647124525
d:Bacteria;Other;Other	0.00299384312228	0.000114249341026	0.00190891081097	0.0	0.00354720388885	0.000126148814316	0.0261113455286
d:Bacteria;p:Actinobacteria;Other	0.0	0.0	0.0	0.0	0.000165750514041	0.0	0.0
d:Bacteria;p:Actinobacteria;c:Actinobacteria	0.0368335477365	0.015439982373	0.0325151779322	0.0348826020015	0.064481951055	0.018195246254	0.00794261460945
d:Bacteria;p:Bacteroidetes;Other	0.00148183532143	0.0	0.000381071412072	0.0	2.28621398677e-05	0.0	0.00280473578396
d:Bacteria;p:Bacteroidetes;c:Bacteroidia	0.347076568729	0.679141606618	0.26533832936	0.682279638183	0.502811328762	0.161364976043	0.171634937576
d:Bacteria;p:Bacteroidetes;c:Cytophagia	0.0	0.0	1.36682715951e-06	0.0	0.0	0.0	0.0
d:Bacteria;p:Bacteroidetes;c:Flavobacteriia	2.5378721014e-06	0.0	3.82711604663e-06	0.0	0.0	3.66978368919e-05	0.0
d:Bacteria;p:Bacteroidetes;c:Sphingobacteriia	2.81985789044e-07	0.0	7.92759752517e-06	0.0	0.0	7.33956737838e-05	0.0
d:Bacteria;p:Cyanobacteria/Chloroplast;c:Chloroplast	4.17338967785e-05	1.63213344323e-05	6.09604913142e-05	0.0	8.85907919874e-05	1.60553036402e-05	2.48206706545e-05
d:Bacteria;p:Firmicutes;Other	0.00538790247127	0.000300584575795	0.00746588331069	0.0	0.00519827905242	0.000511476101681	0.00713594281317
d:Bacteria;p:Firmicutes;c:Bacilli	0.00640248734025	0.00361381546555	0.0152792140853	0.00126299076212	0.00317212190665	0.0158305293892	0.00312740450247
d:Bacteria;p:Firmicutes;c:Clostridia	0.449193210459	0.231500447477	0.528558896719	0.0866291377983	0.30556321596	0.322823990293	0.718657698131
d:Bacteria;p:Firmicutes;c:Erysipelotrichia	0.0142856820588	0.00274470440703	0.018148731024	0.000264626635874	0.00367508898374	0.00164910904533	0.0496661619797
d:Bacteria;p:Firmicutes;c:Negativicutes	0.0503928344027	0.0140676301694	0.0216035233524	0.0113308314088	0.020443039693	0.194803586296	0.00345007322098
d:Bacteria;p:Fusobacteria;c:Fusobacteriia	0.000109692471938	0.0	0.00707114362702	0.00132313317937	0.0274867220978	7.33956737838e-05	0.0001365136886
d:Bacteria;p:Gemmatimonadetes;c:Gemmatimonadetes	0.0	0.0	0.0	0.0	0.0	1.37616888345e-05	0.0
d:Bacteria;p:Lentisphaerae;c:Lentisphaeria	1.40992894522e-05	0.0	3.85445258982e-05	0.0	0.0	0.0	7.44620119636e-05
d:Bacteria;p:Parcubacteria;Other	0.0	0.0	2.18692345522e-06	0.0	0.0	0.0	0.0
d:Bacteria;p:Proteobacteria;Other	8.45957367133e-07	1.36011120269e-06	1.09346172761e-06	0.0	0.0	0.0	0.0
d:Bacteria;p:Proteobacteria;c:Alphaproteobacteria	0.00635313982717	0.0	0.000594296448956	0.0	0.0045024126702	0.000149084962373	7.44620119636e-05
d:Bacteria;p:Proteobacteria;c:Betaproteobacteria	0.0223905176075	0.0112943634272	0.0135479908051	0.14721660893	0.0177138717463	0.00120873500263	0.000322668718509
d:Bacteria;p:Proteobacteria;c:Deltaproteobacteria	0.00997158147218	0.00466246120283	0.00427789564384	0.00257409545804	0.00493822221143	0.00452071478212	0.00171262627516
d:Bacteria;p:Proteobacteria;c:Epsilonproteobacteria	7.75460919871e-05	2.04016680404e-05	1.23014444356e-05	4.81139337952e-05	5.00109309606e-06	1.83489184459e-05	0.0
d:Bacteria;p:Proteobacteria;c:Gammaproteobacteria	0.0231685163994	0.0158017719529	0.00490772959894	0.032188221709	0.00569124394332	0.227519707885	0.00107969917347
d:Bacteria;p:Spirochaetes;c:Spirochaetia	0.0	0.0	1.09346172761e-06	0.0	0.0	0.0	0.0
d:Bacteria;p:Synergistetes;c:Synergistia	0.000169755445005	0.0	8.74769382088e-06	0.0	0.000431522890003	0.0	0.0
d:Bacteria;p:Tenericutes;c:Mollicutes	0.0	0.0	8.72035727768e-05	0.0	0.0	0.0	0.0
d:Bacteria;p:Verrucomicrobia;c:Opitutae	1.2971346296e-05	1.7681445635e-05	0.0	0.0	0.0	0.0	0.0
d:Bacteria;p:Verrucomicrobia;c:Verrucomicrobiae	0.023118322929	0.0212462970973	0.0773473821296	0.0	0.0283176179936	0.051065040035	0.00451736205912
