# Constructed from biom file
#OTU ID	2014_study	2016_study
d:Archaea;p:Euryarchaeota;c:Methanobacteria;o:Methanobacteriales;f:Methanobacteriaceae	0.00126588288235	0.00042005691796
d:Bacteria;Other;Other;Other;Other	0.00263626689951	0.00240638024733
d:Bacteria;p:Actinobacteria;Other;Other;Other	0.0	3.82619571915e-05
d:Bacteria;p:Actinobacteria;c:Actinobacteria;Other;Other	3.19954091748e-05	1.25340894248e-05
d:Bacteria;p:Actinobacteria;c:Actinobacteria;o:Actinomycetales;Other	2.81249967747e-05	3.79321127329e-06
d:Bacteria;p:Actinobacteria;c:Actinobacteria;o:Actinomycetales;f:Actinomycetaceae	0.000304472442148	8.27909590953e-05
d:Bacteria;p:Actinobacteria;c:Actinobacteria;o:Actinomycetales;f:Corynebacteriaceae	1.78038970408e-05	2.96860012692e-06
d:Bacteria;p:Actinobacteria;c:Actinobacteria;o:Actinomycetales;f:Geodermatophilaceae	2.06421994676e-06	0.0
d:Bacteria;p:Actinobacteria;c:Actinobacteria;o:Actinomycetales;f:Microbacteriaceae	2.8383024268e-06	0.0
d:Bacteria;p:Actinobacteria;c:Actinobacteria;o:Actinomycetales;f:Micrococcaceae	0.000104243107312	1.50079228639e-05
d:Bacteria;p:Actinobacteria;c:Actinobacteria;o:Bifidobacteriales;f:Bifidobacteriaceae	0.022720352899	0.0311770631441
d:Bacteria;p:Actinobacteria;c:Actinobacteria;o:Coriobacteriales;f:Coriobacteriaceae	0.0124965295302	0.00569064152108
d:Bacteria;p:Bacteroidetes;Other;Other;Other	0.00063010313875	0.000736377753706
d:Bacteria;p:Bacteroidetes;c:Bacteroidia;o:Bacteroidales;Other	0.000517603151651	0.0020676299884
d:Bacteria;p:Bacteroidetes;c:Bacteroidia;o:Bacteroidales;f:Bacteroidaceae	0.121462314052	0.318135145191
d:Bacteria;p:Bacteroidetes;c:Bacteroidia;o:Bacteroidales;f:Porphyromonadaceae	0.00840989009061	0.0172375064814
d:Bacteria;p:Bacteroidetes;c:Bacteroidia;o:Bacteroidales;f:Prevotellaceae	0.045814071581	0.107186914938
d:Bacteria;p:Bacteroidetes;c:Bacteroidia;o:Bacteroidales;f:Rikenellaceae	0.0125122692073	0.019480778644
d:Bacteria;p:Bacteroidetes;c:Cytophagia;o:Cytophagales;f:Cytophagaceae	1.29013746673e-06	0.0
d:Bacteria;p:Bacteroidetes;c:Flavobacteriia;o:Flavobacteriales;f:Flavobacteriaceae	1.00630722405e-05	0.0
d:Bacteria;p:Bacteroidetes;c:Sphingobacteriia;o:Sphingobacteriales;f:Chitinophagaceae	6.96674232033e-06	0.0
d:Bacteria;p:Bacteroidetes;c:Sphingobacteriia;o:Sphingobacteriales;f:Sphingobacteriaceae	9.03096226709e-06	0.0
d:Bacteria;p:Cyanobacteria/Chloroplast;c:Chloroplast;f:Chloroplast;g:Streptophyta	5.70240760293e-05	4.86520576357e-05
d:Bacteria;p:Firmicutes;Other;Other;Other	0.00617614608072	0.00507581145035
d:Bacteria;p:Firmicutes;c:Bacilli;o:Bacillales;f:Bacillaceae_1	3.81880690151e-05	0.0
d:Bacteria;p:Firmicutes;c:Bacilli;o:Bacillales;f:Bacillales_Incertae_Sedis_XI	3.17373816815e-05	4.28797796111e-06
d:Bacteria;p:Firmicutes;c:Bacilli;o:Bacillales;f:Paenibacillaceae_1	9.54701725378e-06	0.0
d:Bacteria;p:Firmicutes;c:Bacilli;o:Bacillales;f:Staphylococcaceae	2.11582544543e-05	3.29844458547e-07
d:Bacteria;p:Firmicutes;c:Bacilli;o:Lactobacillales;Other	2.8383024268e-05	7.58642254658e-06
d:Bacteria;p:Firmicutes;c:Bacilli;o:Lactobacillales;f:Aerococcaceae	1.00630722405e-05	1.48430006346e-06
d:Bacteria;p:Firmicutes;c:Bacilli;o:Lactobacillales;f:Carnobacteriaceae	5.93463234695e-06	0.0
d:Bacteria;p:Firmicutes;c:Bacilli;o:Lactobacillales;f:Enterococcaceae	0.000232224744011	0.000559746046154
d:Bacteria;p:Firmicutes;c:Bacilli;o:Lactobacillales;f:Lactobacillaceae	0.00149010877407	0.00101872461022
d:Bacteria;p:Firmicutes;c:Bacilli;o:Lactobacillales;f:Leuconostocaceae	2.96731617347e-05	5.6073557953e-06
d:Bacteria;p:Firmicutes;c:Bacilli;o:Lactobacillales;f:Streptococcaceae	0.0164866666873	0.00198220027364
d:Bacteria;p:Firmicutes;c:Clostridia;Other;Other	0.00035246555591	0.00010208685992
d:Bacteria;p:Firmicutes;c:Clostridia;o:Clostridiales;Other	0.0350094283246	0.0165656133194
d:Bacteria;p:Firmicutes;c:Clostridia;o:Clostridiales;f:Catabacteriaceae	1.57396770941e-05	1.26990116541e-05
d:Bacteria;p:Firmicutes;c:Clostridia;o:Clostridiales;f:Christensenellaceae	3.07052717081e-05	3.36441347718e-05
d:Bacteria;p:Firmicutes;c:Clostridia;o:Clostridiales;f:Clostridiaceae_1	0.00623162199179	0.00282990053211
